ENST00000000233	2b6hA
ENST00000264039	4ywtB
ENST00000264057	1r79A
ENST00000264079	5wj9A
ENST00000264093	2ocpA
ENST00000264110	1t2kD
ENST00000264156	2klqA
ENST00000264157	2ivxA
ENST00000264159	5mkwA
ENST00000264161	4j15A
ENST00000264192	2z17A
ENST00000264198	6k2kA
ENST00000264246	1i8lA
ENST00000264257	
ENST00000264260	3wo4C
ENST00000264265	2bo9B
ENST00000264313	3rdvE
ENST00000264316	2dm0A
ENST00000264331	3qx3A
ENST00000264335	3ualA
ENST00000264346	5w87A
ENST00000264360	
ENST00000264376	1h4aX
ENST00000264381	6i2tB
ENST00000264382	3lppA
ENST00000264399	5jixA
ENST00000264414	4ap2B
ENST00000264433	
ENST00000264444	1nlwA
ENST00000264451	2enkA
ENST00000264474	3kseD
ENST00000264515	5f6lJ
ENST00000264552	1zdnA
ENST00000264553	2zgcA
ENST00000264563	4mhlA
ENST00000264595	1apyB
ENST00000264639	5l4kS
ENST00000264645	2hyiD
ENST00000264657	6qhdB
ENST00000264663	1djlA
ENST00000264664	1nunA
ENST00000264705	6hg1A
ENST00000264709	4u7pA
ENST00000264710	5szjA
ENST00000264711	2ys8A
ENST00000264731	2rmnA
ENST00000264771	
ENST00000264818	4oliA
ENST00000264832	1z7zI
ENST00000264834	2mbhB
ENST00000264864	4wtvA
ENST00000264867	6fzfC
ENST00000264883	5ijnF
ENST00000264896	4tw2A
ENST00000264908	1aiiA
ENST00000264914	1fsuA
ENST00000264926	2y43A
ENST00000264933	2zn8A
ENST00000264972	2ozoA
ENST00000264977	4i5jA
ENST00000264990	2wbiB
ENST00000265000	6iwrA
ENST00000265038	6fcvB
ENST00000265056	4uuzC
ENST00000265062	1yhnA
ENST00000265070	3kn1A
ENST00000265071	5vebX
ENST00000265074	1jdnA
ENST00000265081	3thwB
ENST00000265085	2mkiA
ENST00000265094	
ENST00000265113	5llmA
ENST00000265132	3qkgA
ENST00000265138	4r7vA
ENST00000265148	1t5cA
ENST00000265162	4kx7A
ENST00000265164	2wdpA
ENST00000265171	2kv4A
ENST00000265174	1x6vA
ENST00000265192	1jgnB
ENST00000265316	3nh6A
ENST00000265322	1yxmA
ENST00000265333	6g6uA
ENST00000265334	3zduA
ENST00000265339	1jasA
ENST00000265343	6r80A
ENST00000265351	5yu7A
ENST00000265354	1hbxA
ENST00000265371	2qqmA
ENST00000265381	1u3bA
ENST00000265395	2i9pA
ENST00000265404	1x1fA
ENST00000265421	4kliA
ENST00000265431	6fieB
ENST00000265433	5wqdI
ENST00000265462	3mngA
ENST00000265465	4y97C
ENST00000265471	3cu0A
ENST00000265523	2h63A
ENST00000265560	2y6eB
ENST00000265562	5mk2A
ENST00000265563	5xbyB
ENST00000265564	6h25E
ENST00000265594	2ejmA
ENST00000265598	4akmB
ENST00000265602	4esrA
ENST00000265641	2le3A
ENST00000265651	5hdwA
ENST00000265689	4da5A
ENST00000265723	
ENST00000265727	3g5cA
ENST00000265728	4f9aB
ENST00000265729	4uslA
ENST00000265734	1blxA
ENST00000265748	4xh3A
ENST00000265849	1h7sB
ENST00000265854	4dzoB
ENST00000265857	6au8A
ENST00000265896	6c6rA
ENST00000265968	2o10A
ENST00000265970	6btyB
ENST00000265981	2ecnA
ENST00000265997	2dnlA
ENST00000266031	2pe4A
ENST00000266070	4l7xA
ENST00000266079	5o9zG
ENST00000266085	3ckiB
ENST00000266087	4l9hA
ENST00000266126	6k71C
ENST00000266269	2yt9A
ENST00000266304	
ENST00000266397	4f9zA
ENST00000266503	2kdkA
ENST00000266529	2e5hA
ENST00000266544	5xtbJ
ENST00000266551	3ff7C
ENST00000266556	5werC
ENST00000266557	5tl5A
ENST00000266560	6e5wA
ENST00000266659	3q2uA
ENST00000266674	4kngB
ENST00000266732	1gjjA
ENST00000266743	4cpcG
ENST00000266987	5n8lA
ENST00000267023	5d8eB
ENST00000267082	3v4pB
ENST00000267101	4leoC
ENST00000267163	4eljA
ENST00000267202	
ENST00000267273	4mtlA
ENST00000267291	2csyA
ENST00000267396	3cbqA
ENST00000267415	5xyfA
ENST00000267430	4bxoA
ENST00000267460	3egaA
ENST00000267594	6senL
ENST00000267615	2q7dB
ENST00000267812	5f5sB
ENST00000267814	1pl8A
ENST00000267845	4e1oA
ENST00000267853	2kxsA
ENST00000267884	4uyjB
ENST00000267938	1zuoA
ENST00000267953	5uukA
ENST00000267984	
ENST00000268053	3na1A
ENST00000268057	
ENST00000268058	1borA
ENST00000268122	3hd6A
ENST00000268124	3ikmD
ENST00000268125	3hy5A
ENST00000268171	5jxgA
ENST00000268182	3fayA
ENST00000268206	5anbK
ENST00000268231	
ENST00000268261	2amyA
ENST00000268379	5xteK
ENST00000268482	5yzgZ
ENST00000268483	1xbsA
ENST00000268489	2da3A
ENST00000268533	5t3pC
ENST00000268655	1y7qA
ENST00000268668	5xtcd
ENST00000268695	4fdiA
ENST00000268712	2eqrA
ENST00000268717	4d10C
ENST00000268802	6g18y
ENST00000268835	2ji4A
ENST00000269143	6nyyC
ENST00000269159	2fvzB
ENST00000269202	4gwmB
ENST00000269209	2dkzA
ENST00000269214	5t53A
ENST00000269228	3jd8A
ENST00000269298	2beiB
ENST00000269299	5jq1A
ENST00000269385	5eq0A
ENST00000269397	2k28A
ENST00000269439	5d0kC
ENST00000269466	3zwfA
ENST00000269571	5kwgC
ENST00000269576	4zryA
ENST00000269582	2obfB
ENST00000269593	2dspB
ENST00000269601	4cdoA
ENST00000270066	
ENST00000270139	3se3A
ENST00000270142	6dtkA
ENST00000270225	6cwyC
ENST00000270233	2petA
ENST00000270538	2cw9A
ENST00000270586	5ln31
ENST00000270625	4v6xAL
ENST00000270642	6dldA
ENST00000270722	2n1iA
ENST00000270776	2jkvA
ENST00000270792	1sj6A
ENST00000270800	3dlqR
ENST00000270861	3cokA
ENST00000270879	2j5zA
ENST00000271308	5le5D
ENST00000271450	1h9vA
ENST00000271469	1jv1A
ENST00000271628	5gvqA
ENST00000271638	2lucA
ENST00000271640	6bheA
ENST00000271651	5z5oA
ENST00000271715	6empA
ENST00000271751	5j7eC
ENST00000271764	5oa30
ENST00000271843	2kjxA
ENST00000271971	1zivA
ENST00000272091	6qdvz
ENST00000272163	2digA
ENST00000272190	4amtA
ENST00000272217	4ileA
ENST00000272233	2fv8A
ENST00000272252	1snzA
ENST00000272286	5do7B
ENST00000272418	3j9mAD
ENST00000272444	4jmjA
ENST00000272452	2gwhB
ENST00000272602	3swyA
ENST00000272638	2kxjA
ENST00000272645	2c35A
ENST00000272852	5mrvA
ENST00000272928	
ENST00000272930	3fn1B
ENST00000273047	1tu3C
ENST00000273062	1ta0A
ENST00000273130	6b9hB
ENST00000273179	2hhlC
ENST00000273183	6b25A
ENST00000273261	4u7lA
ENST00000273283	6fpyA
ENST00000273480	2eclA
ENST00000273550	5yi5A
ENST00000273588	1wsrA
ENST00000273610	2rmgA
ENST00000273853	5lskP
ENST00000273920	1ynsA
ENST00000274026	1vywB
ENST00000274031	1h3iA
ENST00000274054	2eqnA
ENST00000274065	4v6xAB
ENST00000274093	5cfbD
ENST00000274217	6drmA
ENST00000274242	4v6xCj
ENST00000274289	4i6bA
ENST00000274306	1orfA
ENST00000274311	5lzzii
ENST00000274353	4m3pB
ENST00000274364	5cjpE
ENST00000274376	1werA
ENST00000274400	6o9l6
ENST00000274498	1ugvA
ENST00000274507	5b0hA
ENST00000274532	5dznA
ENST00000274547	6d6tA
ENST00000274565	2leoA
ENST00000274625	4cjmD
ENST00000274643	2x4fA
ENST00000274711	5z8xA
ENST00000274712	5o9zN
ENST00000274721	2gh0A
ENST00000274764	5gt3D
ENST00000274793	3f98A
ENST00000274813	3bicB
ENST00000275034	5enfA
ENST00000275428	3cryA
ENST00000275493	4uv7A
ENST00000275525	1zt3A
ENST00000275603	6nr8F
ENST00000275732	5nvkB
ENST00000275815	3kkaA
ENST00000275988	5lugA
ENST00000276201	1uw4A
ENST00000276297	3kuqA
ENST00000276344	2wa0A
ENST00000276420	2d9wA
ENST00000276431	1d4vA
ENST00000276449	5omaB
ENST00000276480	2cs8A
ENST00000276571	1go9A
ENST00000276585	3j9mAW
ENST00000276603	3bqoA
ENST00000276692	2xioA
ENST00000276893	4tvrA
ENST00000276927	3ux9A
ENST00000277010	5hk1B
ENST00000277225	1x6fA
ENST00000277517	2pnyA
ENST00000277746	4zeyA
ENST00000277865	1nr1A
ENST00000278175	2l7sA
ENST00000278193	3lraA
ENST00000278198	3zyjA
ENST00000278412	5umsA
ENST00000278422	2dj0A
ENST00000278483	3wvzA
ENST00000278616	5np0A
ENST00000278618	2c43A
ENST00000278671	5x6vE
ENST00000278742	5lyoA
ENST00000278836	5yhuA
ENST00000278947	5fdyA
ENST00000278979	1yz4A
ENST00000279206	5lf9A
ENST00000279227	2ys3A
ENST00000279230	4gnkD
ENST00000279281	4j2cB
ENST00000279441	3v96B
ENST00000279488	1hzmA
ENST00000279839	6id1P
ENST00000279873	1ig6A
ENST00000280154	3eijA
ENST00000280155	1hllA
ENST00000280326	6qb8E
ENST00000280346	6ct00
ENST00000280357	1j0sA
ENST00000280362	3i2bA
ENST00000280377	6ml1B
ENST00000280551	3efoB
ENST00000280557	5vycl1
ENST00000280571	
ENST00000280614	6bt2B
ENST00000280700	2ccqA
ENST00000280701	2iwzA
ENST00000280772	4o6xA
ENST00000280904	5j5jA
ENST00000281031	5xtcg
ENST00000281043	5g1xB
ENST00000281092	2kk6A
ENST00000281182	1rx0A
ENST00000281243	1hdrA
ENST00000281589	4iveB
ENST00000281623	3l2oB
ENST00000281701	2x8aA
ENST00000281821	4m4pA
ENST00000281828	3l4gB
ENST00000281834	2hevF
ENST00000281950	1y96A
ENST00000282020	5kcaA
ENST00000282074	2ve7A
ENST00000282091	1bwxA
ENST00000282096	1so2A
ENST00000282141	2nbrA
ENST00000282251	6id1U
ENST00000282344	5l8wA
ENST00000282388	1rgoA
ENST00000282397	5t89Y
ENST00000282412	2p8eB
ENST00000282516	
ENST00000282541	2plaA
ENST00000282588	5hgjA
ENST00000282701	2qcqA
ENST00000282728	2e1oA
ENST00000283109	6hk6F
ENST00000283131	6ne3W
ENST00000283147	2r52A
ENST00000283195	4lqwA
ENST00000283228	2a8bA
ENST00000283243	6jliA
ENST00000283249	5neuB
ENST00000283285	6arqA
ENST00000283290	4nawD
ENST00000283429	2exxA
ENST00000283635	1akjD
ENST00000283752	4zk3A
ENST00000283871	1eybA
ENST00000283875	6o9lQ
ENST00000283891	2dmnA
ENST00000284031	2jajB
ENST00000284073	6c8u1
ENST00000284110	1t8tA
ENST00000284273	5vr6A
ENST00000284274	4ksjA
ENST00000284601	5zqvE
ENST00000284818	2e56A
ENST00000284878	3j6nK
ENST00000284885	4dgjA
ENST00000284984	2v4bA
ENST00000284987	2rjqA
ENST00000285018	4uzqB
ENST00000285021	2rvbA
ENST00000285039	4j5mA
ENST00000285046	3mpxA
ENST00000285071	3v42B
ENST00000285093	4c2jA
ENST00000285208	2e9sA
ENST00000285298	3j9mAN
ENST00000285379	3k34A
ENST00000285381	3uyqA
ENST00000285407	2epaA
ENST00000285814	2affB
ENST00000285873	5h1kB
ENST00000285930	1us0A
ENST00000285968	5ijnD
ENST00000285979	2cikC
ENST00000286201	6o3bC
ENST00000286301	4wrmA
ENST00000286307	
ENST00000286398	4u4pA
ENST00000286428	6nr83
ENST00000286548	
ENST00000286574	2ygqA
ENST00000286614	1rm8A
ENST00000286733	6dxwA
ENST00000286758	4zaiA
ENST00000286760	5x1gC
ENST00000286788	6nr8H
ENST00000286800	2ihcA
ENST00000286827	4k2pA
ENST00000287025	3m66A
ENST00000287139	4n1dA
ENST00000287156	1wzvA
ENST00000287202	2dgqA
ENST00000287218	1x4wA
ENST00000287295	5kviA
ENST00000287322	1m7kA
ENST00000287387	4w79A
ENST00000287394	5epbA
ENST00000287437	2yu4A
ENST00000287538	2rpcA
ENST00000287600	4jv8B
ENST00000287641	2mi1A
ENST00000287675	5t40B
ENST00000287706	
ENST00000287727	4bkwA
ENST00000287777	4ascA
ENST00000287820	3dzuD
ENST00000288022	3g5kA
ENST00000288087	2wm8A
ENST00000288111	2qq5A
ENST00000288135	2e9wB
ENST00000288368	6bnmA
ENST00000288607	6jptA
ENST00000288699	4b90A
ENST00000288937	3j7yO
ENST00000288943	1m3gA
ENST00000288986	2ci9A
ENST00000289359	2ymbD
ENST00000289361	4f80A
ENST00000289429	5j1aA
ENST00000289431	5ljmA
ENST00000289473	1uecA
ENST00000289528	1x4vA
ENST00000289547	3qntA
ENST00000289865	2y5bE
ENST00000290079	2lorA
ENST00000290158	1qgrA
ENST00000290200	3lqmA
ENST00000290231	1v95A
ENST00000290246	6ie1A
ENST00000290295	5eeaB
ENST00000290310	2m0qA
ENST00000290341	6qeyA
ENST00000290349	4z3dA
ENST00000290354	2hrbA
ENST00000290374	2n6aA
ENST00000290429	2c2nA
ENST00000290472	5ixcB
ENST00000290524	2kw3A
ENST00000290541	5ln37
ENST00000290573	5hexA
ENST00000290583	2dnoA
ENST00000290597	3v9hA
ENST00000290649	4ladB
ENST00000290650	3ny1A
ENST00000290722	2aphA
ENST00000290765	4mpgA
ENST00000290866	5ambA
ENST00000290921	6cdfA
ENST00000290953	1hykA
ENST00000291009	3es6B
ENST00000291232	1oqeK
ENST00000291295	3o77A
ENST00000291386	4h3kB
ENST00000291527	1hi7A
ENST00000291539	4y86B
ENST00000291547	1x2nA
ENST00000291554	
ENST00000291565	2yxtA
ENST00000291568	2octA
ENST00000291582	2lriC
ENST00000291688	4dhxA
ENST00000291744	2j3fA
ENST00000291842	4crhA
ENST00000292079	2mkvA
ENST00000292211	2qgxB
ENST00000292246	6r7xA
ENST00000292301	6gpsA
ENST00000292303	5uiwA
ENST00000292363	2n9oA
ENST00000292401	3es6A
ENST00000292431	4u2nA
ENST00000292432	3hm8A
ENST00000292476	6dnhC
ENST00000292596	4bpmA
ENST00000292599	2f8xM
ENST00000292672	2dnhA
ENST00000292782	6bg3A
ENST00000293328	6mbzA
ENST00000293330	1r02A
ENST00000293379	3vi3A
ENST00000293404	4k30A
ENST00000293599	3d9sA
ENST00000293662	2pntA
ENST00000293825	4ht1T
ENST00000293831	5zc9A
ENST00000294008	4uyiA
ENST00000294129	6deeA
ENST00000294172	4wykC
ENST00000294179	3efoC
ENST00000294309	6nq0A
ENST00000294312	2p23A
ENST00000294360	5zrtA
ENST00000294409	1oqjA
ENST00000294428	1wg1A
ENST00000294435	6at8A
ENST00000294485	6fkqB
ENST00000294728	1vcaB
ENST00000294785	6idfA
ENST00000294973	2qnkA
ENST00000295006	1kfuL
ENST00000295050	6mdwA
ENST00000295055	2i7aA
ENST00000295087	1zj6A
ENST00000295095	3byiA
ENST00000295119	4lirB
ENST00000295121	3i2nA
ENST00000295131	2dipA
ENST00000295225	2e6wA
ENST00000295240	
ENST00000295256	2vcqA
ENST00000295304	
ENST00000295321	6emrA
ENST00000295379	6sf3B
ENST00000295408	5u6cA
ENST00000295417	6o39C
ENST00000295491	3j9mAP
ENST00000295550	2kntA
ENST00000295588	5l0vA
ENST00000295589	1d6gA
ENST00000295645	3eviA
ENST00000295683	2lnlA
ENST00000295688	6nr8K
ENST00000295704	2dmfA
ENST00000295718	2qt7B
ENST00000295727	2yprA
ENST00000295731	3n1fA
ENST00000295770	
ENST00000295797	3zh8A
ENST00000295809	3rloA
ENST00000295834	2f73A
ENST00000295888	3wimB
ENST00000295897	3jqzA
ENST00000295934	2k40A
ENST00000295981	6hgaB
ENST00000296027	2mgsA
ENST00000296028	1f9pA
ENST00000296029	1f9qB
ENST00000296043	6fcpP
ENST00000296099	2rmfA
ENST00000296130	1htnA
ENST00000296161	3pg6A
ENST00000296215	5z56X
ENST00000296220	2d9xA
ENST00000296233	2entA
ENST00000296255	
ENST00000296257	1th0A
ENST00000296271	5w0pC
ENST00000296302	3iu6A
ENST00000296328	2dlxA
ENST00000296370	1j55A
ENST00000296411	4iu6A
ENST00000296412	2fzwA
ENST00000296417	4nftC
ENST00000296424	2ag5A
ENST00000296440	3su8X
ENST00000296474	4qt8A
ENST00000296486	
ENST00000296504	2kdpA
ENST00000296509	2vfxA
ENST00000296511	1avhB
ENST00000296522	2gdzA
ENST00000296533	5zbhA
ENST00000296543	6c9mA
ENST00000296575	3ho3A
ENST00000296591	4d90A
ENST00000296632	6l1mA
ENST00000296674	4v6xAX
ENST00000296679	
ENST00000296682	4ijdA
ENST00000296684	5xtbL
ENST00000296695	1cgiI
ENST00000296702	4fqgB
ENST00000296777	1hy9A
ENST00000296785	4qqiA
ENST00000296786	2kx3A
ENST00000296795	2a0zA
ENST00000296861	3u3pA
ENST00000296870	5uwcI
ENST00000296871	2gmfA
ENST00000296877	2l1qA
ENST00000296946	6f58A
ENST00000296980	3g9vC
ENST00000297012	5gt0C
ENST00000297029	3fg6A
ENST00000297107	2d7iA
ENST00000297109	2n1uA
ENST00000297151	6qdvc
ENST00000297185	6p2uA
ENST00000297205	
ENST00000297258	4lkpA
ENST00000297261	3m1nB
ENST00000297265	5wa1B
ENST00000297268	5ctdB
ENST00000297316	2yulA
ENST00000297338	4pk7B
ENST00000297350	3urfZ
ENST00000297431	5ujmE
ENST00000297435	1zmmA
ENST00000297436	3qteA
ENST00000297439	2nlsA
ENST00000297494	4d1pA
ENST00000297504	5ochA
ENST00000297537	2m34A
ENST00000297540	2xc7A
ENST00000297596	2cjwB
ENST00000297785	5l2mA
ENST00000297857	2ghfA
ENST00000297904	2xv7A
ENST00000297954	6elmA
ENST00000297977	2da4A
ENST00000297988	6qziA
ENST00000298048	5twuA
ENST00000298119	5xwtD
ENST00000298139	2fbyA
ENST00000298223	4kmyA
ENST00000298229	5okpA
ENST00000298248	3f3sA
ENST00000298283	4ug0LI
ENST00000298307	6do4A
ENST00000298310	3j92v
ENST00000298316	6bbpA
ENST00000298317	5ubaA
ENST00000298352	1oj6B
ENST00000298386	2m96A
ENST00000298492	6h3cA
ENST00000298510	5ucxA
ENST00000298527	3wwkC
ENST00000298552	4z6yF
ENST00000298556	2vfaA
ENST00000298573	2vswA
ENST00000298687	2xmrA
ENST00000298717	5il2A
ENST00000298767	4k6jA
ENST00000298852	5l4gM
ENST00000298875	
ENST00000298910	6dloA
ENST00000299084	3syxA
ENST00000299138	5f0pA
ENST00000299155	6gjeA
ENST00000299163	4z1vA
ENST00000299166	5xtcc
ENST00000299178	
ENST00000299213	2mtgA
ENST00000299300	6nr8B
ENST00000299314	2n6dA
ENST00000299367	2i6qA
ENST00000299424	4wv4A
ENST00000299427	3ee6A
ENST00000299481	4n1lA
ENST00000299492	3qh9A
ENST00000299518	5yvtA
ENST00000299563	5veyC
ENST00000299601	4m6tA
ENST00000299633	6iiqA
ENST00000299638	6drdM
ENST00000299663	3wh2A
ENST00000299665	3whdA
ENST00000299766	
ENST00000299767	4nh9A
ENST00000299855	1slmA
ENST00000300026	3iciB
ENST00000300030	2m5hA
ENST00000300060	5lhdA
ENST00000300061	6bqnC
ENST00000300069	2m9kA
ENST00000300086	3k6gA
ENST00000300087	5nw4h
ENST00000300093	2rkuA
ENST00000300105	6dlzA
ENST00000300113	2becA
ENST00000300146	2xesA
ENST00000300151	3j7yN
ENST00000300209	4qpnA
ENST00000300213	3ay5A
ENST00000300283	1qk1A
ENST00000300289	3f8uA
ENST00000300291	3bapA
ENST00000300413	3pgwU
ENST00000300574	2eyzA
ENST00000300605	3hltA
ENST00000300651	6d94B
ENST00000300692	1xiwB
ENST00000300738	3hncB
ENST00000300900	5jn8A
ENST00000300935	4lhxA
ENST00000301012	3d4jA
ENST00000301019	2wvrC
ENST00000301046	4l41A
ENST00000301067	4z4pA
ENST00000301068	3oesA
ENST00000301071	5jcoA
ENST00000301141	1z10A
ENST00000301149	6e8yA
ENST00000301178	5u6bD
ENST00000301244	4u32X
ENST00000301281	
ENST00000301295	4ewiA
ENST00000301318	2epxA
ENST00000301336	1yhnB
ENST00000301364	6g18u
ENST00000301408	1qfwB
ENST00000301420	1spjA
ENST00000301455	6eubA
ENST00000301458	4zrpC
ENST00000301464	1rmjA
ENST00000301488	2m1lA
ENST00000301522	1qmvA
ENST00000301585	6nu2p
ENST00000301645	3v8dA
ENST00000301691	2k8pA
ENST00000301729	1sg4C
ENST00000301740	6iczU
ENST00000301764	3ei3A
ENST00000301788	2c35B
ENST00000301831	6u5lA
ENST00000301838	2gf5A
ENST00000302000	2vp7A
ENST00000302005	6f2rQ
ENST00000302068	3h32B
ENST00000302085	1khuA
ENST00000302118	5vlpA
ENST00000302174	1q33A
ENST00000302177	1vtnC
ENST00000302182	2y5bB
ENST00000302188	5c40A
ENST00000302190	6ithA
ENST00000302247	1fd3A
ENST00000302259	3s8iA
ENST00000302262	5kzwA
ENST00000302279	2h6fA
ENST00000302312	1z8uC
ENST00000302313	5k1aF
ENST00000302386	6hymB
ENST00000302418	1mkjA
ENST00000302451	5xf7A
ENST00000302472	5ywyA
ENST00000302506	1c25A
ENST00000302516	5ifeA
ENST00000302517	5w9sC
ENST00000302536	4a27A
ENST00000302632	4pxzA
ENST00000302708	2iuwA
ENST00000302746	1ni4B
ENST00000302759	4qpmB
ENST00000302763	4iggA
ENST00000302804	6gr8A
ENST00000302824	2r55A
ENST00000302850	4zxbE
ENST00000302874	
ENST00000302904	1k99A
ENST00000302907	4ug0SJ
ENST00000302909	6rv3A
ENST00000302964	2hm2Q
ENST00000302987	1i16A
ENST00000303004	1h88A
ENST00000303088	3uxgA
ENST00000303115	3up1A
ENST00000303151	6cwxA
ENST00000303204	6i3vF
ENST00000303212	5mr5A
ENST00000303227	3zw5A
ENST00000303230	5u6pA
ENST00000303236	4g31A
ENST00000303305	2q8kA
ENST00000303375	5ew6A
ENST00000303407	2yw5A
ENST00000303415	4i2xE
ENST00000303436	1z6xA
ENST00000303469	4rfqA
ENST00000303562	1fosE
ENST00000303577	1wvnA
ENST00000303592	3gj9C
ENST00000303596	2lauA
ENST00000303635	2cxkA
ENST00000303714	3n2nA
ENST00000303775	6pedA
ENST00000303795	5w7wA
ENST00000303887	
ENST00000303904	4wsnF
ENST00000303910	5veyA
ENST00000303961	5v1bA
ENST00000303965	2codA
ENST00000304043	5waaA
ENST00000304061	4diqA
ENST00000304062	3rk3E
ENST00000304129	2cofA
ENST00000304191	5e8jD
ENST00000304218	3tzdT
ENST00000304298	6f2rC
ENST00000304363	3s8pB
ENST00000304430	3h95A
ENST00000304460	
ENST00000304526	2kbcB
ENST00000304625	2bexC
ENST00000304636	6fzwA
ENST00000304639	4x08A
ENST00000304677	6enpA
ENST00000304710	1roaA
ENST00000304786	5aoxA
ENST00000304788	2w4mA
ENST00000304842	5wrjA
ENST00000304863	5xteC
ENST00000304874	1k62B
ENST00000304895	3hn3D
ENST00000304979	1mzwA
ENST00000304992	5xjcA
ENST00000305097	4xnvA
ENST00000305123	1qqgB
ENST00000305135	5xnvA
ENST00000305231	2o6lA
ENST00000305233	4ld6A
ENST00000305249	6e59A
ENST00000305264	4a69A
ENST00000305352	3v2yA
ENST00000305363	2oq5A
ENST00000305386	5vcmA
ENST00000305447	6n51A
ENST00000305476	
ENST00000305510	5k23C
ENST00000305533	2w0iA
ENST00000305536	6ff41
ENST00000305596	1syxB
ENST00000305784	1nn5A
ENST00000305786	5ty3A
ENST00000305817	1lg4A
ENST00000305869	1eotA
ENST00000305877	5n6rA
ENST00000305885	1ul1X
ENST00000305963	
ENST00000305988	6e67A
ENST00000305991	1jdmA
ENST00000306024	6qw663
ENST00000306052	5b4xB
ENST00000306065	4b93B
ENST00000306085	5jw7B
ENST00000306107	5a2fA
ENST00000306108	2b25A
ENST00000306125	4ye9A
ENST00000306156	2wh0Q
ENST00000306185	3j7yK
ENST00000306193	4cqmB
ENST00000306376	4unoA
ENST00000306385	6bslA
ENST00000306434	5a1iA
ENST00000306442	2eslA
ENST00000306602	1o80A
ENST00000306621	1rjtA
ENST00000306627	3bzhA
ENST00000306735	2e7gA
ENST00000306749	4pivA
ENST00000306773	
ENST00000306801	6bcxW
ENST00000306846	3rk6A
ENST00000306858	5qhmA
ENST00000306869	3d3wA
ENST00000306897	2c2hB
ENST00000306954	6gwjD
ENST00000306960	5cxvA
ENST00000307017	4rxxA
ENST00000307046	3lriA
ENST00000307050	2l2dA
ENST00000307102	3w8qA
ENST00000307116	4bt9B
ENST00000307161	6me2A
ENST00000307194	3v70A
ENST00000307333	1shuX
ENST00000307358	4ri0A
ENST00000307365	3lq9A
ENST00000307395	3rezA
ENST00000307407	1qe6D
ENST00000307503	3r9aA
ENST00000307522	4lg6B
ENST00000307534	3smpB
ENST00000307546	3soeA
ENST00000307602	6b9hA
ENST00000307624	4mocA
ENST00000307630	4e2eA
ENST00000307712	5kynB
ENST00000307741	2o36A
ENST00000307751	4ym3A
ENST00000307790	2di0A
ENST00000307845	5t7cA
ENST00000307851	5f71A
ENST00000307877	4p3fB
ENST00000307892	3nerB
ENST00000307897	3if8A
ENST00000307961	5lksLC
ENST00000307980	3g65A
ENST00000307998	2kl7A
ENST00000308018	3j9mAJ
ENST00000308025	6qw65X
ENST00000308086	2d8rA
ENST00000308110	2zixA
ENST00000308153	3waaC
ENST00000308192	4a5tS
ENST00000308317	5xjr2
ENST00000308330	5zojD
ENST00000308342	6e8rA
ENST00000308366	3eloA
ENST00000308394	5ibpA
ENST00000308406	4ic7A
ENST00000308423	4btyA
ENST00000308521	5hx4A
ENST00000308527	4akvA
ENST00000308595	5uklA
ENST00000308677	4wb7A
ENST00000308696	5l4kN
ENST00000308724	2e9gA
ENST00000308733	4csrB
ENST00000308768	4uijA
ENST00000308807	4mwiA
ENST00000308868	1ax8A
ENST00000308924	5ev2A
ENST00000308973	2j67A
ENST00000308979	6nihB
ENST00000308987	1dksA
ENST00000309042	2czyB
ENST00000309048	4e44A
ENST00000309100	6aqbA
ENST00000309235	2ctuA
ENST00000309241	6d0yB
ENST00000309311	4v6xAz
ENST00000309328	
ENST00000309352	3j7y6
ENST00000309422	2xacA
ENST00000309502	5uenB
ENST00000309539	1ypqB
ENST00000309594	3j7yo
ENST00000309660	1l8kA
ENST00000309739	2rexD
ENST00000309755	5nkpB
ENST00000309758	3fe1A
ENST00000309859	1mhqA
ENST00000309863	3bbpD
ENST00000309868	1ujsA
ENST00000309889	2f8vT
ENST00000309922	5nfjA
ENST00000309931	5nnzA
ENST00000309955	3h11A
ENST00000309964	4h10B
ENST00000309971	6b4fA
ENST00000309983	2bzgA
ENST00000309993	4b7yC
ENST00000310053	4s0nB
ENST00000310118	5gjqZ
ENST00000310128	2ndjA
ENST00000310137	2dnpA
ENST00000310144	6msgC
ENST00000310169	4uxuA
ENST00000310227	3zmsC
ENST00000310298	3ecmA
ENST00000310325	1m6dA
ENST00000310343	3iugA
ENST00000310398	3ph9B
ENST00000310430	5jhqD
ENST00000310447	2p2cE
ENST00000310455	2eefA
ENST00000310512	6dcbA
ENST00000310546	6dn7A
ENST00000310581	5ugwA
ENST00000310597	1x4sA
ENST00000310613	3cklA
ENST00000310614	6nu2f
ENST00000310758	3a98D
ENST00000310775	
ENST00000310806	1wgxA
ENST00000310823	2oi0A
ENST00000310826	1wjpA
ENST00000310926	3mrrP
ENST00000310942	2d9uA
ENST00000310955	5g04R
ENST00000310999	3j7yJ
ENST00000311127	4hdqC
ENST00000311180	4zkfA
ENST00000311224	2pkdA
ENST00000311337	1ne7A
ENST00000311412	5la4A
ENST00000311481	5szhB
ENST00000311528	4ug0LL
ENST00000311549	4ug0LT
ENST00000311559	2vhfA
ENST00000311635	5vztB
ENST00000311659	1wx7A
ENST00000311772	3v4yD
ENST00000311806	3dakA
ENST00000311813	4cskA
ENST00000311832	2h2mA
ENST00000311852	3c7xA
ENST00000311862	1h8uA
ENST00000311893	5wkpH
