ENST00000330271 Q5JWF8
ENST00000285013 Q68D06
ENST00000263857 O95602
ENST00000310954 Q6ZQN7
ENST00000331664 A6NGG8
ENST00000317011 Q6PIV2
ENST00000323865 P08908
ENST00000265350 Q9H944
ENST00000269097 Q9BUM1
ENST00000301452 Q8TDN7
ENST00000316316 Q9NXL9
ENST00000268603 P55287
ENST00000331289 Q99929
ENST00000304858 P34932
ENST00000316087 Q9BWV2
ENST00000291633 P43626
ENST00000173898 Q12816
ENST00000182290 Q96QS1
ENST00000320634 Q9BWQ8
ENST00000265742 Q9P2G1
ENST00000299952 Q96A59
ENST00000286713 P27105
ENST00000261921 Q08397
ENST00000326321 P43630
ENST00000265342 Q6MZW2
ENST00000316637 Q9H4E7
ENST00000302649 P20396
ENST00000326005 O95190
ENST00000274990 Q6Q6R5
ENST00000272847 P49190
ENST00000334025 Q6MZT1
ENST00000309415 Q8TEJ3
ENST00000316997 Q6ZP01
ENST00000302631 O14828
ENST00000313511 P49411
ENST00000301015 Q92508
ENST00000260361 Q9Y375
ENST00000269053 Q8IXA5
ENST00000310778 P54257
ENST00000265077 P13611
ENST00000334574 A1L4K1
ENST00000268720 Q9UBL6
ENST00000231512 Q8NC54
ENST00000296444 Q8N114
ENST00000225983 Q9UQL6
ENST00000329758 P0CI25
ENST00000319933 Q96GV9
ENST00000319264 Q8IV03
ENST00000258302 P57771
ENST00000228318 Q00325
ENST00000328379 Q6GMV3
ENST00000297770 Q8N4T0
ENST00000299529 P29762
ENST00000222033 Q8WWF5
ENST00000319977 Q8N3J3
ENST00000334418 Q86UT8
ENST00000225823 Q16515
ENST00000257776 Q96G30
ENST00000261721 Q9H0C5
ENST00000304511 Q9H061
ENST00000246151 Q9GZP4
ENST00000303728 O14603
ENST00000322019 Q9BZW5
ENST00000285805 Q86UV6
ENST00000307885 O43306
ENST00000263433 Q9BZL4
ENST00000329862 A6NI03
ENST00000249016 Q99705
ENST00000299705 Q9Y3Q3
ENST00000288840 O43541
ENST00000305428 Q9UPX6
ENST00000315520 Q13520
ENST00000256958 Q9Y6L6
ENST00000304231 Q9NSB8
ENST00000264108 O14929
ENST00000335211 Q86VF2
ENST00000281453 Q71F23
ENST00000310373 Q9HCN6
ENST00000315796 Q6UB28
ENST00000268184 Q6UUV7
ENST00000316398 Q8N998
ENST00000331070 O14599
ENST00000295992 Q9UKZ9
ENST00000293414 Q96NS5
ENST00000221561 Q08117
ENST00000274341 P10915
ENST00000268699 O95995
ENST00000318010 Q8TET4
ENST00000318672 Q8NBW4
ENST00000284262 Q8WXH2
ENST00000306315 Q9ULD9
ENST00000306243 Q8NCH0
ENST00000314940 Q13151
ENST00000252542 Q14151
ENST00000333385 P0DTA3
ENST00000326737 Q96MB7
ENST00000258886 P48200
ENST00000241356 P0DMS8
ENST00000325680 P49750
ENST00000282369 Q9NQ86
ENST00000263800 P29376
ENST00000327042 Q8N661
ENST00000033079 Q9NYF5
ENST00000241051 Q96QD5
ENST00000321326 Q6NUQ4
ENST00000316737 Q9UKR8
ENST00000331462 Q9GZZ0
ENST00000332272 Q9GZX3
ENST00000290208 Q7Z7H8
ENST00000252599 Q8NBJ5
ENST00000249499 P28356
ENST00000278601 Q96A22
ENST00000326427 Q9NQX7
ENST00000324642 Q96N87
ENST00000268661 Q92901
ENST00000298159 Q9Y281
ENST00000266604 Q9BRT6
ENST00000293502 Q8NEX9
ENST00000252211 Q9BRR0
ENST00000334176 Q6ZS82
ENST00000307921 Q9BUB4
ENST00000298375 Q96JD6
ENST00000278505 O94919
ENST00000312988 Q6PEY2
ENST00000292478 O75127
ENST00000315985 P63151
ENST00000262605 Q9BTX7
ENST00000272117 P27987
ENST00000263636 O60449
ENST00000269973 Q02386
ENST00000305344 P28566
ENST00000285737 Q86WA8
ENST00000299886 Q8WTW3
ENST00000300098 O15218
ENST00000252505 Q8N6M5
ENST00000334444 O15440
ENST00000326499 O95498
ENST00000320285 Q9NRZ5
ENST00000259050 Q9H992
ENST00000269025 Q96FV0
ENST00000300101 O15060
ENST00000294119 Q04323
ENST00000310624 P12036
ENST00000253031 Q9BWQ6
ENST00000321143 P53701
ENST00000293973 O00634
ENST00000262982 P55060
ENST00000326446 Q8N6S5
ENST00000264554 P98077
ENST00000262839 Q9UL62
ENST00000300303 Q8N8M0
ENST00000253799 O75106
ENST00000300961 Q96MG2
ENST00000251102 Q14028
ENST00000236980 Q9NYY8
ENST00000265022 P49619
ENST00000224356 O43174
ENST00000218316 Q13585
ENST00000332235 Q8TF44
ENST00000281772 A0AUZ9
ENST00000246117 Q969V3
ENST00000316788 Q92572
ENST00000328114 Q6DKI2
ENST00000291906 Q6P5Z2
ENST00000219919 O43315
ENST00000254853 Q9NWF4
ENST00000263093 Q9Y2P5
ENST00000309957 Q8IW45
ENST00000267328 Q9NX57
ENST00000322246 Q30KQ8
ENST00000322066 Q30KQ6
ENST00000332132 Q5XKR9
ENST00000316081 O60522
ENST00000331780 Q96LK8
ENST00000320188 Q1ZZU3
ENST00000334662 P60410
ENST00000323084 Q8WU66
ENST00000334670 P60412
ENST00000331573 O95456
ENST00000264080 Q9NPR9
ENST00000282326 Q8NBB4
ENST00000262958 P30679
ENST00000306882 Q9Y6F8
ENST00000289805 Q8IUW3
ENST00000302277 Q7Z570
ENST00000282308 Q9Y2P7
ENST00000286744 P82987
ENST00000327790 O43688
ENST00000307275 Q96MH2
ENST00000326652 A6NC51
ENST00000229903 Q9NPB0
ENST00000311106 P29120
ENST00000321510 Q8N5S1
ENST00000328381 Q8IUD6
ENST00000273308 Q9Y2B0
ENST00000296754 Q9NZ08
ENST00000308251 Q8TDN1
ENST00000291934 Q8WZ59
ENST00000262961 Q9UPR6
ENST00000260653 O95343
ENST00000332715 A6NGE7
ENST00000085068 Q96AB3
ENST00000205194 Q8WUY8
ENST00000311764 Q9H9D4
ENST00000311331 Q9P2J8
ENST00000233202 P49279
ENST00000243997 P56381
ENST00000303077 Q9NPC8
ENST00000217133 Q9H4B7
ENST00000325421 Q8NAF0
ENST00000294288 Q9NPB3
ENST00000301073 Q96C55
ENST00000221665 Q96SL8
ENST00000325351 Q8NCA9
ENST00000308964 Q9BWC9
ENST00000264088 Q9BV35
ENST00000325333 Q9UK33
ENST00000262510 Q86WI3
ENST00000315616 Q8IZ73
ENST00000258456 Q9Y5Y3
ENST00000291971 Q86W28
ENST00000270112 P57058
ENST00000253407 O75973
ENST00000314586 Q86VI1
ENST00000300658 Q96FM1
ENST00000262457 Q9Y283
ENST00000301310 Q96NG8
ENST00000234198 Q07687
ENST00000290130 Q9NYP9
ENST00000291691 P58505
ENST00000330927 P34910
ENST00000328434 Q9Y2R0
ENST00000247270 P22794
ENST00000247271 P23515
ENST00000304385 Q6P9G4
ENST00000291598 Q96ND8
ENST00000292069 Q5HYK9
ENST00000308031 Q9BX82
ENST00000258457 Q9BVC5
ENST00000252677 O95972
ENST00000273390 Q7Z4T9
ENST00000308284 Q96JE7
ENST00000330619 Q6ECI4
ENST00000293362 P61289
ENST00000304337 Q8IY51
ENST00000274457 Q96JP0
ENST00000261880 Q6PD74
ENST00000275016 Q9NYL5
ENST00000265191 P56597
ENST00000320334 Q9NRN5
ENST00000286122 Q8N9N5
ENST00000264071 P04350
ENST00000259782 Q9UJW2
ENST00000261483 Q16706
ENST00000264377 O75077
ENST00000258106 Q04741
ENST00000304801 P07205
ENST00000228468 P78348
ENST00000254181 Q9HBJ7
ENST00000269834 Q96PE6
ENST00000263095 O43296
ENST00000324537 Q99963
ENST00000304400 P19021
ENST00000264144 Q13753
ENST00000324662 P15391
ENST00000321545 Q08ER8
ENST00000306270 Q9P2D0
ENST00000321039 Q9GZP7
ENST00000282282 Q8IVP9
ENST00000294818 Q8N7C0
ENST00000284674 Q8NDV2
ENST00000334181 O43361
ENST00000307658 P17021
ENST00000287152 Q6ZMV9
ENST00000260128 Q8IWU6
ENST00000282292 Q6PK81
ENST00000318967 Q68E01
ENST00000268679 O75081
ENST00000300258 Q8TDR4
ENST00000241305 Q8N436
ENST00000287713 Q9BZQ4
ENST00000258168 Q9HAY6
ENST00000196489 Q9BWM5
ENST00000290155 P57076
ENST00000291592 Q9BY71
ENST00000317178 Q68DI1
ENST00000332854 Q6P9A1
ENST00000299871 Q13398
ENST00000300255 P58658
ENST00000319560 Q5JXX7
ENST00000317398 Q8TAW3
ENST00000318203 Q8NAM6
ENST00000282296 Q7Z340
ENST00000303575 P49755
ENST00000304236 Q8WXH6
ENST00000286835 O95104
ENST00000264276 Q96Q42
ENST00000306324 P09016
ENST00000304661 Q96EU7
ENST00000245680 Q8WV83
ENST00000313173 P13378
ENST00000283027 P53384
ENST00000330261 Q86WC6
ENST00000244314 Q6NXR0
ENST00000327237 Q96GQ5
ENST00000262127 Q8TAP6
ENST00000307331 P51168
ENST00000290759 Q96A47
ENST00000325303 Q8IZL9
ENST00000252603 O95336
ENST00000252595 Q6PCB7
ENST00000287490 Q02221
ENST00000319694 Q8IV56
ENST00000296849 Q969F2
ENST00000321870 Q8NFJ8
ENST00000248564 P61952
ENST00000315678 Q8N446
ENST00000310193 O75881
ENST00000257359 Q9UP79
ENST00000304987 Q9H0K1
ENST00000226951 Q7Z7G1
ENST00000008527 Q16526
ENST00000317615 Q969U7
ENST00000311129 P30154
ENST00000318887 Q5JPI3
ENST00000309534 Q9UFW8
ENST00000312053 Q14246
ENST00000301765 A5D8V6
ENST00000294413 P18577
ENST00000326756 Q9C0D4
ENST00000262715 Q99973
ENST00000313578 Q8NBQ7
ENST00000313349 Q14140
ENST00000335185 Q6ZRK6
ENST00000234256 P43007
ENST00000312403 P0DJD9
ENST00000269881 Q96L12
ENST00000267102 Q6UX01
ENST00000294258 O95159
ENST00000259883 Q96JS3
ENST00000279263 O76062
ENST00000264051 Q8N5V2
ENST00000325558 P0DJD8
ENST00000074304 Q96PE3
ENST00000335351 Q9UL49
ENST00000319285 Q9H773
ENST00000238561 Q86TW2
ENST00000334583 Q6F5E8
ENST00000318962 Q60I27
ENST00000321826 Q96G91
ENST00000299459 Q9H210
ENST00000317834 Q8NGH3
ENST00000299454 Q9H207
ENST00000278319 Q9UL58
ENST00000311148 Q86TX2
ENST00000278314 Q9UL59
ENST00000218006 P51841
ENST00000329454 Q8NEQ6
ENST00000255008 P31391
ENST00000253107 Q9NQ55
ENST00000334815 Q96IR7
ENST00000207457 Q9UIF3
ENST00000327442 A9QM74
ENST00000298032 Q5W041
ENST00000264930 Q9Y666
ENST00000261497 Q9UPT9
ENST00000315330 Q8NC01
ENST00000162044 Q9NX61
ENST00000262301 Q96S06
ENST00000302764 Q8WVJ2
ENST00000256433 Q9Y5U9
ENST00000307149 P83436
ENST00000258613 Q9NS62
ENST00000328848 Q9NPE3
ENST00000216101 Q92737
ENST00000316300 P08519
ENST00000335393 Q86XR2
ENST00000246006 Q9NPY3
ENST00000322522 P49441
ENST00000320580 Q6VY07
ENST00000299164 Q8TE58
ENST00000262365 P0C5J1
ENST00000294954 P22888
ENST00000283025 Q96M29
ENST00000240079 Q9Y3C0
ENST00000262623 P20648
ENST00000262103 Q9HAE3
ENST00000283351 Q9Y2L5
ENST00000303892 O95670
ENST00000236495 Q2M3M2
ENST00000304355 Q96QH8
ENST00000273905 Q3KNW5
ENST00000242784 Q9BQ61
ENST00000333676 P52815
ENST00000177694 Q9UL17
ENST00000301964 O75528
ENST00000276569 Q9NVT9
ENST00000203166 O94927
ENST00000292140 Q6NSJ2
ENST00000261867 O14863
ENST00000330398 P27449
ENST00000314728 O95208
ENST00000329753 A6NJ08
ENST00000333843 A6NE82
ENST00000308748 Q5U4P2
ENST00000329697 Q68CK6
ENST00000302036 O15527
ENST00000263776 Q96QU6
ENST00000262887 P18887
ENST00000312184 Q9BUB7
ENST00000334121 Q8WXA9
ENST00000283629 Q9NZI7
ENST00000251776 Q9BZX4
ENST00000249504 P31277
ENST00000295898 Q96KX1
ENST00000156109 Q92917
ENST00000249501 P28358
ENST00000294618 Q96HP0
ENST00000300811 Q96B54
ENST00000314124 Q8WWA1
ENST00000222374 Q8NFZ8
ENST00000265080 O14827
ENST00000007414 Q9BZF2
ENST00000307599 Q8NHS2
ENST00000277942 Q9GZQ6
ENST00000257836 Q9BZD6
ENST00000296792 Q8TED0
ENST00000252840 Q8N988
ENST00000020945 O43623
ENST00000261892 O60721
ENST00000300404 Q8NHY0
ENST00000233826 O60928
ENST00000262942 Q92747
ENST00000294964 Q504Y2
ENST00000218004 Q9NPJ8
ENST00000283882 Q9UEE9
ENST00000311378 Q8TEU8
ENST00000334414 P23467
ENST00000330498 P31639
ENST00000319595 P30939
ENST00000329970 Q969F1
ENST00000248572 P63211
ENST00000311303 Q96J65
ENST00000238855 Q6ULP2
ENST00000302548 Q96P67
ENST00000241256 Q92847
ENST00000281523 Q9H6B1
ENST00000217195 Q9GZN8
ENST00000265983 P02790
ENST00000290510 Q8IVL6
ENST00000334391 Q7Z7B8
ENST00000246105 Q9H1M3
ENST00000215917 Q9UH36
ENST00000311268 Q16538
ENST00000266069 Q9NWU2
ENST00000005226 Q9Y6N9
ENST00000260126 Q9H2Y9
ENST00000296452 Q9UPA5
ENST00000332411 Q01546
ENST00000301998 Q9NY97
ENST00000313237 Q96EK2
ENST00000296098 Q9BYV2
ENST00000252071 Q9C0K3
ENST00000265807 Q9H788
ENST00000223271 Q99969
ENST00000311507 Q9NZF1
ENST00000227163 P17947
ENST00000323078 Q9BV99
ENST00000219551 O75783
ENST00000247087 Q5TGY3
ENST00000310085 Q2M329
ENST00000310074 Q86TJ2
ENST00000328709 Q86WW8
ENST00000229304 P41238
ENST00000219478 O60304
ENST00000330689 Q86VZ2
ENST00000296498 P56730
ENST00000273963 Q9P2G9
ENST00000255784 Q9H6E4
ENST00000256593 P46439
ENST00000311469 Q96H96
ENST00000295910 Q7L0X2
ENST00000206423 Q76M96
ENST00000330553 Q5XKE5
ENST00000261234 Q9Y2B1
ENST00000335288 P51164
ENST00000308488 Q96T23
ENST00000262547 Q9NVP4
ENST00000312600 Q96DU9
ENST00000329913 Q9NR23
ENST00000324472 Q6NUT2
ENST00000250076 Q9UNY5
ENST00000304620 Q8N1N4
ENST00000321297 Q8NAA4
ENST00000295619 Q9HC23
ENST00000253270 Q76EJ3
ENST00000276594 Q9GZV8
ENST00000298532 Q5SXM2
ENST00000263054 Q8WY21
ENST00000331593 Q7Z5Y6
ENST00000246190 Q96P71
ENST00000252835 Q8NG94
ENST00000222381 P27169
ENST00000306999 Q8IV38
ENST00000331426 Q6ZSC3
ENST00000335390 Q86X19
ENST00000323684 Q8N7E2
ENST00000217289 Q9BQL6
ENST00000311351 O15116
ENST00000306422 Q5XKR4
ENST00000272433 Q8TD22
ENST00000328863 P58418
ENST00000249842 O14498
ENST00000056233 Q9Y4A8
ENST00000244007 P19174
ENST00000327044 Q9Y3T9
ENST00000279036 Q969N2
ENST00000280758 A6QL63
ENST00000216115 Q13323
ENST00000265627 Q15166
ENST00000323011 Q9ULB5
ENST00000321560 Q8N2A8
ENST00000281129 Q6ZU80
ENST00000298251 Q14CZ8
ENST00000297440 Q86Y56
ENST00000227451 Q9Y2E6
ENST00000310799 Q8TAV5
ENST00000314891 Q643R3
ENST00000264954 Q9HAV7
ENST00000317746 O75795
ENST00000252321 P22460
ENST00000315843 Q8NFN8
ENST00000262150 Q9H159
ENST00000221086 Q96QG7
ENST00000331738 Q7L4I2
ENST00000266395 Q13956
ENST00000307584 Q5BKX8
ENST00000240488 Q9BWT6
ENST00000232744 Q969K4
ENST00000261789 O15321
ENST00000295628 Q96CX6
ENST00000295633 Q12841
ENST00000264229 Q6ZU35
ENST00000322995 Q9Y484
ENST00000319098 Q6NUJ1
ENST00000296318 Q8NFM7
ENST00000289104 O14807
ENST00000265403 P36537
ENST00000310045 Q8IZU8
ENST00000328546 Q7Z5P4
ENST00000254616 Q9Y5J6
ENST00000325870 Q5VZB9
ENST00000308611 Q8TD46
ENST00000309562 Q8NGF8
ENST00000307378 P46721
ENST00000025301 Q9UKA4
ENST00000254579 Q96M86
ENST00000333425 Q9H611
ENST00000276914 Q99541
ENST00000293845 Q96M95
ENST00000264027 O75845
ENST00000328794 A6NLX3
ENST00000325926 Q9NS64
ENST00000247879 Q9NYW6
ENST00000308911 A6NNZ2
ENST00000262207 Q9H336
ENST00000263736 Q8N5C6
ENST00000216218 P50502
ENST00000286349 Q8IWZ5
ENST00000247881 Q9NYW5
ENST00000335385 O75333
ENST00000296473 Q86VX9
ENST00000255082 Q96HD9
ENST00000259407 Q14032
ENST00000326035 Q8IY84
ENST00000320048 Q8NH49
ENST00000319988 Q8NGB4
ENST00000327835 Q6ZNC4
ENST00000319856 Q8NH37
ENST00000319813 Q8NGB2
ENST00000262741 Q92569
ENST00000304698 Q6P995
ENST00000286149 Q7RTW8
ENST00000216129 Q14166
ENST00000312521 Q14995
ENST00000286355 P40145
ENST00000314400 Q6NW34
ENST00000274192 P18405
ENST00000294671 Q8N8V2
ENST00000327928 A6NHN0
ENST00000246024 Q9H1E5
ENST00000329805 Q8IWD5
ENST00000334304 Q8IWK6
ENST00000278612 Q14207
ENST00000264968 Q9UM21
ENST00000295899 Q6I9Y2
ENST00000334857 Q8NHC4
ENST00000310326 Q96P11
ENST00000262067 O95857
ENST00000218721 O43193
ENST00000278980 Q86VX2
ENST00000299157 Q70UQ0
ENST00000291900 Q7Z7L7
ENST00000312481 A8TX70
ENST00000334133 Q14699
ENST00000301050 P54284
ENST00000251566 Q6UWM9
ENST00000283206 Q96K49
ENST00000243300 Q7Z2Y5
ENST00000307221 Q7Z6W7
ENST00000251108 Q9BWV3
ENST00000311912 Q9NR97
ENST00000329630 Q96BV0
ENST00000205214 Q4L235
ENST00000284486 Q96KS9
ENST00000319580 Q495B1
ENST00000257347 Q9HA77
ENST00000227322 O75312
ENST00000321582 Q8NHH1
ENST00000268989 O43147
ENST00000323544 Q8TD55
ENST00000322139 Q8N9E0
ENST00000287907 P47898
ENST00000244534 P16402
ENST00000313640 Q96J88
ENST00000219271 P51511
ENST00000280800 Q8NHP8
ENST00000272643 Q9C0I4
ENST00000302097 P59817
ENST00000296513 Q96M93
ENST00000256906 Q9H3N8
ENST00000220597 Q9NWQ8
ENST00000331203 Q53RD9
ENST00000232003 P04196
ENST00000260526 Q52LW3
ENST00000295101 P48549
ENST00000267842 O14975
ENST00000219207 Q9Y342
ENST00000019103 P47872
ENST00000331890 Q8N531
ENST00000284509 Q8TF62
ENST00000322941 Q14526
ENST00000299608 Q96JJ7
ENST00000328795 Q8N0Y3
ENST00000288050 Q8NCN5
ENST00000260327 Q05D32
ENST00000290974 Q9HCC9
ENST00000290902 Q9BUD6
ENST00000327671 Q6P4F1
ENST00000294016 O60503
ENST00000223795 P32971
ENST00000246041 Q9NUS5
ENST00000284690 Q7L7V1
ENST00000185150 Q96DZ1
ENST00000215095 P61266
ENST00000256509 O00533
ENST00000229134 Q9NPH9
ENST00000240651 Q8WU10
ENST00000271732 Q9H4A5
ENST00000262498 Q9Y6A4
ENST00000262213 Q15629
ENST00000307003 Q8WU49
ENST00000333149 Q86XT4
ENST00000320704 Q8NH40
ENST00000319669 Q8N6Q1
ENST00000298815 A6NI28
ENST00000299191 Q8WTQ4
ENST00000262932 Q8N129
ENST00000263634 Q9Y575
ENST00000297283 P15259
ENST00000307271 Q8ND71
ENST00000334036 Q5HYR2
ENST00000255194 O00203
ENST00000281455 P33121
ENST00000219235 O00626
ENST00000264249 O43529
ENST00000298838 Q9UKS6
ENST00000321217 Q8IUE0
ENST00000244230 O00566
ENST00000262340 Q16518
ENST00000265643 P22466
ENST00000297375 P19622
ENST00000324194 Q96CQ1
ENST00000288774 O60683
ENST00000284951 Q5TEA6
ENST00000244221 Q9ULR5
ENST00000243346 Q13287
ENST00000334062 Q14644
ENST00000306862 Q96MH7
ENST00000261866 Q96JI7
ENST00000277570 Q86WR7
ENST00000261488 Q8TC92
ENST00000309035 P56545
ENST00000309170 Q15391
ENST00000282466 Q6WRI0
ENST00000264220 Q06203
ENST00000205386 A4D0S4
ENST00000322563 O96014
ENST00000325602 Q9BPV8
ENST00000260843 Q9BY21
ENST00000254803 Q9NQZ2
ENST00000309180 O14626
ENST00000255087 Q9Y4I5
ENST00000250693 P52961
ENST00000281030 Q92748
ENST00000284311 P49685
ENST00000247883 Q9NYW4
ENST00000260723 Q32M84
ENST00000259089 P51451
ENST00000296503 P26583
ENST00000204517 Q01664
ENST00000260045 O43422
ENST00000306200 Q9P2W9
ENST00000266542 Q9NZP8
ENST00000307301 Q9NYK5
ENST00000304372 Q17RG1
ENST00000256257 Q9H9V4
ENST00000250699 Q9GZZ6
ENST00000258083 Q9BSG0
ENST00000196061 Q02809
ENST00000238892 Q9P021
ENST00000256398 Q9H9T3
ENST00000306448 Q96A05
ENST00000281382 Q07326
ENST00000326402 Q6YBV0
ENST00000273375 Q5HYI8
ENST00000301190 Q7Z3H0
ENST00000276062 Q9NX14
ENST00000309657 Q9Y256
ENST00000313843 Q12846
ENST00000264254 Q9H2J4
ENST00000329236 P98175
ENST00000298892 Q6IMN6
ENST00000232375 Q16877
ENST00000334785 Q0ZGT2
ENST00000334011 Q8WWZ8
ENST00000327337 A6NE01
ENST00000335568 Q9BY64
ENST00000325885 Q9Y574
ENST00000290378 P68032
ENST00000229314 Q9Y3E0
ENST00000326842 Q14507
ENST00000225296 Q9H6R0
ENST00000308074 Q8TED4
ENST00000264312 Q9NX40
ENST00000326783 P56851
ENST00000317827 O75410
ENST00000253934 Q9BSN7
ENST00000259983 Q5T4I8
ENST00000263071 Q14162
ENST00000284669 O60662
ENST00000254627 Q02509
ENST00000261195 P54840
ENST00000287585 Q7Z7J7
ENST00000256969 Q9BT56
ENST00000330233 P50238
ENST00000262134 Q7L5N7
ENST00000320701 A6NKD2
ENST00000262366 Q9BZE0
ENST00000280098 Q6IQ16
ENST00000304735 Q6EMK4
ENST00000231706 Q8TBB6
ENST00000251166 P57737
ENST00000294066 Q12851
ENST00000260599 P50053
ENST00000064724 O75508
ENST00000240662 Q15842
ENST00000261296 O95455
ENST00000264668 Q9UBK8
ENST00000264428 P48167
ENST00000326194 Q9H237
ENST00000245441 Q8N4C6
ENST00000225387 P05813
ENST00000219299 Q9H0I3
ENST00000319769 O60512
ENST00000306503 O75159
ENST00000296506 O75711
ENST00000310301 P49754
ENST00000267339 Q9NXR5
ENST00000331380 Q16777
ENST00000264669 Q14CZ7
ENST00000331128 Q8IUE6
ENST00000302558 O14715
ENST00000201031 Q92754
ENST00000225388 Q7Z417
ENST00000319725 Q96I24
ENST00000282470 Q14515
ENST00000308860 Q3MIX3
ENST00000306928 O95665
ENST00000261731 Q9H2C1
ENST00000287957 Q8WUU5
ENST00000248633 O43933
ENST00000333916 Q9H8G2
ENST00000319286 Q7Z3I7
ENST00000286049 Q96GT9
ENST00000264255 O14530
ENST00000265707 Q9Y3Q7
ENST00000202967 Q9Y6E7
ENST00000302040 Q8NGI9
ENST00000252015 Q8TEL6
ENST00000300127 Q8NGJ1
ENST00000313253 Q8NGI4
ENST00000293851 Q8NF86
ENST00000261716 Q7L7X3
ENST00000285947 Q8NE22
ENST00000314276 Q63HR2
ENST00000223208 Q9BYV8
ENST00000272641 O95156
ENST00000318357 Q86SG2
ENST00000225576 Q96ET8
ENST00000333479 P50748
ENST00000276173 Q0D2K3
ENST00000303694 Q9NPF2
ENST00000308278 Q8TBR7
ENST00000227471 Q9H1C4
ENST00000300850 O15015
ENST00000299641 P52849
ENST00000280606 Q2L4Q9
ENST00000262432 Q6P1Q9
ENST00000326291 Q8WXW3
ENST00000261556 Q9NX78
ENST00000274063 Q96HF1
ENST00000306103 Q96EW2
ENST00000271227 Q8N4M1
ENST00000317811 Q86VR8
ENST00000219833 P23975
ENST00000299413 Q96DX7
ENST00000273666 Q9Y2K9
ENST00000295488 Q8TDG4
ENST00000257552 O43347
ENST00000274008 Q8NB90
ENST00000289707 Q9P0V8
ENST00000295830 Q6P5R6
ENST00000261038 Q96SL1
ENST00000307142 Q9UMS6
ENST00000318249 Q9H094
ENST00000262873 A7E2Y1
ENST00000303145 Q8TC05
ENST00000289921 Q86V87
ENST00000331410 Q5FWF6
ENST00000229390 Q13242
ENST00000286353 Q8TE99
ENST00000323468 Q7Z4H8
ENST00000306357 Q9UNK0
ENST00000229264 P16520
ENST00000259939 Q7Z419
ENST00000005995 Q9Y6M0
ENST00000299192 Q7Z4Q2
ENST00000308528 Q8N1E2
ENST00000302422 Q8N2U0
ENST00000226284 P21815
ENST00000252137 Q96DF8
ENST00000332707 O43592
ENST00000261530 Q9NWQ4
ENST00000220420 O43548
ENST00000319004 P57678
ENST00000258796 Q9C0H2
ENST00000315571 Q86YD5
ENST00000307128 Q9NPC6
ENST00000295822 Q9GZV4
ENST00000250863 Q92904
ENST00000261058 Q8NEL0
ENST00000258538 Q96JW4
ENST00000233336 Q8NG68
ENST00000280612 Q9UPY5
ENST00000297071 Q13595
ENST00000334289 Q86XS5
ENST00000274030 Q70EK8
ENST00000298050 Q05D60
ENST00000263468 Q9P2H0
ENST00000314251 P11168
ENST00000305107 P06133
ENST00000264712 O14782
ENST00000279387 P60510
ENST00000223215 Q5EB52
ENST00000265843 Q8NEV8
ENST00000217939 Q9NR99
ENST00000321765 Q96R06
ENST00000330891 Q8N1M1
ENST00000217188 Q9H3Y6
ENST00000324972 O14576
ENST00000216036 Q9UHP6
ENST00000307471 Q96EE4
ENST00000305641 O60294
ENST00000263116 O95755
ENST00000223428 Q9Y2H8
ENST00000313050 O15027
ENST00000218867 Q13326
ENST00000299443 Q86YR6
ENST00000254846 O15054
ENST00000323716 Q8N2F6
ENST00000263849 Q96GY0
ENST00000324938 Q7Z4I7
ENST00000247026 Q9H0G5
ENST00000264982 Q8NHQ1
ENST00000298854 Q13702
ENST00000295133 Q8TF61
ENST00000317802 Q8N831
ENST00000216180 Q9NST1
ENST00000266546 Q9BQT9
ENST00000255304 Q5W0Q7
ENST00000316470 Q96SE0
ENST00000308360 Q96S52
ENST00000330106 Q8N111
ENST00000335510 Q8NG35
ENST00000328880 Q8TDS4
ENST00000307552 Q8NGI7
ENST00000325113 Q96PU9
ENST00000269221 Q96DM3
ENST00000320356 Q15910
ENST00000242465 P10124
ENST00000285402 Q14990
ENST00000285199 Q70EL4
ENST00000331923 Q9Y5B6
ENST00000298181 Q7RTT5
ENST00000324341 Q8NEG0
ENST00000330579 Q9BVI4
ENST00000325551 Q9UBT7
ENST00000086933 O15499
ENST00000318304 Q86W92
ENST00000328252 Q13219
ENST00000235628 Q9BXI3
ENST00000322940 Q9NX38
ENST00000262848 P51817
ENST00000301599 Q6PEY1
ENST00000223357 Q8IUX7
ENST00000295872 Q8N0Z3
ENST00000330753 O43155
ENST00000302326 Q10571
ENST00000273395 Q9BWV1
ENST00000318410 Q12768
ENST00000267425 Q86U38
ENST00000308799 Q5XX13
ENST00000267205 Q9HBH0
ENST00000275364 Q03113
ENST00000312371 Q400G9
ENST00000258772 Q9NY93
ENST00000307201 Q6UXT9
ENST00000332312 Q9NT22
ENST00000307746 Q9NRR1
ENST00000292180 Q8NFF5
ENST00000251993 Q6ICG6
ENST00000332439 Q6P9G0
ENST00000229214 Q13601
ENST00000283141 Q5T4T6
ENST00000272321 O95876
ENST00000330120 Q9NSD7
ENST00000309106 Q8TDS7
ENST00000216241 Q6NUI6
ENST00000280696 P10828
ENST00000266984 Q8IXS2
ENST00000315367 Q9H8W4
ENST00000286688 Q96NL8
ENST00000281437 Q9UMQ3
ENST00000307767 Q9NYZ1
ENST00000301057 Q8NBR0
ENST00000299687 Q9C0G0
ENST00000216211 O75631
ENST00000311128 Q8IWF6
ENST00000305901 Q9UBC0
ENST00000265708 Q99965
ENST00000278949 Q6UWV2
