ENST00000393469 A0/AV/02/swissmodel/41_636_7d10.1.A
ENST00000264018 P2/61/96/swissmodel/96_472_4brw.1.A
ENST00000466387 P2/62/32/swissmodel/81_925_4igg.1.A
ENST00000359526 P2/63/58/swissmodel/351_1610_3av4.1.A
ENST00000366553 P2/63/74/swissmodel/3_620_1vg9.2.A
ENST00000446023 P2/65/72/swissmodel/105_445_2am5.1.A
ENST00000296503 P2/65/83/swissmodel/2_165_2yrq.1.A
ENST00000455217 P2/66/39/swissmodel/83_719_1qf6.1.B
ENST00000375663 P2/66/40/swissmodel/295_1261_1ivs.2.B
ENST00000381902 P2/67/17/swissmodel/111_230_3cdg.1.D
ENST00000240618 P2/67/18/swissmodel/88_215_1mpu.1.B
ENST00000394540 P2/68/85/swissmodel/41_142_4nnr.1.A
ENST00000378980 P2/69/92/swissmodel/28_310_6o4p.1.A
ENST00000286713 P2/71/05/swissmodel/94_255_3bk6.1.A
ENST00000222381 P2/71/69/swissmodel/17_355_6h0a.1.A
ENST00000262219 P2/72/16/swissmodel/13_316_6b3i.1.A
ENST00000429436 P2/74/48/swissmodel/49_753_6c9d.1.A
ENST00000330398 P2/74/49/swissmodel/6_155_6wlw.1.F
ENST00000424325 P2/76/35/swissmodel/2_214_6mte.9.A
ENST00000254719 P2/76/94/swissmodel/184_614_4gop.1.C
ENST00000227155 P2/77/01/swissmodel/1_260_6wvg.1.A
ENST00000264705 P2/77/08/swissmodel/2_1443_6w2j.1.A
ENST00000352831 P2/78/15/swissmodel/178_684_4wzi.1.A
ENST00000247461 P2/78/24/swissmodel/60_457_1jhn.1.A
ENST00000258749 P2/80/39/swissmodel/36_575_5w7e.2.A
ENST00000374843 P2/80/67/swissmodel/39_226_2bc4.1.A
ENST00000418107 P2/80/68/swissmodel/21_211_2bc4.1.B
ENST00000344265 P2/80/69/swissmodel/125_273_5wc9.1.B
ENST00000374619 P2/82/21/swissmodel/35_373_5d5a.1.A
ENST00000378688 P2/82/23/swissmodel/73_399_6a93.1.A
ENST00000231004 P2/83/00/swissmodel/207_416_5ze3.1.A
ENST00000233710 P2/83/30/swissmodel/49_427_2pg0.1.C
ENST00000455934 P2/83/31/swissmodel/29_716_6zr2.1.G
ENST00000394899 P2/83/32/swissmodel/2_367_6o91.1.A
ENST00000276198 P2/83/35/swissmodel/46_387_6bqh.1.A
ENST00000258042 P2/83/36/swissmodel/40_341_6k1q.1.A
ENST00000371122 P2/83/70/swissmodel/88_718_5jxr.1.A
ENST00000402938 P2/84/76/swissmodel/64_461_6i53.1.C
ENST00000305344 P2/85/66/swissmodel/20_361_5d5a.1.A
ENST00000374685 P2/87/02/swissmodel/198_527_4nqa.1.A
ENST00000226299 P2/88/38/swissmodel/33_517_2j9a.1.F
ENST00000311106 P2/91/20/swissmodel/120_595_4omc.1.A
ENST00000376065 P2/91/44/swissmodel/18_1249_3lxu.1.A
ENST00000449740 P2/92/18/swissmodel/5_276_2hhm.1.A
ENST00000304222 P2/92/75/swissmodel/5_310_6ps7.1.A
ENST00000336596 P2/93/20/swissmodel/26_538_4m4p.1.A
ENST00000166244 P2/93/22/swissmodel/28_536_4m4p.1.A
ENST00000456013 P2/93/50/swissmodel/1_529_3ps5.1.A
ENST00000304883 P2/93/71/swissmodel/61_408_2ks9.1.A
ENST00000380200 P2/93/77/swissmodel/5_79_4icb.1.A
ENST00000423516 P2/94/01/swissmodel/2_622_6rjb.1.A
ENST00000305579 P2/94/59/swissmodel/34_219_3hmx.1.B
ENST00000297494 P2/94/74/swissmodel/515_1175_1tll.1.A
ENST00000525621 P2/95/97/swissmodel/579_1177_4oli.1.A
ENST00000342315 P2/97/28/swissmodel/338_700_4s3n.1.A
ENST00000299529 P2/97/62/swissmodel/1_137_6e50.1.B
ENST00000295266 P2/98/03/swissmodel/28_388_3exe.1.A
ENST00000402813 P2/99/73/swissmodel/156_605_7lft.1.A
ENST00000358769 P3/00/39/swissmodel/3_287_4dun.1.B
ENST00000260447 P3/00/47/swissmodel/1_84_7acc.1.A
ENST00000215375 P3/00/49/swissmodel/37_167_2w6h.1.H
ENST00000371873 P3/00/85/swissmodel/3_196_1tev.1.A
ENST00000311129 P3/01/54/swissmodel/16_601_1b3u.1.A
ENST00000531206 P3/02/60/swissmodel/5_780_6q6g.1.O
ENST00000261254 P3/02/79/swissmodel/4_264_2w96.1.A
ENST00000257979 P3/03/01/swissmodel/6_239_2c32.1.D
ENST00000306005 P3/04/11/swissmodel/6_348_5unf.1.A
ENST00000259951 P3/05/11/swissmodel/22_296_6at5.1.A
ENST00000358927 P3/05/18/swissmodel/32_342_7kh0.1.A
ENST00000287766 P3/05/31/swissmodel/42_578_4xp9.1.A
ENST00000299565 P3/05/32/swissmodel/45_452_6pv7.1.A
ENST00000500728 P3/05/33/swissmodel/35_357_2p01.1.A
ENST00000329563 P3/05/36/swissmodel/1_169_2n02.1.A
ENST00000380289 P3/05/50/swissmodel/37_339_6k1q.1.A
ENST00000542281 P3/05/56/swissmodel/11_318_6os1.1.A
ENST00000216194 P3/05/66/swissmodel/8_484_5nx9.1.A
ENST00000262958 P3/06/79/swissmodel/15_374_3sn6.1.A
ENST00000248935 P3/07/11/swissmodel/2_240_2c3n.1.A
ENST00000380752 P3/08/25/swissmodel/23_611_5oqt.1.A
ENST00000377698 P3/08/37/swissmodel/24_517_3n81.1.A
ENST00000267377 P3/08/72/swissmodel/57_342_4n6h.1.A
ENST00000357585 P3/08/74/swissmodel/43_331_4n6h.1.A
ENST00000319595 P3/09/39/swissmodel/20_366_5v54.1.B
ENST00000226413 P3/09/68/swissmodel/18_268_7br3.1.A
ENST00000264932 P3/10/40/swissmodel/52_664_4ytp.1.A
ENST00000219150 P3/11/46/swissmodel/8_402_2aq5.1.A
ENST00000447750 P3/11/50/swissmodel/1_431_1lv0.1.A
ENST00000400384 P3/11/52/swissmodel/6_336_5bvf.1.A
ENST00000265717 P3/13/23/swissmodel/8_410_3j4q.1.B
ENST00000430249 P3/13/27/swissmodel/43_1496_6w2j.1.A
ENST00000360566 P3/13/50/swissmodel/66_350_3olj.1.A
ENST00000255008 P3/13/91/swissmodel/47_330_4n6h.1.A
ENST00000367749 P3/15/12/swissmodel/2_530_6sem.1.A
ENST00000367755 P3/15/13/swissmodel/3_530_6se3.1.A
ENST00000330498 P3/16/39/swissmodel/22_553_2xq2.1.A
ENST00000454876 P3/16/41/swissmodel/40_587_4xp9.1.A
ENST00000330899 P3/16/89/swissmodel/2_351_4j80.2.A
ENST00000265866 P3/19/42/swissmodel/17_271_6dhs.2.A
ENST00000356731 P3/19/43/swissmodel/112_366_6dhs.2.A
ENST00000412477 P3/21/21/swissmodel/6_396_6kl7.1.A
ENST00000378943 P3/21/89/swissmodel/10_523_2d4w.1.A
ENST00000295589 P3/22/38/swissmodel/38_386_7mbx.1.E
ENST00000334619 P3/22/39/swissmodel/52_406_7mbx.1.E
ENST00000325123 P3/22/41/swissmodel/33_407_6ln2.1.A
ENST00000296140 P3/22/46/swissmodel/20_320_5uiw.1.A
ENST00000292174 P3/23/02/swissmodel/50_340_6lfo.1.E
ENST00000357067 P3/23/21/swissmodel/6_173_2w4l.1.A
ENST00000370466 P3/24/56/swissmodel/8_583_7e58.2.A
ENST00000328544 P3/27/45/swissmodel/43_328_5dhh.2.A
ENST00000392373 P3/28/56/swissmodel/2_247_3c98.1.B
ENST00000160262 P3/29/42/swissmodel/34_480_1z7z.1.E
ENST00000324750 P3/30/32/swissmodel/32_310_7aue.1.A
ENST00000341529 P3/31/51/swissmodel/48_576_3q2w.1.B
ENST00000285979 P3/32/60/swissmodel/28_489_5x23.1.A
ENST00000371321 P3/32/61/swissmodel/28_489_5x23.1.A
ENST00000282249 P3/34/02/swissmodel/83_699_6jt2.1.A
ENST00000399410 P3/35/27/swissmodel/30_1525_6jb1.1.H
ENST00000357905 P3/37/78/swissmodel/28_126_3x1v.1.F
ENST00000368468 P3/39/08/swissmodel/176_642_1nxc.1.A
ENST00000258739 P3/39/47/swissmodel/1_212_6zxr.1.A
ENST00000301411 P3/41/30/swissmodel/91_207_1b98.1.A
ENST00000370314 P3/49/03/swissmodel/62_481_6i53.1.B
ENST00000296084 P3/49/25/swissmodel/298_607_6tua.1.A
ENST00000304858 P3/49/32/swissmodel/2_703_2qxl.1.A
ENST00000352410 P3/49/49/swissmodel/2_422_5nw7.1.A
ENST00000336152 P3/49/69/swissmodel/80_403_5v54.1.B
ENST00000536471 P3/49/72/swissmodel/22_319_6pt0.1.A
ENST00000292513 P3/49/95/swissmodel/34_366_6iiu.1.A
ENST00000361005 P3/50/30/swissmodel/81_304_1h4w.1.A
ENST00000342280 P3/52/12/swissmodel/2_233_7jkc.1.A
ENST00000309893 P3/52/18/swissmodel/61_298_1keq.1.A
ENST00000304506 P3/52/25/swissmodel/38_146_3lb6.1.A
ENST00000313735 P3/52/28/swissmodel/534_1140_1tll.1.A
ENST00000309017 P3/52/36/swissmodel/65_356_2gp0.1.A
ENST00000380520 P3/52/37/swissmodel/1_376_4ga7.1.A
ENST00000405097 P3/52/41/swissmodel/3_583_2i1k.1.A
ENST00000293897 P3/53/46/swissmodel/37_320_4dkl.1.B
ENST00000380586 P3/53/48/swissmodel/23_344_6e67.2.A
ENST00000306675 P3/53/68/swissmodel/43_366_4iaq.1.A
ENST00000434900 P3/53/72/swissmodel/69_357_4n6h.1.A
ENST00000261523 P3/53/98/swissmodel/70_513_3dzu.1.B
ENST00000350881 P3/54/43/swissmodel/290_942_1yo8.1.A
ENST00000383673 P3/54/62/swissmodel/24_400_5tvn.1.A
ENST00000303395 P3/54/98/swissmodel/42_1901_6a90.1.A
ENST00000278222 P3/55/42/swissmodel/20_130_4q5g.1.C
ENST00000345378 P3/55/57/swissmodel/1_458_6e0i.1.A
ENST00000294724 P3/55/73/swissmodel/4_1532_5d0f.1.A
ENST00000216181 P3/55/79/swissmodel/21_1663_6xe9.1.D
ENST00000360416 P3/55/80/swissmodel/25_1670_6xe9.1.D
ENST00000333188 P3/56/06/swissmodel/1_842_5nzu.1.C
ENST00000324198 P3/56/26/swissmodel/31_668_5wg4.1.A
ENST00000242839 P3/56/70/swissmodel/565_1381_3j09.1.A
ENST00000396324 P3/57/49/swissmodel/25_1670_6xe9.1.D
ENST00000325642 P3/58/13/swissmodel/2_368_3fxk.1.A
ENST00000415638 P3/58/58/swissmodel/57_553_4z0c.1.A
ENST00000496514 P3/59/13/swissmodel/19_825_7jsn.1.B
ENST00000401924 P3/62/68/swissmodel/52_568_4y23.1.A
ENST00000271348 P3/63/82/swissmodel/2_231_7jjp.1.A
ENST00000426548 P3/63/83/swissmodel/3_255_7jkc.1.A
ENST00000260746 P3/64/05/swissmodel/3_177_4goj.1.A
ENST00000356708 P3/65/42/swissmodel/26_297_6zqm.1.G
ENST00000253413 P3/65/43/swissmodel/2_226_6wm2.1.B
ENST00000454250 P3/65/44/swissmodel/23_502_7ekp.1.A
ENST00000264193 P3/65/51/swissmodel/119_454_2aex.1.B
ENST00000307959 P3/65/75/swissmodel/1_373_6kl7.1.A
ENST00000397049 P3/66/39/swissmodel/44_197_6qvo.1.A
ENST00000360614 P3/67/76/swissmodel/123_948_7nfy.1.A
ENST00000371083 P3/68/71/swissmodel/1_562_5epc.1.A
ENST00000340766 P3/68/73/swissmodel/8_315_6dcx.1.A
ENST00000372037 P3/68/94/swissmodel/204_532_3mdy.1.A
ENST00000541224 P3/68/96/swissmodel/173_502_1ias.1.A
ENST00000367415 P3/69/80/swissmodel/17_269_5o32.1.C
ENST00000360168 P3/70/88/swissmodel/94_568_6bqn.1.A
ENST00000359013 P3/71/73/swissmodel/240_543_7dv6.1.A
ENST00000299178 P3/72/88/swissmodel/47_368_6tpk.1.A
ENST00000354232 P3/81/17/swissmodel/4_255_1efv.1.B
ENST00000334049 P3/84/05/swissmodel/38_380_1azs.1.C
ENST00000340011 P3/85/67/swissmodel/39_452_2pe4.1.A
ENST00000263087 P3/85/70/swissmodel/202_1123_4neh.1.A
ENST00000273398 P3/86/06/swissmodel/17_616_6wm3.1.Z
ENST00000269349 P3/89/19/swissmodel/21_411_4c9b.1.A
ENST00000399907 P3/90/86/swissmodel/34_860_7ks0.1.B
ENST00000375048 P3/96/56/swissmodel/43_452_6s7t.1.G
ENST00000375108 P3/98/77/swissmodel/21_138_5wzs.1.A
ENST00000446125 P4/01/26/swissmodel/24_460_5m8l.1.A
ENST00000286355 P4/01/45/swissmodel/163_1172_6r3q.1.A
ENST00000555744 P4/03/05/swissmodel/34_120_2loq.1.A
ENST00000574481 P4/03/13/swissmodel/19_264_3t62.1.A
ENST00000476959 P4/03/94/swissmodel/15_386_5kjc.1.A
ENST00000396663 P4/06/17/swissmodel/14_188_1hur.1.A
ENST00000340010 P4/08/79/swissmodel/5_724_7ch1.1.A
ENST00000539945 P4/09/25/swissmodel/2_334_5mdh.1.A
ENST00000498619 P4/11/80/swissmodel/20_868_7dd6.1.A
ENST00000473539 P4/12/17/swissmodel/32_232_4bfi.1.B
ENST00000474267 P4/12/21/swissmodel/68_380_6ahy.2.B
ENST00000333486 P4/12/26/swissmodel/9_1012_6dc6.2.A
ENST00000375401 P4/12/29/swissmodel/7_816_5k4l.1.A
ENST00000311131 P4/12/31/swissmodel/30_320_4xnw.2.A
ENST00000328432 P4/12/36/swissmodel/12_168_2o8a.1.B
ENST00000229304 P4/12/38/swissmodel/15_236_6x91.1.A
ENST00000375643 P4/12/52/swissmodel/9_974_7d5c.1.A
ENST00000289749 P4/12/71/swissmodel/30_130_4x1j.1.A
ENST00000602662 P4/12/71/swissmodel/30_130_4x1j.1.A
ENST00000396211 P4/15/86/swissmodel/24_419_6m1i.1.A
ENST00000262178 P4/15/87/swissmodel/21_394_6ln2.1.A
ENST00000418177 P4/15/94/swissmodel/26_832_6n52.1.A
ENST00000243911 P4/19/68/swissmodel/34_314_7aue.1.A
ENST00000289228 P4/20/25/swissmodel/7_376_6f1t.1.D
ENST00000345506 P4/22/29/swissmodel/2_685_1yvl.1.A
ENST00000518783 P4/22/61/swissmodel/21_838_6njm.1.A
ENST00000296526 P4/22/62/swissmodel/23_845_6njn.1.C
ENST00000264357 P4/22/63/swissmodel/30_856_6njn.1.C
ENST00000477593 P4/23/38/swissmodel/8_1056_5sx8.1.A
ENST00000261208 P4/23/57/swissmodel/112_645_4c5s.1.A
ENST00000368567 P4/26/77/swissmodel/2_83_6g4w.1.C
ENST00000395045 P4/26/79/swissmodel/45_484_1k9a.1.A
ENST00000381501 P4/26/80/swissmodel/2_625_4y93.1.A
ENST00000264316 P4/26/81/swissmodel/84_525_1k9a.1.A
ENST00000606080 P4/26/85/swissmodel/47_503_1y57.1.A
ENST00000498124 P4/27/71/swissmodel/1_156_1dc2.1.A
ENST00000276925 P4/27/72/swissmodel/9_137_2a5e.1.A
ENST00000393399 P4/27/85/swissmodel/46_491_3n2z.1.A
ENST00000296027 P4/28/30/swissmodel/44_114_2mgs.1.A
ENST00000278379 P4/30/04/swissmodel/35_508_5llu.1.C
ENST00000234256 P4/30/07/swissmodel/33_481_6gct.1.A
ENST00000397195 P4/30/34/swissmodel/92_408_1vyh.1.C
ENST00000394237 P4/30/80/swissmodel/5_190_2r2i.1.A
ENST00000370757 P4/30/88/swissmodel/29_319_6iiu.1.A
ENST00000356595 P4/31/15/swissmodel/46_353_6m9t.1.A
ENST00000245457 P4/31/16/swissmodel/23_330_7cx2.1.A
ENST00000291294 P4/31/19/swissmodel/15_308_7d7m.1.A
ENST00000433477 P4/32/34/swissmodel/25_321_7avm.1.A
ENST00000528793 P4/32/50/swissmodel/2_557_3nyn.1.A
ENST00000303498 P4/32/51/swissmodel/58_543_4cyf.1.A
ENST00000310454 P4/33/04/swissmodel/55_602_2rgo.1.A
ENST00000539229 P4/33/53/swissmodel/4_460_4qgk.1.A
ENST00000339562 P4/33/54/swissmodel/257_594_4nqa.2.A
ENST00000356661 P4/33/55/swissmodel/92_304_2wa0.1.A
ENST00000393902 P4/33/57/swissmodel/104_314_5hvq.1.A
ENST00000329342 P4/33/60/swissmodel/104_314_5hvq.1.A
ENST00000535454 P4/33/61/swissmodel/98_314_2wa0.1.A
ENST00000243314 P4/33/62/swissmodel/94_310_2wa0.1.A
ENST00000370323 P4/33/63/swissmodel/120_336_2wa0.1.A
ENST00000355220 P4/33/64/swissmodel/208_424_6wjh.1.A
ENST00000393900 P4/33/65/swissmodel/104_314_5hvq.1.A
ENST00000306726 P4/33/78/swissmodel/277_581_4ge2.1.A
ENST00000336077 P4/36/26/swissmodel/28_295_6grq.1.A
ENST00000326321 P4/36/30/swissmodel/27_316_7k80.1.C
ENST00000378434 P4/36/57/swissmodel/13_301_5xsz.1.A
ENST00000323833 P4/38/97/swissmodel/44_318_1xb2.1.B
ENST00000278317 P4/53/78/swissmodel/67_250_6kn7.1.T
ENST00000509001 P4/53/79/swissmodel/97_282_6kn7.1.0
ENST00000313132 P4/58/80/swissmodel/12_294_4bum.1.B
ENST00000376503 P4/60/59/swissmodel/10_676_4uvm.1.A
ENST00000455915 P4/60/60/swissmodel/22_361_1yrg.1.A
ENST00000407325 P4/60/91/swissmodel/35_327_6d26.1.A
ENST00000332438 P4/60/92/swissmodel/35_330_6wwz.1.F
ENST00000309285 P4/60/94/swissmodel/29_306_5uiw.1.A
ENST00000355556 P4/60/98/swissmodel/29_478_6np0.1.A
ENST00000256593 P4/64/39/swissmodel/2_218_1gtu.1.A
ENST00000398238 P4/64/59/swissmodel/215_737_3j94.1.A
ENST00000228872 P4/65/27/swissmodel/27_190_7b5l.1.L
ENST00000381241 P4/65/97/swissmodel/1_345_4a6d.1.B
ENST00000216629 P4/66/63/swissmodel/36_326_6os0.1.A
ENST00000342679 P4/67/34/swissmodel/55_345_3vn9.1.A
ENST00000558815 P4/67/79/swissmodel/2_126_6y2l.42.A
ENST00000326199 P4/67/83/swissmodel/1_96_6hcm.11.A
ENST00000299727 P4/72/11/swissmodel/33_322_4n6h.1.A
ENST00000290101 P4/77/36/swissmodel/78_413_1srq.1.A
ENST00000361183 P4/77/55/swissmodel/7_276_3aa6.1.A
ENST00000375142 P4/77/56/swissmodel/2_271_1izn.1.B
ENST00000510861 P4/78/69/swissmodel/37_443_6i53.1.B
ENST00000019103 P4/78/72/swissmodel/30_408_6wzg.1.B
ENST00000529803 P4/78/74/swissmodel/1_163_1jyt.1.A
ENST00000287907 P4/78/98/swissmodel/39_355_6kux.1.A
ENST00000367126 P4/79/01/swissmodel/34_359_6tpk.1.A
ENST00000219162 P4/79/44/swissmodel/1_62_4mt2.1.A
ENST00000304863 P4/79/85/swissmodel/79_274_5nmi.1.E
ENST00000253122 P4/80/29/swissmodel/50_598_4xph.1.A
ENST00000290299 P4/80/47/swissmodel/24_211_6tt7.1.J
ENST00000392664 P4/80/48/swissmodel/38_364_3spg.1.D
ENST00000303592 P4/80/50/swissmodel/17_359_3spg.1.D
ENST00000609713 P4/80/51/swissmodel/53_378_6xit.1.A
ENST00000282499 P4/80/58/swissmodel/23_846_6njm.1.A
ENST00000395794 P4/80/61/swissmodel/22_89_4uai.1.A
ENST00000428720 P4/80/65/swissmodel/34_580_4xp9.1.A
ENST00000254488 P4/80/66/swissmodel/48_595_4xp9.1.A
ENST00000360584 P4/80/67/swissmodel/100_664_6zbv.1.A
ENST00000331251 P4/81/45/swissmodel/36_326_4n6h.1.A
ENST00000369768 P4/81/46/swissmodel/44_333_4n6h.1.A
ENST00000369110 P4/81/47/swissmodel/3_710_3ddu.1.A
ENST00000240986 P4/81/65/swissmodel/2_229_7jjp.1.A
ENST00000264428 P4/81/67/swissmodel/57_496_6vm0.1.A
ENST00000264318 P4/81/69/swissmodel/43_353_6x3z.1.D
ENST00000284727 P4/82/01/swissmodel/68_141_6tt7.1.N
ENST00000305089 P4/83/04/swissmodel/23_166_1qdd.1.A
ENST00000222543 P4/83/07/swissmodel/34_208_4bd9.1.B
ENST00000359842 P4/84/43/swissmodel/132_457_4nqa.1.A
ENST00000349015 P4/84/48/swissmodel/16_380_4qgk.1.A
ENST00000397775 P4/84/54/swissmodel/8_480_4or9.1.A
ENST00000229416 P4/85/06/swissmodel/2_625_3ig5.1.A
ENST00000397420 P4/85/09/swissmodel/7_251_6wvg.1.A
ENST00000529694 P4/85/44/swissmodel/50_373_6xit.1.A
ENST00000590918 P4/85/46/swissmodel/30_418_5yqz.1.A
ENST00000265969 P4/85/47/swissmodel/4_447_5wie.1.B
ENST00000295101 P4/85/49/swissmodel/43_368_6xit.1.A
ENST00000341074 P4/85/94/swissmodel/3_390_4zk0.1.A
ENST00000238508 P4/85/95/swissmodel/1_397_2h4r.1.A
ENST00000216951 P4/86/37/swissmodel/3_474_2hgs.1.B
ENST00000221742 P4/86/64/swissmodel/45_532_5mju.1.C
ENST00000285667 P4/87/23/swissmodel/31_448_5fpn.1.A
ENST00000515768 P4/87/29/swissmodel/9_305_6gzd.1.A
ENST00000335272 P4/87/39/swissmodel/2_270_2a1l.1.A
ENST00000296280 P4/87/40/swissmodel/299_699_4igd.1.A
ENST00000264938 P4/87/64/swissmodel/40_551_7dsx.1.B
ENST00000381906 P4/87/88/swissmodel/9_161_1j1e.2.C
ENST00000476941 P4/89/95/swissmodel/31_779_7b0j.1.A
ENST00000329476 P4/91/46/swissmodel/1_340_6ibl.2.A
ENST00000369809 P4/91/84/swissmodel/19_272_3dni.1.B
ENST00000354775 P4/91/89/swissmodel/7_493_1bpw.1.A
ENST00000272847 P4/91/90/swissmodel/31_437_6nbh.1.A
ENST00000296125 P4/92/21/swissmodel/4_682_4kty.1.A
ENST00000217428 P4/92/23/swissmodel/31_88_4bqd.1.A
ENST00000358309 P4/92/38/swissmodel/21_312_5uiw.1.A
ENST00000283646 P4/92/47/swissmodel/77_306_4gmk.1.A
ENST00000233202 P4/92/79/swissmodel/52_520_5m8k.1.A
ENST00000394904 P4/92/81/swissmodel/63_529_6tl2.1.A
ENST00000254090 P4/93/26/swissmodel/2_505_6sek.1.A
ENST00000306749 P4/93/27/swissmodel/1_2113_2vz9.1.A
ENST00000313511 P4/94/11/swissmodel/55_451_1d2e.1.A
ENST00000392329 P4/94/41/swissmodel/1_399_1inp.1.A
ENST00000392976 P4/94/47/swissmodel/10_230_5zle.1.A
ENST00000292823 P4/95/85/swissmodel/40_295_4mvd.1.A
ENST00000261772 P4/95/88/swissmodel/9_843_3wqy.1.A
ENST00000380525 P4/95/89/swissmodel/28_640_1u0b.1.B
ENST00000230771 P4/95/90/swissmodel/54_502_4phc.1.A
ENST00000360468 P4/96/41/swissmodel/115_1150_3bui.1.A
ENST00000373691 P4/96/82/swissmodel/51_336_6lfo.1.E
ENST00000239032 P4/96/83/swissmodel/60_353_7ddz.1.A
ENST00000284311 P4/96/85/swissmodel/31_316_6os0.1.A
ENST00000320033 P4/97/03/swissmodel/16_192_3doe.1.A
ENST00000225426 P4/97/20/swissmodel/2_205_5le5.1.W
ENST00000368378 P4/97/46/swissmodel/278_938_1yo8.1.A
ENST00000543245 P4/97/48/swissmodel/69_655_3b96.1.B
ENST00000553525 P4/97/58/swissmodel/20_453_6n9g.1.A
ENST00000434813 P4/97/59/swissmodel/149_482_6khd.2.A
ENST00000361168 P4/97/60/swissmodel/144_485_6khe.1.A
ENST00000395066 P4/97/61/swissmodel/290_629_6khf.1.A
ENST00000237696 P4/97/88/swissmodel/50_269_1wnh.1.A
ENST00000421743 P4/97/98/swissmodel/49_180_2a72.1.A
ENST00000366565 P4/98/02/swissmodel/18_450_6n9g.2.A
ENST00000366783 P4/98/10/swissmodel/81_448_6lqg.1.B
ENST00000219476 P4/98/15/swissmodel/127_1755_7dl2.1.B
ENST00000222330 P4/98/40/swissmodel/98_447_3say.1.A
ENST00000316626 P4/98/41/swissmodel/23_386_1j1b.1.B
ENST00000437822 P4/98/48/swissmodel/6_473_6mzl.1.H
ENST00000356922 P4/99/17/swissmodel/7_911_7lsy.1.Q
ENST00000371207 P4/99/61/swissmodel/46_464_3zx3.2.A
ENST00000260599 P5/00/53/swissmodel/3_298_6p2d.1.B
ENST00000286548 P5/01/48/swissmodel/18_354_4gnk.1.A
ENST00000391854 P5/01/50/swissmodel/9_70_6pcv.1.C
ENST00000374293 P5/01/51/swissmodel/3_65_2bcj.1.C
ENST00000395609 P5/02/25/swissmodel/7_295_3u3m.1.A
ENST00000330233 P5/02/38/swissmodel/2_77_1iml.1.A
ENST00000311852 P5/02/81/swissmodel/30_508_1ck7.1.A
ENST00000374312 P5/03/91/swissmodel/39_341_5zbh.1.A
ENST00000380191 P5/03/95/swissmodel/1_431_1lv0.1.A
ENST00000289753 P5/04/06/swissmodel/24_338_7jvq.1.A
ENST00000265641 P5/04/16/swissmodel/166_772_1t7q.1.A
ENST00000286298 P5/04/43/swissmodel/79_722_6rtc.1.A
ENST00000397985 P5/04/52/swissmodel/1_374_4ga7.1.A
ENST00000380698 P5/04/53/swissmodel/1_376_4ga7.1.A
ENST00000524558 P5/04/54/swissmodel/37_417_3zha.3.A
ENST00000434354 P5/05/42/swissmodel/317_639_1fch.1.A
ENST00000389253 P5/05/70/swissmodel/6_743_5wp9.1.A
ENST00000305253 P5/06/07/swissmodel/235_505_1s31.1.A
ENST00000320892 P5/08/76/swissmodel/15_221_5tte.1.A
ENST00000433473 P5/08/97/swissmodel/30_306_3gro.1.A
ENST00000361216 P5/09/93/swissmodel/26_1020_4ret.2.A
ENST00000438331 P5/09/95/swissmodel/191_504_6tu2.1.A
ENST00000216277 P5/10/03/swissmodel/19_498_1q78.1.A
ENST00000547517 P5/11/48/swissmodel/19_182_1huq.1.A
ENST00000368575 P5/11/53/swissmodel/2_176_6rir.1.B
ENST00000371447 P5/11/60/swissmodel/8_830_6mzb.1.B
ENST00000393980 P5/11/61/swissmodel/3_127_5l8i.1.A
ENST00000335288 P5/11/64/swissmodel/29_291_6jxh.1.B
ENST00000379116 P5/11/72/swissmodel/258_709_6bqn.1.A
ENST00000463876 P5/11/78/swissmodel/158_756_1djz.2.A
ENST00000259089 P5/14/51/swissmodel/62_501_2h8h.1.A
ENST00000379695 P5/14/60/swissmodel/30_129_2kqp.1.A
ENST00000482457 P5/15/04/swissmodel/45_273_5v3j.1.C
ENST00000219271 P5/15/11/swissmodel/46_559_1ck7.1.A
ENST00000286614 P5/15/12/swissmodel/34_532_1ck7.1.A
ENST00000597597 P5/15/22/swissmodel/90_368_5wjq.1.C
ENST00000399180 P5/15/30/swissmodel/1_1053_5ean.1.A
ENST00000382203 P5/15/31/swissmodel/508_1305_5hzr.1.A
ENST00000225538 P5/15/75/swissmodel/13_369_5svk.1.C
ENST00000374519 P5/15/82/swissmodel/31_320_4xnw.2.A
ENST00000371204 P5/15/89/swissmodel/42_497_3czh.1.A
ENST00000393700 P5/16/06/swissmodel/11_411_1fp3.1.A
ENST00000339618 P5/16/48/swissmodel/1_460_4qgk.1.A
ENST00000348925 P5/16/49/swissmodel/56_534_2w8n.1.D
ENST00000545097 P5/16/77/swissmodel/24_320_5uiw.1.A
ENST00000330953 P5/16/79/swissmodel/28_320_4mbs.1.A
ENST00000343801 P5/16/81/swissmodel/19_313_4mbs.1.A
ENST00000326306 P5/16/85/swissmodel/24_318_5uiw.1.A
ENST00000394109 P5/16/87/swissmodel/81_545_1sox.1.A
ENST00000381154 P5/16/89/swissmodel/38_577_1p49.1.A
ENST00000381134 P5/16/90/swissmodel/37_585_1p49.1.A
ENST00000377073 P5/17/86/swissmodel/161_465_5v3m.1.C
ENST00000265593 P5/17/88/swissmodel/88_841_6qvc.1.A
ENST00000347613 P5/17/90/swissmodel/124_804_7jm6.1.A
ENST00000380833 P5/17/93/swissmodel/66_746_7jm6.1.A
ENST00000376088 P5/17/95/swissmodel/123_802_7jm6.1.A
