ENST00000322209 A0/A0/24RBG1/swissmodel/9_147_2duk.1.A
ENST00000430249 P3/13/27/swissmodel/43_1493_5dou.1.A
ENST00000360566 P3/13/50/swissmodel/66_350_3vpo.1.A
ENST00000255008 P3/13/91/swissmodel/48_331_4n6h.1.A
ENST00000367749 P3/15/12/swissmodel/3_482_5nmx.2.B
ENST00000367755 P3/15/13/swissmodel/3_482_5nmx.2.B
ENST00000265866 P3/19/42/swissmodel/17_271_6dhs.2.A
ENST00000427043 P3/19/44/swissmodel/6_242_4qud.1.A
ENST00000370060 P3/20/04/swissmodel/237_1007_6iaa.1.A
ENST00000412477 P3/21/21/swissmodel/6_393_3p2d.1.A
ENST00000427190 P3/21/89/swissmodel/11_521_5gn5.1.B
ENST00000525462 P3/22/39/swissmodel/51_406_6j21.1.A
ENST00000296140 P3/22/46/swissmodel/18_317_6meo.1.C
ENST00000370648 P3/22/47/swissmodel/46_347_5gli.1.A
ENST00000376414 P3/22/49/swissmodel/17_326_5uiw.1.A
ENST00000292174 P3/23/02/swissmodel/37_339_3odu.1.A
ENST00000357067 P3/23/21/swissmodel/6_173_2w4l.1.E
ENST00000402252 P3/23/22/swissmodel/1_274_5uav.2.A
ENST00000370466 P3/24/56/swissmodel/7_581_1f5n.1.A
ENST00000610913 P3/27/45/swissmodel/43_331_4n6h.1.A
ENST00000392373 P3/28/56/swissmodel/26_246_4jeh.1.B
ENST00000223795 P3/29/71/swissmodel/92_229_2re9.1.A
ENST00000589410 P3/30/32/swissmodel/37_318_5uig.1.A
ENST00000281455 P3/31/21/swissmodel/89_695_5msc.1.A
ENST00000341529 P3/31/51/swissmodel/48_584_5erd.1.B
ENST00000371321 P3/32/61/swissmodel/29_489_4gqs.1.A
ENST00000282249 P3/34/02/swissmodel/87_699_6jt1.1.A
ENST00000368468 P3/39/08/swissmodel/176_642_1nxc.1.A
ENST00000258739 P3/39/47/swissmodel/1_203_6i6b.1.A
ENST00000372827 P3/48/20/swissmodel/30_402_5vqf.2.A
ENST00000370314 P3/49/03/swissmodel/62_481_6hug.1.A
ENST00000304858 P3/49/32/swissmodel/1_696_3c7n.1.A
ENST00000352410 P3/49/49/swissmodel/2_419_1pmi.1.A
ENST00000336152 P3/49/69/swissmodel/79_403_5v54.1.A
ENST00000518632 P3/49/81/swissmodel/22_336_4dkl.1.A
ENST00000649794 P3/52/18/swissmodel/61_298_1keq.1.A
ENST00000304506 P3/52/25/swissmodel/38_146_3lb6.1.A
ENST00000309017 P3/52/36/swissmodel/23_353_4bpc.1.A
ENST00000530749 P3/52/41/swissmodel/3_583_2i1k.1.A
ENST00000293897 P3/53/46/swissmodel/35_326_4n6h.1.A
ENST00000380586 P3/53/48/swissmodel/22_336_4ej4.1.A
ENST00000306675 P3/53/68/swissmodel/42_367_5v54.1.B
ENST00000434900 P3/53/72/swissmodel/54_349_5c1m.1.A
ENST00000261523 P3/53/98/swissmodel/71_513_4nqa.2.B
ENST00000257254 P3/54/14/swissmodel/19_330_5vbl.1.B
ENST00000350881 P3/54/43/swissmodel/290_942_2rhp.1.A
ENST00000383673 P3/54/62/swissmodel/31_399_6cm4.1.A
ENST00000278222 P3/55/42/swissmodel/20_130_4q5g.1.A
ENST00000531743 P3/55/44/swissmodel/1_74_2l7r.1.A
ENST00000361915 P3/55/73/swissmodel/4_1532_5d0f.1.A
ENST00000333188 P3/56/06/swissmodel/3_589_2ynp.1.A
ENST00000542672 P3/56/09/swissmodel/32_894_1sjj.1.A
ENST00000324198 P3/56/26/swissmodel/30_668_4pnk.1.A
ENST00000325642 P3/58/13/swissmodel/2_368_4rag.1.A
ENST00000415638 P3/58/58/swissmodel/42_600_5zln.1.A
ENST00000496514 P3/59/13/swissmodel/11_823_6mzb.1.A
ENST00000401924 P3/62/68/swissmodel/36_569_2e0w.1.A
ENST00000398292 P3/62/69/swissmodel/39_586_4y23.1.A
ENST00000260746 P3/64/05/swissmodel/3_182_4zi3.1.A
ENST00000356708 P3/65/42/swissmodel/26_297_6j5j.1.H
ENST00000253413 P3/65/43/swissmodel/2_216_5voz.1.G
ENST00000454250 P3/65/44/swissmodel/21_489_6be1.1.E
ENST00000307959 P3/65/75/swissmodel/2_371_1suj.1.A
ENST00000397048 P3/66/39/swissmodel/43_197_5mzf.1.A
ENST00000340766 P3/68/73/swissmodel/6_300_2o8a.1.A
ENST00000541224 P3/68/96/swissmodel/173_502_3faa.1.A
ENST00000552516 P3/68/97/swissmodel/171_500_1ias.1.A
ENST00000199936 P3/70/59/swissmodel/83_316_4jro.1.C
ENST00000360168 P3/70/88/swissmodel/85_568_6bqn.1.A
ENST00000359013 P3/71/73/swissmodel/240_541_5e8v.1.A
ENST00000368096 P3/78/02/swissmodel/16_157_1wym.1.A
ENST00000354232 P3/81/17/swissmodel/4_255_2a1u.1.B
ENST00000334049 P3/84/05/swissmodel/10_381_3sn6.1.A
ENST00000340011 P3/85/67/swissmodel/39_449_2pe4.1.A
ENST00000263087 P3/85/70/swissmodel/19_1120_4neh.1.A
ENST00000273398 P3/86/06/swissmodel/18_616_5voz.1.A
ENST00000375108 P3/98/77/swissmodel/21_138_1fb2.2.A
ENST00000446125 P4/01/26/swissmodel/24_460_5m8l.1.A
ENST00000401815 P4/01/97/swissmodel/21_475_4u7l.1.A
ENST00000574481 P4/03/13/swissmodel/19_264_1cgi.1.A
ENST00000476959 P4/03/94/swissmodel/15_386_1u3t.1.B
ENST00000375050 P4/04/25/swissmodel/77_308_4egc.1.A
ENST00000396662 P4/06/17/swissmodel/11_186_6pta.1.A
ENST00000539945 P4/09/25/swissmodel/2_334_5mdh.1.B
ENST00000498619 P4/11/80/swissmodel/26_867_6n52.1.A
ENST00000473539 P4/12/17/swissmodel/32_232_4bfi.1.B
ENST00000474267 P4/12/21/swissmodel/67_380_6ahy.1.B
ENST00000333486 P4/12/26/swissmodel/10_1012_6dc6.2.A
ENST00000393597 P4/12/31/swissmodel/21_316_4xnw.2.A
ENST00000618156 P4/12/36/swissmodel/12_168_2o8a.1.B
ENST00000229304 P4/12/38/swissmodel/11_204_5k81.1.A
ENST00000375643 P4/12/52/swissmodel/1_841_1jzq.1.A
ENST00000289749 P4/12/71/swissmodel/30_130_4x1j.1.B
ENST00000611028 P4/14/39/swissmodel/30_234_4kmy.1.A
ENST00000243911 P4/19/68/swissmodel/40_321_6a93.2.A
ENST00000289228 P4/20/25/swissmodel/7_376_6f1t.1.B
ENST00000345506 P4/22/29/swissmodel/2_685_1yvl.2.A
ENST00000448073 P4/22/61/swissmodel/19_839_6njl.1.A
ENST00000645636 P4/22/62/swissmodel/23_845_6njm.1.A
ENST00000622768 P4/22/63/swissmodel/30_856_6njn.1.C
ENST00000261208 P4/23/57/swissmodel/113_617_1gk2.1.A
ENST00000619596 P4/26/79/swissmodel/51_487_6f3f.1.A
ENST00000606080 P4/26/85/swissmodel/47_503_1y57.1.A
ENST00000498124 P4/27/71/swissmodel/1_156_1dc2.1.A
ENST00000276925 P4/27/72/swissmodel/9_137_1dc2.1.A
ENST00000393399 P4/27/85/swissmodel/46_491_3n2z.1.A
ENST00000376583 P4/28/98/swissmodel/40_644_6fcx.1.A
ENST00000262352 P4/30/05/swissmodel/9_478_5llu.1.A
ENST00000234256 P4/30/07/swissmodel/31_490_5mju.1.A
ENST00000374369 P4/30/26/swissmodel/168_501_5vqf.2.A
ENST00000397195 P4/30/34/swissmodel/60_408_5ukl.1.B
ENST00000370758 P4/30/88/swissmodel/27_319_6iiu.1.A
ENST00000245457 P4/31/16/swissmodel/22_330_6iiu.1.A
ENST00000291294 P4/31/19/swissmodel/14_309_5ywy.1.A
ENST00000433477 P4/32/34/swissmodel/24_321_3qj3.1.A
ENST00000528793 P4/32/50/swissmodel/2_557_3nyn.1.A
ENST00000310454 P4/33/04/swissmodel/51_604_2rgo.1.A
ENST00000614849 P4/33/53/swissmodel/8_451_4qgk.1.A
ENST00000331220 P4/33/56/swissmodel/103_314_5hvq.1.A
ENST00000620710 P4/33/56/swissmodel/103_314_5hvq.1.A
ENST00000329342 P4/33/60/swissmodel/103_314_5hvq.1.A
ENST00000535454 P4/33/61/swissmodel/88_314_2wa0.1.A
ENST00000595065 P4/33/62/swissmodel/85_310_2wa0.1.A
ENST00000243314 P4/33/62/swissmodel/85_310_2wa0.1.A
ENST00000370323 P4/33/63/swissmodel/110_336_2wa0.1.A
ENST00000355220 P4/33/64/swissmodel/198_424_2wa0.1.A
ENST00000393869 P4/33/65/swissmodel/103_314_5hvq.1.A
ENST00000291633 P4/36/26/swissmodel/28_295_6grs.1.B
ENST00000326321 P4/36/30/swissmodel/28_313_3vh8.1.C
ENST00000378434 P4/36/57/swissmodel/13_301_5xsz.1.A
ENST00000323833 P4/38/97/swissmodel/43_321_4pc7.1.B
ENST00000313132 P4/58/80/swissmodel/12_294_5xdn.1.A
ENST00000395611 P4/59/83/swissmodel/8_362_3e7o.1.A
ENST00000415385 P4/59/85/swissmodel/95_388_3alo.1.B
ENST00000374024 P4/60/89/swissmodel/42_314_5mzj.1.A
ENST00000407325 P4/60/91/swissmodel/35_327_6d26.1.A
ENST00000332438 P4/60/92/swissmodel/27_328_5uiw.1.A
ENST00000323040 P4/60/93/swissmodel/13_296_5xsz.1.A
ENST00000309285 P4/60/94/swissmodel/18_306_5uiw.1.A
ENST00000414000 P4/60/95/swissmodel/77_344_5tgz.1.A
ENST00000355556 P4/60/98/swissmodel/28_478_6be1.1.A
ENST00000256593 P4/64/39/swissmodel/2_218_1gtu.1.A
ENST00000398238 P4/64/59/swissmodel/4_734_5c18.1.F
ENST00000381241 P4/65/97/swissmodel/1_345_4a6d.1.A
ENST00000216629 P4/66/63/swissmodel/34_328_5ung.1.A
ENST00000342679 P4/67/34/swissmodel/55_345_3vn9.1.A
ENST00000299727 P4/72/11/swissmodel/33_318_4zj8.1.A
ENST00000361183 P4/77/55/swissmodel/7_284_6f3a.1.K
ENST00000405846 P4/77/75/swissmodel/47_318_6aqf.1.A
ENST00000019103 P4/78/72/swissmodel/31_412_6nbh.1.A
ENST00000529803 P4/78/74/swissmodel/1_163_1zri.1.A
ENST00000248384 P4/78/87/swissmodel/23_316_5mzj.1.A
ENST00000287907 P4/78/98/swissmodel/34_353_5zkb.1.A
ENST00000367126 P4/79/01/swissmodel/32_353_4dkl.1.A
ENST00000219162 P4/79/44/swissmodel/1_62_4mt2.1.A
ENST00000253122 P4/80/29/swissmodel/51_599_4xph.1.A
ENST00000290299 P4/80/47/swissmodel/24_210_6j5i.1.K
ENST00000392664 P4/80/48/swissmodel/38_365_3spg.1.A
ENST00000609713 P4/80/51/swissmodel/53_378_3syc.1.A
ENST00000282499 P4/80/58/swissmodel/23_846_6njn.1.C
ENST00000395794 P4/80/61/swissmodel/22_89_2j7z.1.A
ENST00000397296 P4/80/65/swissmodel/34_578_4xp4.1.A
ENST00000254488 P4/80/66/swissmodel/48_593_5i6z.1.A
ENST00000360584 P4/80/67/swissmodel/99_653_4xpt.1.A
ENST00000331251 P4/81/45/swissmodel/36_326_4n6h.1.A
ENST00000369768 P4/81/46/swissmodel/44_333_4n6h.1.A
ENST00000369235 P4/81/65/swissmodel/2_227_6mhy.1.A
ENST00000264428 P4/81/67/swissmodel/55_355_3jae.1.A
ENST00000264318 P4/81/69/swissmodel/43_353_6d6u.1.B
ENST00000258886 P4/82/00/swissmodel/7_963_3sn2.1.A
ENST00000284727 P4/82/01/swissmodel/69_140_6j54.1.P
ENST00000305089 P4/83/04/swissmodel/23_166_1qdd.1.A
ENST00000530069 P4/84/48/swissmodel/4_376_4qgk.1.A
ENST00000397775 P4/84/54/swissmodel/11_366_5b8i.1.A
ENST00000650454 P4/85/06/swissmodel/2_622_3ig5.1.A
ENST00000370238 P4/85/07/swissmodel/13_252_3uzw.1.A
ENST00000397420 P4/85/09/swissmodel/12_250_5tcx.1.A
ENST00000529694 P4/85/44/swissmodel/49_373_3spg.1.A
ENST00000265969 P4/85/47/swissmodel/170_448_5vms.1.A
ENST00000295101 P4/85/49/swissmodel/42_370_3spg.1.A
ENST00000341074 P4/85/94/swissmodel/2_390_2zv6.2.A
ENST00000238508 P4/85/95/swissmodel/1_397_2h4r.1.A
ENST00000221742 P4/86/64/swissmodel/45_532_5mju.1.A
ENST00000285667 P4/87/23/swissmodel/34_458_1yuw.1.A
ENST00000634017 P4/87/39/swissmodel/2_271_2a1l.1.A
ENST00000296280 P4/87/40/swissmodel/298_699_4igd.1.A
ENST00000614239 P4/87/42/swissmodel/2_207_6cme.1.A
ENST00000476941 P4/89/95/swissmodel/41_784_5zbg.1.A
ENST00000528880 P4/90/19/swissmodel/15_311_5uiw.1.A
ENST00000329476 P4/91/46/swissmodel/1_340_6ibl.2.A
ENST00000369807 P4/91/84/swissmodel/19_272_1atn.1.B
ENST00000354775 P4/91/89/swissmodel/1_494_6qak.1.A
ENST00000272847 P4/91/90/swissmodel/31_437_6nbh.1.A
ENST00000296125 P4/92/21/swissmodel/7_684_1f13.1.B
ENST00000217428 P4/92/23/swissmodel/30_88_4bqd.1.A
ENST00000358309 P4/92/38/swissmodel/17_312_5uiw.1.A
ENST00000283646 P4/92/47/swissmodel/78_305_1lkz.1.A
ENST00000254090 P4/93/26/swissmodel/2_505_6hns.1.A
ENST00000313511 P4/94/11/swissmodel/55_451_1d2e.1.A
ENST00000322522 P4/94/41/swissmodel/1_399_1inp.1.A
ENST00000263212 P4/95/93/swissmodel/29_424_4jnd.1.A
ENST00000559717 P4/96/41/swissmodel/116_1150_1ps3.1.A
ENST00000373691 P4/96/82/swissmodel/42_335_3odu.1.A
ENST00000239032 P4/96/83/swissmodel/58_350_4zj8.1.A
ENST00000284311 P4/96/85/swissmodel/28_322_5vbl.1.B
ENST00000320033 P4/97/03/swissmodel/2_189_1r8q.3.A
ENST00000368378 P4/97/46/swissmodel/278_938_2rhp.1.A
ENST00000543245 P4/97/48/swissmodel/69_655_2uxw.1.A
ENST00000434813 P4/97/59/swissmodel/148_481_6fyo.1.A
ENST00000237696 P4/97/88/swissmodel/50_271_1wnh.1.A
ENST00000421743 P4/97/98/swissmodel/51_179_1ezt.1.A
ENST00000366565 P4/98/02/swissmodel/18_450_6n9g.2.A
ENST00000222330 P4/98/40/swissmodel/99_450_6ae3.1.A
ENST00000377325 P4/99/10/swissmodel/215_479_5wjq.1.C
ENST00000407439 P4/99/59/swissmodel/7_400_3t1i.1.A
ENST00000371207 P4/99/61/swissmodel/46_464_3zx3.2.A
ENST00000260599 P5/00/53/swissmodel/5_298_5wbm.1.B
ENST00000391854 P5/01/50/swissmodel/12_71_5ukm.1.C
ENST00000374293 P5/01/51/swissmodel/6_64_5ukm.1.C
ENST00000330233 P5/02/38/swissmodel/2_77_1iml.1.A
ENST00000612632 P5/03/91/swissmodel/32_341_5zbh.1.A
ENST00000380191 P5/03/95/swissmodel/1_431_1d5t.1.A
ENST00000289753 P5/04/06/swissmodel/26_338_6e67.1.A
ENST00000286298 P5/04/43/swissmodel/47_722_6rtc.1.A
ENST00000353706 P5/04/52/swissmodel/1_374_4ga7.1.A
ENST00000380698 P5/04/53/swissmodel/3_376_4zk0.1.A
ENST00000533603 P5/04/54/swissmodel/37_417_3zha.3.A
ENST00000389253 P5/05/70/swissmodel/6_744_5wp9.1.A
ENST00000305253 P5/06/07/swissmodel/244_505_1s31.1.A
ENST00000361216 P5/09/93/swissmodel/27_1020_4xe5.1.A
ENST00000422982 P5/09/95/swissmodel/189_505_1hak.1.A
ENST00000216277 P5/10/03/swissmodel/19_498_1q78.1.A
ENST00000547517 P5/11/48/swissmodel/19_182_4kyi.1.B
ENST00000368575 P5/11/53/swissmodel/3_173_5szj.1.A
ENST00000393980 P5/11/61/swissmodel/2_128_1o1v.1.A
ENST00000335288 P5/11/64/swissmodel/20_291_6jxk.1.B
ENST00000307331 P5/11/68/swissmodel/55_536_6bqn.1.B
ENST00000379116 P5/11/72/swissmodel/247_713_4nyk.1.A
ENST00000463876 P5/11/78/swissmodel/158_756_1djz.2.A
ENST00000259089 P5/14/51/swissmodel/62_505_1qcf.1.A
ENST00000379695 P5/14/60/swissmodel/30_129_2kqp.1.A
ENST00000482457 P5/15/04/swissmodel/3_269_5v3j.2.C
ENST00000219271 P5/15/11/swissmodel/48_559_1gxd.2.A
ENST00000301096 P5/15/22/swissmodel/118_396_5wjq.1.C
ENST00000225538 P5/15/75/swissmodel/13_369_5svk.1.A
ENST00000374519 P5/15/82/swissmodel/33_317_4xnw.2.A
ENST00000371204 P5/15/89/swissmodel/42_501_3czh.1.A
ENST00000393700 P5/16/06/swissmodel/11_410_1fp3.1.A
ENST00000348925 P5/16/49/swissmodel/61_535_2w8n.1.B
ENST00000394299 P5/16/54/swissmodel/32_483_4ywt.2.A
ENST00000414835 P5/16/59/swissmodel/5_606_3oml.1.A
ENST00000545097 P5/16/77/swissmodel/24_320_5uiw.1.A
ENST00000330953 P5/16/79/swissmodel/21_327_5uiw.1.A
ENST00000326306 P5/16/85/swissmodel/1_316_6meo.1.C
ENST00000381154 P5/16/89/swissmodel/38_577_1p49.1.A
ENST00000377073 P5/17/86/swissmodel/159_437_5wjq.1.C
ENST00000265593 P5/17/88/swissmodel/88_841_6qvc.1.B
ENST00000347613 P5/17/90/swissmodel/206_809_5tqq.1.A
ENST00000376091 P5/17/95/swissmodel/56_738_5tqq.1.A
ENST00000375679 P5/18/01/swissmodel/36_683_5tr1.1.A
ENST00000369682 P5/18/05/swissmodel/23_1204_5l59.2.A
ENST00000262640 P5/18/09/swissmodel/1_163_4b93.1.A
ENST00000262848 P5/18/17/swissmodel/41_358_1rdq.1.A
ENST00000369915 P5/18/54/swissmodel/21_594_6ha3.1.A
ENST00000393141 P5/18/78/swissmodel/156_434_3e4c.1.A
ENST00000266718 P5/18/84/swissmodel/36_337_5mx0.1.A
ENST00000343110 P5/18/88/swissmodel/72_382_5mx0.1.A
ENST00000618534 P5/19/56/swissmodel/2_275_6hvd.1.A
ENST00000587250 P5/21/98/swissmodel/6_184_1gwn.1.A
ENST00000339360 P5/23/06/swissmodel/87_604_5zhx.1.A
ENST00000429568 P5/24/34/swissmodel/1_150_5iy7.1.H
ENST00000343979 P5/27/37/swissmodel/137_415_5wjq.1.C
ENST00000355557 P5/27/38/swissmodel/129_408_5wjq.1.C
ENST00000396161 P5/27/41/swissmodel/129_423_5wjq.1.C
ENST00000368408 P5/27/97/swissmodel/29_168_2wo3.1.B
ENST00000427683 P5/27/98/swissmodel/24_154_2wo3.1.B
ENST00000333676 P5/28/15/swissmodel/63_198_1dd4.1.A
ENST00000250693 P5/29/61/swissmodel/36_280_1gxz.1.A
ENST00000215882 P5/30/07/swissmodel/24_305_6gci.1.A
ENST00000451320 P5/33/67/swissmodel/151_351_1i49.1.B
ENST00000283027 P5/33/84/swissmodel/51_309_6g2g.1.A
ENST00000419445 P5/36/09/swissmodel/18_363_1tnu.1.B
ENST00000368069 P5/36/21/swissmodel/5_767_3mkq.1.E
ENST00000392096 P5/36/72/swissmodel/8_197_3lwk.1.A
ENST00000518421 P5/36/77/swissmodel/1_418_6cri.1.F
ENST00000378076 P5/37/08/swissmodel/39_1011_3ije.1.A
ENST00000535424 P5/39/90/swissmodel/2_187_3frr.1.A
ENST00000335847 P5/41/07/swissmodel/28_249_3mz8.1.A
ENST00000301050 P5/42/84/swissmodel/38_362_1vyt.2.A
ENST00000356253 P5/42/89/swissmodel/27_1071_6jp5.1.C
ENST00000316299 P5/46/19/swissmodel/24_326_5ezv.1.C
ENST00000539282 P5/46/87/swissmodel/21_386_2abj.1.A
ENST00000218548 P5/47/07/swissmodel/53_1039_5ylv.1.A
ENST00000286371 P5/47/09/swissmodel/1_279_3wgv.2.B
ENST00000435564 P5/47/50/swissmodel/22_449_4x0f.1.B
ENST00000381127 P5/47/93/swissmodel/29_577_1p49.1.A
ENST00000261304 P5/48/03/swissmodel/43_685_3zr5.1.A
ENST00000298743 P5/48/26/swissmodel/46_245_5vz4.1.B
ENST00000261195 P5/48/40/swissmodel/22_629_5uw0.1.B
ENST00000256951 P5/48/49/swissmodel/6_153_6akg.1.A
ENST00000263354 P5/49/20/swissmodel/8_293_3j96.1.G
ENST00000438926 P5/50/17/swissmodel/135_1020_6npl.1.A
ENST00000225729 P5/50/39/swissmodel/15_364_4a9a.1.A
ENST00000372431 P5/50/58/swissmodel/17_470_4f2a.1.A
ENST00000262982 P5/50/60/swissmodel/8_964_1wa5.1.C
ENST00000320185 P5/50/75/swissmodel/52_198_2fdb.1.A
ENST00000296677 P5/50/85/swissmodel/57_359_5ndd.1.A
ENST00000309668 P5/51/03/swissmodel/36_352_5ntu.1.A
ENST00000293373 P5/51/60/swissmodel/8_1122_4n78.1.B
ENST00000618691 P5/52/09/swissmodel/52_354_6n2g.1.A
ENST00000381362 P5/52/59/swissmodel/190_506_4wrn.1.A
ENST00000614565 P5/52/83/swissmodel/39_712_6e6b.1.A
ENST00000577390 P5/52/86/swissmodel/62_605_5iry.1.A
ENST00000268603 P5/52/87/swissmodel/54_601_5erd.1.A
ENST00000504376 P5/52/89/swissmodel/55_598_5erd.1.B
ENST00000268613 P5/52/90/swissmodel/139_691_5erd.1.A
ENST00000289746 P5/52/91/swissmodel/46_588_5erd.1.B
ENST00000383801 P5/57/35/swissmodel/14_304_5a9q.1.G
ENST00000615050 P5/57/73/swissmodel/44_120_1g91.1.A
ENST00000322157 P5/57/86/swissmodel/53_913_5z65.1.A
ENST00000311485 P5/58/95/swissmodel/1_350_6cik.1.B
ENST00000317361 P5/59/57/swissmodel/61_195_2m5i.1.A
ENST00000618007 P5/61/80/swissmodel/216_542_3v0g.2.A
ENST00000307886 P5/62/02/swissmodel/37_363_3qj3.1.A
ENST00000243997 P5/63/81/swissmodel/2_49_6j5i.1.J
ENST00000374436 P5/65/37/swissmodel/1_244_3jct.1.o
ENST00000309035 P5/65/45/swissmodel/33_362_2ome.1.A
ENST00000339728 P5/65/59/swissmodel/2_181_1r8q.6.D
ENST00000265191 P5/65/97/swissmodel/10_149_1hhq.1.A
ENST00000284523 P5/67/04/swissmodel/40_352_6ahy.1.B
ENST00000290167 P5/67/05/swissmodel/43_351_6ahy.1.B
ENST00000308344 P5/67/46/swissmodel/2_186_4p79.1.A
ENST00000328796 P5/67/47/swissmodel/5_186_6ov2.1.A
ENST00000399899 P5/67/48/swissmodel/4_184_3x29.1.A
ENST00000286808 P5/67/50/swissmodel/5_189_6ov2.1.A
ENST00000343735 P5/68/56/swissmodel/1_195_6akg.1.A
ENST00000367165 P5/68/80/swissmodel/5_186_6ov2.1.A
ENST00000254521 P5/69/37/swissmodel/2_275_3o26.1.A
ENST00000599962 P5/70/53/swissmodel/19_126_1eqz.1.D
ENST00000330317 P5/70/81/swissmodel/12_327_2vdu.1.A
ENST00000400532 P5/70/87/swissmodel/30_233_5d4k.1.A
ENST00000400314 P5/77/21/swissmodel/129_366_3krm.1.A
ENST00000355852 P5/77/23/swissmodel/100_321_2n8m.1.A
ENST00000433957 P5/77/27/swissmodel/105_451_5ce1.1.A
ENST00000258302 P5/77/71/swissmodel/43_174_2a72.1.A
ENST00000312350 P5/77/89/swissmodel/57_347_6cq8.1.B
ENST00000325656 P5/77/96/swissmodel/123_275_2jt3.1.A
ENST00000536441 P5/80/05/swissmodel/62_492_5dj4.1.A
ENST00000266646 P5/81/66/swissmodel/36_350_5ntu.1.A
ENST00000545221 P5/81/80/swissmodel/22_305_5iu7.1.A
ENST00000264094 P5/82/15/swissmodel/307_744_5ze3.2.A
ENST00000271331 P5/82/94/swissmodel/20_96_1imt.1.A
ENST00000586602 P5/83/17/swissmodel/15_307_5v3m.1.C
ENST00000405863 P5/84/17/swissmodel/119_261_6pnq.1.B
ENST00000398652 P5/84/99/swissmodel/60_232_2yop.1.A
ENST00000397701 P5/85/57/swissmodel/1_150_1oz9.1.A
ENST00000300255 P5/86/58/swissmodel/64_285_5h4s.1.A
ENST00000392678 P5/87/53/swissmodel/79_221_3ub2.1.A
ENST00000377777 P5/88/76/swissmodel/27_126_5kgf.1.D
ENST00000321760 P5/92/82/swissmodel/6_133_1wlm.1.A
ENST00000476166 P5/96/46/swissmodel/20_88_2jp3.1.A
ENST00000302097 P5/98/17/swissmodel/216_492_5v3j.1.C
ENST00000291759 P5/99/01/swissmodel/26_422_6grs.1.B
ENST00000339764 P5/99/10/swissmodel/3_315_4j80.2.A
ENST00000433034 P5/99/98/swissmodel/1_168_4xei.1.F
ENST00000395535 P6/00/59/swissmodel/1_68_2wwb.1.B
ENST00000404716 P6/01/53/swissmodel/59_188_2e0m.1.A
ENST00000279387 P6/05/10/swissmodel/5_307_2npp.1.C
ENST00000358571 P6/06/73/swissmodel/1_136_2vk3.1.A
ENST00000519807 P6/08/66/swissmodel/17_119_5lks.58.A
ENST00000358056 P6/09/83/swissmodel/2_139_1v6f.1.A
ENST00000409817 P6/10/73/swissmodel/27_319_3odu.1.A
ENST00000357194 P6/10/77/swissmodel/1_147_1x23.1.A
ENST00000263238 P6/11/58/swissmodel/1_415_4xei.1.A
ENST00000377982 P6/11/60/swissmodel/4_388_4jd2.1.B
ENST00000369905 P6/11/63/swissmodel/7_376_6f1t.1.B
ENST00000299259 P6/12/01/swissmodel/1_443_6r7n.1.J
ENST00000296577 P6/12/21/swissmodel/4_597_5lzv.79.A
ENST00000323534 P6/12/25/swissmodel/1_167_3rap.1.A
ENST00000215095 P6/12/66/swissmodel/2_247_3c98.1.B
ENST00000293362 P6/12/89/swissmodel/4_249_5msj.1.A
ENST00000299299 P6/14/57/swissmodel/6_104_1dcp.1.C
ENST00000334982 P6/15/99/swissmodel/2_177_5k18.1.B
ENST00000377602 P6/16/47/swissmodel/115_395_5bo9.1.A
ENST00000373302 P6/17/64/swissmodel/3_592_4jeu.1.A
ENST00000366929 P6/18/12/swissmodel/21_414_5vqf.2.A
ENST00000248564 P6/19/52/swissmodel/1_68_1b9x.1.B
ENST00000379649 P6/19/60/swissmodel/2_83_5hkh.1.A
ENST00000376263 P6/19/78/swissmodel/143_459_2n8m.1.A
ENST00000305798 P6/20/79/swissmodel/15_156_5tcx.1.A
ENST00000312989 P6/21/36/swissmodel/1_311_1s70.1.A
ENST00000358506 P6/21/40/swissmodel/1_308_1s70.1.A
ENST00000256015 P6/23/24/swissmodel/11_129_3e9v.1.A
ENST00000613034 P6/23/80/swissmodel/3_184_1vtl.2.C
ENST00000341206 P6/25/02/swissmodel/23_162_4orr.1.A
ENST00000366937 P6/25/08/swissmodel/125_457_4nqa.2.A
ENST00000379520 P6/26/99/swissmodel/5_106_5v3o.1.B
ENST00000221138 P6/27/14/swissmodel/2_309_2npp.1.C
ENST00000224784 P6/27/36/swissmodel/6_377_3daw.1.A
ENST00000404666 P6/27/60/swissmodel/2_185_2l2e.1.A
ENST00000634956 P6/28/05/swissmodel/13_103_4jjn.1.F
ENST00000621520 P6/28/05/swissmodel/13_103_4jjn.1.F
ENST00000358064 P6/28/05/swissmodel/13_103_4jjn.1.F
ENST00000440692 P6/28/47/swissmodel/2_132_5lks.72.A
ENST00000303210 P6/28/79/swissmodel/2_340_3cik.1.B
ENST00000356142 P6/30/00/swissmodel/2_189_1hh4.2.A
ENST00000610402 P6/30/10/swissmodel/4_635_4uqi.1.B
ENST00000315985 P6/31/51/swissmodel/8_446_3dw8.1.B
ENST00000248572 P6/32/11/swissmodel/1_68_1b9x.1.B
ENST00000294117 P6/32/15/swissmodel/12_71_5ukm.1.C
ENST00000370645 P6/32/18/swissmodel/2_65_2bcj.1.C
ENST00000233143 P6/33/13/swissmodel/2_42_1hj0.1.A
ENST00000558134 P6/78/12/swissmodel/49_151_1jhc.1.A
ENST00000646974 P6/79/36/swissmodel/4_248_1c1g.1.A
ENST00000290378 P6/80/32/swissmodel/6_377_3daw.1.A
