TRAJ23 A0A075B6U7
PYDC2 Q56P42
RBM48 Q5RL73
BEND6 Q5SZJ8
SPATA31A6 Q5VVP1
ZMYM4 Q5VZL5
LIN54 Q6MZP7
POTEG Q6S5H5
ATF7IP Q6VMQ6
LRRC70 Q7Z2Q7
PID1 Q7Z2X4
MDP1 Q86V88
PACS2 Q86VP3
RFX6 Q8HWS3
PM20D2 Q8IYS1
SYS1 Q8N2H4
ZNF786 Q8N393
KLHL36 Q8N4N3
DHRSX Q8N5I4
ANKFN1 Q8N957
TMEM104 Q8NE00
OR52K2 Q8NGK3
OR4C13 Q8NGP0
OR4S2 Q8NH73
TPCN2 Q8NHX9
NSMCE1 Q8WV22
CCDC107 Q8WV48
FAR1 Q8WVX9
CDKL2 Q92772
NXNL1 Q96CM4
PHF21B Q96EK2
NEIL1 Q96FI4
DDRGK1 Q96HY6
C9orf72 Q96LT7
CCDC140 Q96MF4
PSKH2 Q96QS6
OR4K3 Q96R72
SH3GL3 Q99963
CHCHD5 Q9BSY4
ALKBH7 Q9BT30
LGR4 Q9BXB1
C1QTNF2 Q9BXJ5
KRTAP9-2 Q9BYQ4
NIBAN1 Q9BZQ8
PRSS22 Q9GZN4
SLC6A15 Q9H2J7
MS4A5 Q9H3V2
SP110 Q9HB58
HCFC1R1 Q9NWW0
SRRM2 Q9UQ35
NOP58 Q9Y2X3
NOP16 Q9Y3C1
POMT1 Q9Y6A1
CCDC195 A0A1B0GUA6
SMIM30 A4D0T7
LRRD1 A4D1F6
RASSF10 A6NK89
ZAR1L A6NP61
KCNJ18 B7U540
OR7A17 O14581
RFXANK O14593
DYNC1LI2 O43237
MAP3K13 O43283
SGTA O43765
SPINK4 O60575
DKC1 O60832
USP2 O75604
PPP1R15A O75807
CDK14 O94921
C1QC P02747
PRSS1 P07477
GSTM1 P09488
PET100 P0DJ07
DMD P11532
MYOG P15173
ZNF17 P17021
CYP2B6 P20813
DGKA P23743
PTPN3 P26045
EEF1D P29692
ADORA1 P30542
PTPN7 P35236
THBS2 P35442
MCM2 P49736
EPHA5 P54756
GAS1 P54826
DSCR4 P56555
SOX10 P56693
ZNF445 P59923
CTAG1A P78358
IFI35 P80217
MGAT3 Q09327
POU4F2 Q12837
PDE6H Q13956
KIAA0040 Q15053
E2F5 Q15329
LY6K Q17RY6
ZC2HC1C Q53FD0
FSCB Q5H9T9
CT45A1 Q5HYN5
PAGE2B Q5JRK9
LYSMD4 Q5XG99
IGFL3 Q6UXB1
TMIGD1 Q6UXZ0
C12orf54 Q6X4T0
ASCL4 Q6XD76
MACC1 Q6ZN28
WDR87 Q6ZQQ6
DYM Q7RTS9
NRARP Q7Z6K4
PIP4P1 Q86T03
DOLPP1 Q86YN1
PRAG1 Q86YV5
SIX5 Q8N196
ZDHHC22 Q8N966
THAP8 Q8NA92
DTWD2 Q8NBA8
ZNF540 Q8NDQ6
SRARP Q8NEQ6
MDGA1 Q8NFP4
OR56A3 Q8NH54
PTCD2 Q8WV60
C10orf82 Q8WW14
DNAJA4 Q8WW22
CKAP2 Q8WWK9
SLC5A11 Q8WWX8
ARHGAP45 Q92619
DVL3 Q92997
ISOC2 Q96AB3
SMIM10 Q96HG1
ZNF300 Q96RE9
SPRR2F Q96RM1
MRO Q9BYG7
KRTAP4-2 Q9BYR5
CPEB1 Q9BZB8
TRIM8 Q9BZR9
NELFA Q9H3P2
UPF2 Q9HAU5
C11orf16 Q9NQ32
CRTAC1 Q9NQ79
XPNPEP3 Q9NQH7
TUBA8 Q9NY65
RASL12 Q9NYN1
RGL1 Q9NZL6
CEP72 Q9P209
KLHL8 Q9P2G9
KLHL9 Q9P2J3
NIPSNAP3A Q9UFN0
CA5B Q9Y2D0
SLC9A8 Q9Y2E8
AFG3L2 Q9Y4W6
PPP2R3B Q9Y5P8
CCDC201 A0A1B0GTI1
REELD1 A0A1B0GV85
MYBPHL A2RUH7
OR14I1 A6ND48
ZNF729 A6NN14
SNAP23 O00161
NME4 O00746
NDUFA1 O15239
ZNF207 O43670
KALRN O60229
CLN5 O75503
CLDN11 O75508
CLEC3A O75596
SUPT7L O94864
APOL3 O95236
SERPIND1 P05546
PGK2 P07205
DHRS4L1 P0CG22
UGT2A2 P0DTE5
PVR P15151
RBL1 P28749
MARCKS P29966
GRIA3 P42263
MAGEA11 P43364
SCNN1B P51168
AIF1 P55008
SLC12A3 P55017
MLLT6 P55198
LIM2 P55344
TIMM10 P62072
BLCAP P62952
ABCA4 P78363
CRADD P78560
MVK Q03426
PAK1 Q13153
CDK5R2 Q13319
PICALM Q13492
TP53BP2 Q13625
H2BC21 Q16778
CPEB4 Q17RY0
ANXA2R Q3ZCQ2
C6orf136 Q5SQH8
RESP18 Q5W5W9
DESI1 Q6ICB0
OR2T2 Q6IF00
CGB2 Q6NT52
EFCAB12 Q6NXP0
TTC23L Q6PF05
PPIP5K1 Q6PFW1
SLC22A25 Q6T423
KIAA0319L Q8IZA0
CACNA2D3 Q8IZS8
CPXCR1 Q8N123
TCAIM Q8N3R3
ZBTB2 Q8N680
ZNF611 Q8N823
ZNF397 Q8NF99
VXN Q8TAG6
CYP2W1 Q8TAV3
TRMT10A Q8TBZ6
IFI44 Q8TCB0
DLG5 Q8TDM6
PSPC1 Q8WXF1
HPS1 Q92902
GLMN Q92990
DNAJC19 Q96DA6
MISP3 Q96FF7
ARHGAP5-AS1 Q96IT6
CEP19 Q96LK0
TCEANC2 Q96MN5
CFAP44 Q96MT7
SLC2A13 Q96QE2
PCDH15 Q96QU1
CCNL2 Q96S94
C12orf57 Q99622
CYBC1 Q9BQA9
CCM2 Q9BSQ5
FAM167B Q9BTA0
MSTO1 Q9BUK6
TMEM117 Q9H0C3
RACGAP1 Q9H0H5
LRRN3 Q9H3W5
SUGCT Q9HAC7
JPH1 Q9HDC5
VTA1 Q9NP79
CCDC177 Q9NQR7
GLRX2 Q9NS18
SIRT3 Q9NTG7
TMEM9 Q9P0T7
MARCHF4 Q9P2E8
GNG12 Q9UBI6
UBA2 Q9UBT2
PCDHB10 Q9UN67
SRPK3 Q9UPE1
PA2G4 Q9UQ80
PKIG Q9Y2B9
GPR52 Q9Y2T5
PRRC2C Q9Y520
HSPB11 Q9Y547
PNMA6F A0A0J9YX94
C20orf204 A0A1B0GTL2
HSFX3 A0A1B0GWH4
GTPBP10 A4D1E9
EFCAB5 A4FU69
PRORSD1P A6NEY8
IQCF5 A8MTL0
FAM90A22P A8MWA6
MAP2K7 O14733
GNB5 O14775
EPHB6 O15197
CREBL2 O60519
DNAJC6 O75061
NDUFS7 O75251
MTX2 O75431
TOX O94900
NDUFA7 O95182
MT-CO1 P00395
MT1A P04731
THBD P07204
SLC3A2 P08195
OR4E1 P0C645
DCAF8L2 P0C7V8
MT1G P13640
IGFBP2 P18065
SP100 P23497
DTYMK P23919
FCAR P24071
COX7A1 P24310
BLVRB P30043
CLIP1 P30622
XCL1 P47992
HARS2 P49590
CRYBB1 P53674
FOXL2 P58012
TAS2R19 P59542
HSPE1 P61604
ERVK-9 P63128
ERVK-7 P63135
ADARB1 P78563
DHODH Q02127
MCL1 Q07820
UBAP2L Q14157
PUM1 Q14671
SPCS2 Q15005
HADH Q16836
TIGD6 Q17RP2
TMEM183B Q1AE95
SLC27A3 Q5K4L6
NBPF12 Q5TAG4
H2BC19P Q6DRA6
RPL13AP3 Q6NVV1
PODNL1 Q6PEZ8
DHRS11 Q6UWP2
RFPL4B Q6ZWI9
PODN Q7Z5L7
HUWE1 Q7Z6Z7
DEFB128 Q7Z7B8
NUTM1 Q86Y26
NAV2 Q8IVL1
CDH26 Q8IXH8
FITM2 Q8N6M3
ARID1B Q8NFD5
NPB Q8NG41
OR2K2 Q8NGT1
COQ8A Q8NI60
CCHCR1 Q8TD31
PLEKHO2 Q8TD55
CA5BP1 Q8WTZ4
SLC39A7 Q92504
H1-10 Q92522
TBC1D5 Q92609
PCSK5 Q92824
JARID2 Q92833
ZDHHC16 Q969W1
MIB2 Q96AX9
C8orf44 Q96CB5
DTNBP1 Q96EV8
TTC14 Q96N46
CSMD1 Q96PZ7
NODAL Q96S42
NCAPG Q9BPX3
SPATA25 Q9BR10
ZKSCAN3 Q9BRR0
MCMBP Q9BTE3
RAMAC Q9BTL3
GPR87 Q9BY21
BACH2 Q9BYV9
FN3K Q9H479
SUV39H2 Q9H5I1
ACTR5 Q9H9F9
C17orf75 Q9HAS0
BIRC6 Q9NR09
ACSS1 Q9NUB1
TAS2R16 Q9NYV7
WWOX Q9NZC7
TBC1D7 Q9P0N9
MYO15A Q9UKN7
DDX52 Q9Y2R4
TRRAP Q9Y4A5
KCNE1B A0A087WTH5
TMEM223 A0PJW6
SMCO3 A2RU48
PRSS47 A8MTI9
TMEM14DP A8MWL7
LMO7DN F2Z398
BMPR1B O00238
SOCS7 O14512
ZBTB5 O15062
KPNA5 O15131
MSH4 O15457
TRAF3IP2 O43734
ZNF354A O60765
OPHN1 O60890
DCTN3 O75935
SEC14L2 O76054
CST3 P01034
RPLP2 P05387
OR4Q2 P0C623
SLC35E2B P0CK96
POLR1D P0DPB6
HOXB1 P14653
ATF2 P15336
FUT1 P19526
TYMP P19971
FGF7 P21781
IGHV1-2 P23083
PPIB P23284
YWHAB P31946
SOAT1 P35610
SUCLG1 P53597
NDUFV3 P56181
RPS20 P60866
CD69 Q07108
RIPPLY1 Q0D2K3
GRAP Q13588
PEX6 Q13608
IL13RA2 Q14627
TMEM132D Q14C87
R3HDM1 Q15032
SSX1 Q16384
SNRNP35 Q16560
KRTAP22-2 Q3LI68
COBLL1 Q53SF7
GJC2 Q5T442
IFIT1B Q5T764
TCERG1L Q5VWI1
FAM219B Q5XKK7
RNF123 Q5XPI4
C18orf63 Q68DL7
IQCE Q6IPM2
GALNT17 Q6IS24
PRPF40B Q6NWY9
STEAP1B Q6NZ63
CDC42EP5 Q6NZY7
CSAG1 Q6PB30
CNST Q6PJW8
SPATA8 Q6RVD6
POTEH Q6S545
KSR2 Q6VAB6
CDHR3 Q6ZTQ4
FAM114A1 Q8IWE2
REXO1L1P Q8IX06
C4orf19 Q8IY42
UNC5B Q8IZJ1
SLC7A5P1 Q8MH63
OTUD6B Q8N6M0
FAM181A Q8N9Y4
FNDC5 Q8NAU1
SCCPDH Q8NBX0
REPS2 Q8NFH8
OR4K1 Q8NGD4
FAM172A Q8WUF8
CSRNP3 Q8WYN3
TOPBP1 Q92547
USP6NL Q92738
BAD Q92934
TOMM40L Q969M1
NEURL3 Q96EH8
C1GALT1C1 Q96EU7
NBPF4 Q96M43
CEP295NL Q96MC4
MAGI1 Q96QZ7
CHP1 Q99653
MDFI Q99750
NUDT16L1 Q9BRJ7
TMEM175 Q9BSA9
SNRNP25 Q9BV90
PBX4 Q9BYU1
NAPB Q9H115
VCX3B Q9H321
PCNX3 Q9H6A9
ZNF395 Q9H8N7
MCM9 Q9NXL9
RBPJL Q9UBG7
SIX4 Q9UIU6
ZBTB21 Q9ULJ3
SLC27A6 Q9Y2P4
PCDHGB5 Q9Y5G0
TRAV14DV4 A0A0A6YYC5
TLE7 A0A1W2PR48
LRIT2 A6NDA9
FOXI3 A8MTJ6
B3GALT9 A8MXE2
NUPR1 O60356
PEX11A O75192
GLRX3 O76003
BAG4 O95429
CA1 P00915
VWF P04275
IGKV1D-39 P04432
CAPNS1 P04632
PRSS2 P07478
OR5H8 P0DN80
FCER1A P12319
RARG P13631
DES P17661
OSBP P22059
PRKCH P24723
GSTM2 P28161
ADH6 P28332
ARRB2 P32121
P2RY2 P41231
RAB28 P51157
CACNA2D1 P54289
EMP2 P54851
CDH4 P55283
ZP1 P60852
GNB2 P62879
HERV-K104 P63124
GPC5 P78333
MRPS11 P82912
DSC2 Q02487
DUSP2 Q05923
KDSR Q06136
ZNF177 Q13360
ITIH4 Q14624
ATP2B3 Q16720
HYAL4 Q2M3T9
PGGHG Q32M88
RRP12 Q5JTH9
CDC42BPA Q5VT25
ARL6IP4 Q66PJ3
SEL1L3 Q68CR1
UHRF1BP1 Q6BDS2
RALGAPA1 Q6GYQ0
REG3G Q6UW15
ILDR2 Q71H61
CCDC186 Q7Z3E2
B3GNT8 Q7Z7M8
GALNT10 Q86SR1
HEATR5A Q86XA9
RPUSD2 Q8IZ73
HS6ST3 Q8IZP7
ZNF557 Q8N988
TRIML1 Q8N9V2
ABCF1 Q8NE71
OR4K15 Q8NH41
PIWIL2 Q8TC59
PANK1 Q8TE04
COG1 Q8WTW3
ZC3H15 Q8WU90
CHCHD10 Q8WYQ3
SMG7 Q92540
HGD Q93099
MAL2 Q969L2
TMEM143 Q96AN5
AP2M1 Q96CW1
ORAI1 Q96D31
CDCA7L Q96GN5
USP47 Q96K76
UROC1 Q96N76
MAPKAP1 Q9BPZ7
CNFN Q9BYD5
TRIM34 Q9BYJ4
BCO2 Q9BYV7
ASPSCR1 Q9BZE9
FOXQ1 Q9C009
CCSER1 Q9C0I3
MAP1LC3B Q9GZQ8
LAT2 Q9GZY6
MAGEH1 Q9H213
PIGU Q9H490
RHOJ Q9H4E5
EPHX3 Q9H6B9
FNDC4 Q9H6D8
ZBTB20 Q9HC78
AGO4 Q9HCK5
MIEF1 Q9NQG6
PLSCR3 Q9NRY6
PKDREJ Q9NTG1
HAUS2 Q9NVX0
CUEDC1 Q9NWM3
CWC25 Q9NXE8
DNAJC5B Q9UF47
FAM153A Q9UHL3
HOOK1 Q9UJC3
POFUT2 Q9Y2G5
PCDHGC5 Q9Y5F6
IGKV2D-26 A0A0A0MRZ7
C19orf71 A6NCJ1
USP17L13 C9JLJ4
PSMD11 O00231
COPE O14579
MSTN O14793
FOXP2 O15409
TDRD6 O60522
GIGYF1 O75420
CRCP O75575
STAU1 O95793
TTC4 O95801
CRYZL1 O95825
OPN1LW P04000
PRB1 P04280
ADRA2A P08913
TNP1 P09430
SNRPA1 P09661
ALDOC P09972
C1GALT1C1L P0DN25
MBL2 P11226
ATP1A3 P13637
HSD17B1 P14061
PLA2G2A P14555
ANPEP P15144
SLC25A16 P16260
GABRB1 P18505
RPL17 P18621
HDC P19113
TNC P24821
CCND3 P30281
SRP14 P37108
RABGGTB P53611
COPB1 P53618
EIF6 P56537
MCCD1 P59942
ROMO1 P60602
MUC5AC P98088
PDE1B Q01064
PLOD1 Q02809
TLE1 Q04724
XRCC4 Q13426
NFATC2 Q13469
CAMK1 Q14012
STARD3 Q14849
SART3 Q15020
TERF2 Q15554
ZNF174 Q15697
ZNF792 Q3KQV3
CCDC152 Q4G0S7
ANO6 Q4KMQ2
HSP90AA4P Q58FG1
ANGPTL8 Q6UXH0
UNQ9165/PRO28630 Q6UXU0
LINC02908 Q6ZV77
DET1 Q7L5Y6
LHFPL4 Q7Z7J7
TRAPPC6B Q86SZ2
SLC25A42 Q86VD7
TMC8 Q8IU68
CREBRF Q8IUR6
POM121L12 Q8N7R1
C12orf76 Q8N812
C9orf163 Q8N9P6
FAM13C Q8NE31
COL22A1 Q8NFW1
FLVCR1-DT Q8TAF5
ESR2 Q92731
SNAPC3 Q92966
HDAC11 Q96DB2
ITPKC Q96DU7
OLFM3 Q96PB7
F2RL3 Q96RI0
UCN2 Q96RP3
MTERF1 Q99551
MXD3 Q9BW11
SSBP3 Q9BWW4
GATA5 Q9BWX5
RSPO3 Q9BXY4
TRIM5 Q9C035
MFF Q9GZY8
HOXD1 Q9GZZ0
ELAC1 Q9H777
AKTIP Q9H8T0
GPAM Q9HCL2
LZTFL1 Q9NQ48
SDHAF3 Q9NRP4
BPNT2 Q9NX62
FAT2 Q9NYQ8
RRN3 Q9NYV6
NXT1 Q9UKK6
FBXL21P Q9UKT6
RABL2B Q9UNT1
B9D1 Q9UPM9
TCF19 Q9Y242
NTNG1 Q9Y2I2
RABGAP1 Q9Y3P9
CSAD Q9Y600
MRFAP1 Q9Y605
DNMT3A Q9Y6K1
TRAJ38 A0A075B6W7
TRAJ31 A0A075B700
TRAJ37 A0A087X096
IGHV3-16 A0A0C4DH30
IGHV2-70D A0A0C4DH43
RBM47 A0AV96
HTR3E A5X5Y0
ZSWIM8 A7E2V4
YDJC A8MPS7
USP17L17 D6RBQ6
GOLGA8R I6L899
LGALS9 O00182
F2RL2 O00254
IMPA2 O14732
SYNM O15061
POLR1C O15160
DHH O43323
DNPH1 O43598
SLIT3 O75094
PPFIA2 O75334
GCM2 O75603
RAD51D O75771
KRT37 O76014
ERLIN2 O94905
HPR P00739
ANXA6 P08133
UCHL1 P09936
LINGO3 P0C6S8
MTRNR2L3 P0CJ70
TGFB3 P10600
CYP2D6 P10635
HSD3B1 P14060
AKR1C4 P17516
DNAJB2 P25686
GABRR2 P28476
TSPO P30536
HOXA11 P31270
GUCY1A2 P33402
PIK3CG P48736
RAB7A P51149
ERVPABLB-1 P60509
VAMP2 P63027
FCHO2 Q0JRZ9
HERC1 Q15751
PUS10 Q3MIT2
OGFRL1 Q5TC84
CES4A Q5XG92
DKFZp781C0719 Q68DW6
SPINK14 Q6IE38
SLC2A7 Q6PXP3
SLC30A10 Q6XR72
CREB3L2 Q70SY1
TRIL Q7L0X0
VPS36 Q86VN1
BAP18 Q8IXM2
CMIP Q8IY22
STK40 Q8N2I9
MIR7-3HG Q8N6C7
SYT14 Q8NB59
LILRB4 Q8NHJ6
MICAL1 Q8TDZ2
PHLDA1 Q8WV24
OSCP1 Q8WVF1
JADE3 Q92613
CCDC102A Q96A19
INTS12 Q96CB8
REPS1 Q96D71
WDR89 Q96FK6
HSFY1 Q96LI6
WDR24 Q96S15
CCL19 Q99731
H2BC13 Q99880
DDX50 Q9BQ39
UTP23 Q9BRU9
SCNM1 Q9BWG6
CAPS2 Q9BXY5
UBXN6 Q9BZV1
VN1R1 Q9GZP7
DNTTIP1 Q9H147
PPIL3 Q9H2H8
AZI2 Q9H6S1
CAB39L Q9H9S4
SARS2 Q9NP81
YAE1 Q9NRH1
PLSCR4 Q9NRQ2
GPR173 Q9NS66
ZNHIT6 Q9NWK9
RHBDL2 Q9NX52
TMOD3 Q9NYL9
AKAP7 Q9P0M2
DCDC2 Q9UHG0
KCNE5 Q9UJ90
RPS6KA6 Q9UK32
LSM7 Q9UK45
KCNH4 Q9UQ05
ERVK-11 Q9UQG0
TMX2 Q9Y320
WDR7 Q9Y4E6
AMMECR1 Q9Y4X0
IGKV3D-15 A0A087WSY6
TRAV1-2 A0A0B4J238
SMIM28 A0A1B0GU29
NPIPB4 C9JG80
NDUFC2-KCTD14 E9PQ53
NPIPA3 F8WFD2
RNF225 M0QZC1
DNASE2 O00115
NKRF O15226
BCAT2 O15382
GRIN2D O15399
PPP1R12B O60237
DNAJC13 O75165
RHBDL1 O75783
SCGN O76038
PSMG1 O95456
RAB3D O95716
RPN1 P04843
SERPINF2 P08697
CCNB1 P14635
EZR P15311
ITGB6 P18564
PRKACB P22694
POU1F1 P28069
LOX P28300
TEAD1 P28347
ATP5F1C P36542
AVPR1A P37288
NMU P48645
HK3 P52790
SEC24C P53992
HAP1 P54257
SESN3 P58005
TPPP2 P59282
PSMC5 P62195
MZT1 Q08AG7
FLII Q13045
ART3 Q13508
PDE1C Q14123
ZNF169 Q14929
PDCD1 Q15116
CCNG2 Q16589
NREP Q16612
IZUMO4 Q1ZYL8
HLA-DRB5 Q30154
IFI44L Q53G44
XKR7 Q5GH72
CDKL4 Q5MAI5
ATPAF1 Q5TC12
NBPF14 Q5TI25
TMEM236 Q5W0B7
FBXW9 Q5XUX1
SLFN13 Q68D06
KCTD16 Q68DU8
IGFL4 Q6B9Z1
ZFAND6 Q6FIF0
OR7E24 Q6IFN5
TNFAIP8L2 Q6P589
HECW1 Q76N89
HSD17B13 Q7Z5P4
AMZ2 Q86W34
CCDC60 Q8IWA6
DNAI3 Q8IWG1
NANOGP1 Q8N7R0
SYT8 Q8NBV8
PLPP5 Q8NEB5
AGBL3 Q8NEM8
OR2T6 Q8NHC8
OTUD7A Q8TE49
ADAMTS15 Q8TE58
SH3TC2 Q8TF17
C2orf15 Q8WU43
TCP11 Q8WWU5
SLC38A4 Q969I6
PSMG2 Q969U7
ZNF707 Q96C28
ZC3HAV1L Q96H79
AHCYL2 Q96HN2
HPDL Q96IR7
AK7 Q96M32
KREMEN1 Q96MU8
NSUN5 Q96P11
TECTB Q96PL2
SDF2 Q99470
PYM1 Q9BRP8
RNF38 Q9H0F5
SLITRK2 Q9H156
KCNK15 Q9H427
RNF41 Q9H4P4
C14orf93 Q9H972
TPT1P8 Q9HAU6
RPS10P5 Q9NQ39
RRP7BP Q9NSQ0
SMARCAL1 Q9NZC9
KIAA1522 Q9P206
SIPA1L2 Q9P2F8
DNMT3B Q9UBC3
TENM1 Q9UKZ4
NINL Q9Y2I6
CAB39 Q9Y376
TRAJ46 A0A075B6W4
PPIAL4H A0A075B767
OR5H15 A6NDH6
ERI2 A8K979
SMTNL1 A8MU46
NPIPB12 F8W0I5
IRF6 O14896
TAX1BP3 O14907
ASAP2 O43150
NCK2 O43639
BUB3 O43684
GGCT O75223
SNAP29 O95721
GGPS1 O95749
HPRT1 P00492
IGLV3-27 P01718
LCK P06239
FAM106C P0CH98
TRDD1 P0DPR3
MGMT P16455
ZNF7 P17097
IL1R2 P27930
AQP1 P29972
PRKAR1B P31321
RPA3 P35244
ARL3 P36405
ID4 P47928
NUMB P49757
SMTN P53814
CAV3 P56539
TMEM50B P56557
TAS2R31 P59538
RPL31 P62899
COL7A1 Q02388
CRYZ Q08257
CDH17 Q12864
TSPAN31 Q12999
DRP2 Q13474
TDG Q13569
NTRK3 Q16288
C17orf58 Q2M2W7
CDNF Q49AH0
CCDC40 Q4G0X9
MAP3K19 Q56UN5
UBXN11 Q5T124
TMTC4 Q5T4D3
ANKRD20A3P Q5VUR7
TUT7 Q5VYS8
ATL3 Q6DD88
MCTP2 Q6DN12
PPP1R18 Q6NYC8
BRICD5 Q6PL45
IGF2-AS Q6U949
DPY19L3 Q6ZPD9
CCDC190 Q86UF4
DEFB107A Q8IZN7
ZNF619 Q8N2I2
CENPS Q8N2Z9
MIER2 Q8N344
FBXO39 Q8N4B4
TOMM5 Q8N4H5
LINC00311 Q8N616
BEND7 Q8N7W2
TEX19 Q8NA77
NFATC2IP Q8NCF5
TNIP2 Q8NFZ5
OR8U1 Q8NH10
NFKBID Q8NI38
SUN3 Q8TAQ9
CFAP251 Q8TBY9
FBXO25 Q8TCJ0
RLN3 Q8WXF3
ASB11 Q8WXH4
LARP4B Q92615
TSLP Q969D9
ANKRD9 Q96BM1
RNFT2 Q96EX2
CLBA1 Q96F83
FMC1 Q96HJ9
ABHD1 Q96SE0
MMS19 Q96T76
IL12RB2 Q99665
TRMO Q9BU70
SPINDOC Q9BUA3
CFHR5 Q9BXR6
TEX13A Q9BXU3
ZFHX2 Q9C0A1
GFRA4 Q9GZZ7
GSX1 Q9H4S2
HEATR1 Q9H583
PRDM5 Q9NQX1
STAU2 Q9NUL3
PNPO Q9NVS9
TXNL4B Q9NX01
LRP2BP Q9P2M1
ZNF229 Q9UJW7
ZNF490 Q9ULM2
CFL2 Q9Y281
IRS2 Q9Y4H2
FCGBP Q9Y6R7
NPIPA9 A0A0B4J1W7
LOC102725191 A0A1B0GVB3
CCDC200 A0A1B0GVQ3
PERCC1 A0A1W2PR82
POTEB3 A0JP26
GJE1 A6NN92
HIGD1C A8MV81
ARHGEF33 A8MVX0
USP17L10 C9JJH3
TBXT O15178
ADAMDEC1 O15204
FGF16 O43320
SLC25A20 O43772
LZTS3 O60299
EIF3J O75822
ARIH2 O95376
NPY P01303
IGLV1-47 P01700
C9 P02748
TRGC2 P03986
ITGB3 P05106
CELA3B P08861
PRR35 P0CG20
SMIM13 P0DJ93
OR13C7 P0DN81
DEFB130A P0DP74
C2orf27A P0DPF5
PSKH1 P11801
NME1 P15531
CD44 P16070
CCN2 P29279
PPP2R1B P30154
HOXA7 P31268
SOX5 P35711
ARL1 P40616
NSF P46459
GABRB2 P47870
RPS15 P62841
ERH P84090
DOC2A Q14183
FLOT2 Q14254
ACAP2 Q15057
MINDY4 Q4G0A6
CCDC38 Q502W7
PLEKHO1 Q53GL0
GRTP1 Q5TC63
RSPH4A Q5TD94
CEP350 Q5VT06
TASOR2 Q5VWN6
METTL21C Q5VZV1
SULT6B1 Q6IMI4
CES3 Q6UWW8
PRR23B Q6ZRT6
UNC5CL Q8IV45
ATOH7 Q8N100
PYROXD2 Q8N2H3
HROB Q8N3J3
RNF182 Q8N6D2
ACBD7 Q8N6N7
METTL25 Q8N6Q8
NRAC Q8N912
EXD3 Q8N9H8
IQUB Q8NA54
ZNF671 Q8TAW3
ADAMTS16 Q8TE57
DOCK2 Q92608
ADIPOR1 Q96A54
LRRC59 Q96AG4
PPCDC Q96CD2
EOLA2 Q96DE9
SAMD8 Q96LT4
RBM15 Q96T37
PNKP Q96T60
SLX1A Q9BQ83
NACA4P Q9BZK3
EGLN1 Q9GZT9
GAL3ST2 Q9H3Q3
MTG2 Q9H4K7
MINDY3 Q9H8M7
ACTR8 Q9H981
PLEKHA3 Q9HB20
ZCCHC17 Q9NP64
CABP5 Q9NP86
FBXO8 Q9NRD0
CHST7 Q9NS84
C20orf96 Q9NUD7
TMLHE Q9NVH6
EVA1B Q9NVM1
TMEM248 Q9NWD8
TAS2R14 Q9NYV8
FLRT1 Q9NZU1
NDUFA13 Q9P0J0
DELEC1 Q9P2X7
ONECUT1 Q9UBC0
CTNNAL1 Q9UBT7
BCAP29 Q9UHQ4
TINAG Q9UJW2
ZNF346 Q9UL40
ANGPT4 Q9Y264
IRAK3 Q9Y616
IGKV1D-17 A0A075B6S4
IGKV1-37 A0A075B6S9
GREP1 A0A0J9YXV3
C17orf114 A0A1B0GUV1
C2orf92 A0A1B0GVN3
TEX52 A6NCN8
TMEM202 A6NGA9
ZNF785 A8K8V0
C2CD4D B7Z1M9
SIVA1 O15304
CHST1 O43916
BANF1 O75531
SKAP2 O75563
TCEA3 O75764
OR7C1 O76099
TPM3 P06753
ADH1A P07327
CT47B1 P0C2W7
RBMY1C P0DJD4
FAM236C P0DP71
LAMP1 P11279
IGF2R P11717
GP1BB P13224
CEACAM1 P13688
UGT1A6 P19224
CCNA2 P20248
F2R P25116
HOXA9 P31269
IRS1 P35568
MNX1 P50219
PDE1A P54750
FCGRT P55899
LINC01547 P58512
KRTAP10-1 P60331
KRT83 P78385
ATP11A P98196
ECT2L Q008S8
DR1 Q01658
IFFO1 Q0D2I5
IL24 Q13007
RIPK1 Q13546
HSP90AA2P Q14568
ANKRD1 Q15327
KLHL22 Q53GT1
CCDC178 Q5BJE1
SDHAF4 Q5VUM1
MYSM1 Q5VVJ2
STYXL2 Q5VZP5
PPP1R2B Q6NXS1
RPUSD3 Q6P087
ZNF549 Q6P9A3
PRSS55 Q6UWB4
PI16 Q6UXB8
CCNI2 Q6ZMN8
TIFAB Q6ZNK6
ADGRE4P Q86SQ3
KTN1 Q86UP2
CLVS1 Q8IUQ0
EPHX4 Q8IUS5
SLX4 Q8IY92
SEPTIN12 Q8IYM1
SMYD4 Q8IYR2
SPICE1 Q8N0Z3
ZNF567 Q8N184
MINDY1 Q8N5J2
PATJ Q8NI35
DDI1 Q8WTU0
LEO1 Q8WVC0
USP13 Q92995
RBPMS Q93062
HSPBAP1 Q96EW2
BORCS6 Q96GS4
SLC41A3 Q96GZ6
UBE2E2 Q96LR5
GPR82 Q96P67
SPRR4 Q96PI1
RNF157 Q96PX1
SLC49A4 Q96SL1
CITED1 Q99966
PBDC1 Q9BVG4
KATNAL1 Q9BW62
ANKRD30A Q9BXX3
KRTAP4-8 Q9BYQ9
PRKD2 Q9BZL6
CSTL1 Q9H114
C8orf33 Q9H7E9
MMRN2 Q9H8L6
IFT122 Q9HBG6
VEZT Q9HBM0
HYPK Q9NX55
ZDHHC3 Q9NYG2
