ENST00000390247 A0/A0/75B6H7/swissmodel/18_116_5wt9.1.B
ENST00000607124 P0/68/99/swissmodel/28_126_3x1v.1.F
ENST00000447280 P0/70/93/swissmodel/21_398_4aqh.1.A
ENST00000394375 P0/70/98/swissmodel/28_398_1hlg.1.A
ENST00000366837 P0/70/99/swissmodel/27_447_4qla.1.A
ENST00000381178 P0/71/01/swissmodel/110_526_5egq.1.A
ENST00000295834 P0/71/48/swissmodel/1_127_2py1.1.A
ENST00000396076 P0/71/95/swissmodel/2_333_6cep.1.A
ENST00000345913 P0/72/02/swissmodel/132_735_5mfa.1.A
ENST00000304801 P0/72/05/swissmodel/14_417_2p9t.1.A
ENST00000394236 P0/72/25/swissmodel/266_673_1h30.1.A
ENST00000331483 P0/72/37/swissmodel/20_481_6i7s.2.A
ENST00000326003 P0/72/88/swissmodel/25_261_3qum.1.A
ENST00000238618 P0/73/11/swissmodel/2_99_2k7j.1.A
ENST00000282141 P0/73/15/swissmodel/1_174_2bb2.1.A
ENST00000260988 P0/73/16/swissmodel/1_175_2bb2.1.A
ENST00000264376 P0/73/20/swissmodel/1_173_2bb2.1.A
ENST00000209668 P0/73/27/swissmodel/2_375_1u3t.1.B
ENST00000236671 P0/73/39/swissmodel/21_410_2psg.1.A
ENST00000332680 P0/73/55/swissmodel/2_339_5lpu.1.A
ENST00000361249 P0/73/57/swissmodel/39_582_3ojy.1.A
ENST00000371237 P0/73/58/swissmodel/61_590_3ojy.1.B
ENST00000527323 P0/73/84/swissmodel/12_713_1qxp.2.A
ENST00000327892 P0/74/37/swissmodel/1_426_5ij9.1.B
ENST00000334346 P0/74/38/swissmodel/1_61_4mt2.1.A
ENST00000285381 P0/74/51/swissmodel/2_260_3uyn.1.A
ENST00000311737 P0/74/77/swissmodel/24_247_1trn.1.B
ENST00000305988 P0/75/50/swissmodel/10_343_6e67.2.A
ENST00000052754 P0/75/85/swissmodel/51_355_1xec.1.A
ENST00000261416 P0/76/86/swissmodel/53_552_5bro.1.A
ENST00000343150 P0/77/11/swissmodel/18_333_1cs8.1.A
ENST00000393132 P0/77/38/swissmodel/2_255_2a9j.1.B
ENST00000378364 P0/77/41/swissmodel/2_180_6fci.1.A
ENST00000353047 P0/78/58/swissmodel/18_333_1pbh.1.A
ENST00000541669 P0/78/64/swissmodel/2_332_5kkc.1.A
ENST00000334701 P0/79/00/swissmodel/15_698_5fwk.1.A
ENST00000378842 P0/79/02/swissmodel/21_368_6gqd.1.A
ENST00000311672 P0/79/19/swissmodel/14_91_1l0l.1.H
ENST00000584307 P0/79/47/swissmodel/93_543_1y57.1.A
ENST00000519728 P0/79/48/swissmodel/66_512_5h09.1.A
ENST00000378292 P0/79/51/swissmodel/1_284_1c1g.2.A
ENST00000366560 P0/79/54/swissmodel/49_510_5upp.1.A
ENST00000397967 P0/79/98/swissmodel/29_155_2k11.1.A
ENST00000296271 P0/81/00/swissmodel/1_348_3oax.1.A
ENST00000354546 P0/81/33/swissmodel/10_673_1m9i.1.A
ENST00000285735 P0/81/34/swissmodel/1_190_4f38.1.A
ENST00000445907 P0/81/72/swissmodel/16_458_5yc8.1.A
ENST00000433765 P0/81/73/swissmodel/24_473_5dsg.2.A
ENST00000314754 P0/81/74/swissmodel/35_285_1ojw.1.B
ENST00000265724 P0/81/83/swissmodel/31_1279_4q9k.1.A
ENST00000341584 P0/81/85/swissmodel/38_405_4c49.1.A
ENST00000359621 P0/82/17/swissmodel/29_269_1bru.1.A
ENST00000375910 P0/82/18/swissmodel/29_269_1bru.1.A
ENST00000304895 P0/82/36/swissmodel/22_633_3hn3.1.A
ENST00000340802 P0/82/37/swissmodel/8_755_4omt.1.A
ENST00000371554 P0/82/38/swissmodel/10_690_5fwk.1.A
ENST00000332118 P0/82/40/swissmodel/2_638_6frk.1.u
ENST00000175506 P0/82/43/swissmodel/2_535_6gq3.1.A
ENST00000590230 P0/82/46/swissmodel/30_247_4wvp.1.A
ENST00000219070 P0/82/53/swissmodel/31_660_1ck7.1.A
ENST00000299855 P0/82/54/swissmodel/31_476_1su3.2.A
ENST00000334575 P0/82/63/swissmodel/2_222_1pl2.1.A
ENST00000382120 P0/82/94/swissmodel/55_223_2jlp.1.A
ENST00000216336 P0/83/11/swissmodel/25_245_1kyn.2.A
ENST00000265512 P0/83/19/swissmodel/2_380_3cos.1.A
ENST00000460393 P0/84/73/swissmodel/54_750_4cth.1.A
ENST00000242208 P0/84/76/swissmodel/51_426_5hly.1.A
ENST00000262407 P0/85/14/swissmodel/32_988_6avr.1.A
ENST00000379806 P0/85/59/swissmodel/30_390_3exe.1.A
ENST00000318911 P0/85/74/swissmodel/85_325_5xte.1.H
ENST00000296350 P0/85/82/swissmodel/20_712_1lcf.1.A
ENST00000369295 P0/85/88/swissmodel/51_394_6e67.2.A
ENST00000395869 P0/85/90/swissmodel/43_194_6o20.1.C
ENST00000168712 P0/86/20/swissmodel/79_206_1ijt.1.A
ENST00000293379 P0/86/48/swissmodel/42_988_4mmx.1.A
ENST00000296870 P0/87/00/swissmodel/31_142_5uwc.1.B
ENST00000375581 P0/87/09/swissmodel/61_456_6c2w.1.A
ENST00000369851 P0/87/54/swissmodel/6_341_5kdo.1.A
ENST00000296511 P0/87/58/swissmodel/5_320_1n44.1.A
ENST00000217961 P0/88/42/swissmodel/23_575_1p49.1.A
ENST00000337107 P0/88/61/swissmodel/29_270_1pyt.1.C
ENST00000368485 P0/88/87/swissmodel/28_318_1n26.1.A
ENST00000323865 P0/89/08/swissmodel/31_418_5v54.1.A
ENST00000280155 P0/89/13/swissmodel/27_445_5v54.1.A
ENST00000264995 P0/90/01/swissmodel/45_348_3j7y.1.D
ENST00000290122 P0/90/93/swissmodel/28_270_1pyt.1.C
ENST00000535366 P0/91/04/swissmodel/1_434_5td9.1.B
ENST00000199708 P0/91/05/swissmodel/3_142_3gqr.2.C
ENST00000333167 P0/91/10/swissmodel/30_424_2iik.1.A
ENST00000505459 P0/91/32/swissmodel/14_120_1mfq.1.B
ENST00000393056 P0/91/72/swissmodel/46_614_4zel.1.A
ENST00000493422 P0/92/10/swissmodel/2_222_1pl2.1.A
ENST00000398606 P0/92/11/swissmodel/1_210_5l6x.1.A
ENST00000304725 P0/92/28/swissmodel/31_140_1rn7.1.A
ENST00000260227 P0/92/37/swissmodel/20_267_2mzh.1.A
ENST00000279441 P0/92/38/swissmodel/32_476_1su3.1.A
ENST00000368046 P0/93/26/swissmodel/26_212_2dru.1.A
ENST00000248444 P0/93/27/swissmodel/5_732_1d0n.1.A
ENST00000395761 P0/93/41/swissmodel/36_106_1msh.1.A
ENST00000215909 P0/93/82/swissmodel/2_135_4ga9.1.A
ENST00000281243 P0/94/17/swissmodel/9_243_1dir.1.A
ENST00000405805 P0/94/29/swissmodel/5_166_2yrq.1.A
ENST00000479141 P0/94/66/swissmodel/26_178_4r0b.1.A
ENST00000415431 P0/94/67/swissmodel/11_336_2f3b.1.D
ENST00000262494 P0/94/71/swissmodel/6_341_5kdo.1.A
ENST00000231061 P0/94/86/swissmodel/71_303_1bmo.1.A
ENST00000309851 P0/94/88/swissmodel/2_218_1xwk.1.A
ENST00000358278 P0/94/93/swissmodel/1_284_1c1g.2.B
ENST00000394295 P0/95/25/swissmodel/11_319_1aow.1.A
ENST00000265441 P0/95/44/swissmodel/39_349_6ahy.1.B
ENST00000216117 P0/96/01/swissmodel/9_223_3hok.2.A
ENST00000205402 P0/96/22/swissmodel/36_509_6hg8.1.A
ENST00000254193 P0/96/61/swissmodel/2_163_1a9n.1.B
ENST00000220166 P0/96/68/swissmodel/24_335_6czk.1.A
ENST00000520468 P0/96/69/swissmodel/3_75_5z62.1.I
ENST00000532917 P0/96/93/swissmodel/24_138_6jxr.1.E
ENST00000371225 P0/97/58/swissmodel/31_273_4mzv.1.A
ENST00000374005 P0/97/69/swissmodel/79_527_1y57.1.A
ENST00000379059 P0/98/84/swissmodel/338_1456_5exr.1.C
ENST00000339145 P0/99/12/swissmodel/30_122_2loq.1.A
ENST00000371826 P0/99/13/swissmodel/15_457_6c6k.1.A
ENST00000371804 P0/99/14/swissmodel/8_467_5udj.1.A
ENST00000374391 P0/99/17/swissmodel/2_674_3v92.1.A
ENST00000295463 P0/99/23/swissmodel/20_500_1zef.1.A
ENST00000284440 P0/99/36/swissmodel/1_223_2etl.2.A
ENST00000228740 P0/99/60/swissmodel/4_611_6enc.1.A
ENST00000226253 P0/99/72/swissmodel/2_364_1ado.1.A
ENST00000268533 P0/C0/24/swissmodel/13_233_5t3p.1.A
ENST00000334513 P0/C0/25/swissmodel/4_293_5lf8.1.A
ENST00000218249 P0/C0/E4/swissmodel/10_179_5szj.1.A
ENST00000296417 P0/C0/S5/swissmodel/16_120_5z30.1.C
ENST00000359193 P0/C0/S8/swissmodel/10_119_6rny.1.C
ENST00000358739 P0/C0/S8/swissmodel/10_119_6rny.1.C
ENST00000359611 P0/C0/S8/swissmodel/10_119_6rny.1.C
ENST00000311630 P0/C2/W1/swissmodel/93_283_6dn7.1.A
ENST00000354514 P0/C5/Z0/swissmodel/21_101_6a7u.1.A
ENST00000585527 P0/C6/S8/swissmodel/24_498_2id5.1.B
ENST00000456793 P0/C6/T2/swissmodel/1_37_2lat.1.A
ENST00000527080 P0/C7/I0/swissmodel/48_372_3mhs.1.A
ENST00000434006 P0/C7/L1/swissmodel/35_94_2leo.1.A
ENST00000399422 P0/C7/M7/swissmodel/45_578_2wd9.1.A
ENST00000374006 P0/C7/U1/swissmodel/30_165_4wgk.1.A
ENST00000397299 P0/C8/70/swissmodel/1_316_5nfn.1.A
ENST00000429565 P0/CB/33/swissmodel/113_404_5wjq.1.C
ENST00000257627 P0/CE/71/swissmodel/1_109_1ttx.1.A
ENST00000242104 P0/CE/72/swissmodel/1_109_1ttx.1.A
ENST00000422359 P0/CF/75/swissmodel/25_366_1pp1.1.A
ENST00000424439 P0/CG/21/swissmodel/2_116_6fq3.1.A
ENST00000290765 P0/CG/30/swissmodel/1_244_4mpf.1.A
ENST00000289373 P0/CG/34/swissmodel/6_41_4pl7.1.A
ENST00000436583 P0/CG/35/swissmodel/6_41_4pl7.1.A
ENST00000302182 P0/CG/47/swissmodel/1_229_5b83.2.A
ENST00000457222 P0/CV/98/swissmodel/102_290_5day.1.B
ENST00000458511 P0/DI/81/swissmodel/1_140_2j3w.2.A
ENST00000543226 P0/DI/82/swissmodel/1_140_2j3w.2.A
ENST00000378149 P0/DJ/D7/swissmodel/17_388_2psg.1.A
ENST00000325558 P0/DJ/D8/swissmodel/17_388_2psg.1.A
ENST00000312403 P0/DJ/D9/swissmodel/17_388_2psg.1.A
ENST00000405158 P0/DJ/I8/swissmodel/19_122_4ip9.1.A
ENST00000526900 P0/DJ/I9/swissmodel/19_122_4ip9.1.A
ENST00000367123 P0/DJ/J0/swissmodel/5_452_5i6r.1.A
ENST00000464121 P0/DM/35/swissmodel/1_61_4mt2.1.A
ENST00000316193 P0/DM/L2/swissmodel/29_217_1hwh.1.A
ENST00000392886 P0/DM/L3/swissmodel/29_217_1hwh.1.A
ENST00000375651 P0/DM/V8/swissmodel/4_608_5e84.1.A
ENST00000375650 P0/DM/V9/swissmodel/4_608_5e84.1.A
ENST00000419275 P0/DN/37/swissmodel/1_164_4dgd.1.A
ENST00000369929 P0/DN/77/swissmodel/21_340_5dgy.2.A
ENST00000357383 P0/DN/86/swissmodel/22_131_1qfw.1.B
ENST00000301408 P0/DN/86/swissmodel/22_131_1qfw.1.B
ENST00000448456 P0/DN/86/swissmodel/22_131_1qfw.1.B
ENST00000597853 P0/DN/87/swissmodel/22_131_1qfw.1.B
ENST00000390323 P0/DO/Y2/swissmodel/1_103_5mvg.1.A
ENST00000390325 P0/DO/Y3/swissmodel/1_103_3mme.2.B
ENST00000356978 P0/DP/23/swissmodel/1_147_3wlc.1.A
ENST00000272298 P0/DP/24/swissmodel/1_147_3wlc.1.A
ENST00000291295 P0/DP/25/swissmodel/1_147_3wlc.1.A
ENST00000302979 P0/DP/B6/swissmodel/19_120_6eu0.1.K
ENST00000402825 P0/DP/D8/swissmodel/214_883_3dwb.1.A
ENST00000400113 P0/DP/H7/swissmodel/1_445_5kx5.1.A
ENST00000321253 P0/DP/H8/swissmodel/1_445_5kx5.1.A
ENST00000291577 P0/DP/I2/swissmodel/44_265_1vhq.1.A
ENST00000509129 P0/DS/N7/swissmodel/24_117_6qd8.1.A
ENST00000333385 P0/DT/A3/swissmodel/101_263_5uq1.2.B
ENST00000340042 P1/00/75/swissmodel/106_374_5wjq.1.C
ENST00000260270 P1/01/09/swissmodel/64_184_3p1m.1.B
ENST00000245304 P1/01/14/swissmodel/1_167_3rap.1.A
ENST00000216341 P1/01/44/swissmodel/21_247_1fq3.1.A
ENST00000307407 P1/01/45/swissmodel/29_99_1qe6.1.A
ENST00000304625 P1/01/53/swissmodel/26_161_1k2a.1.A
ENST00000367446 P1/01/55/swissmodel/4_537_1yvp.2.D
ENST00000314133 P1/01/76/swissmodel/26_68_5z62.1.M
ENST00000302262 P1/02/53/swissmodel/79_952_5kzw.1.A
ENST00000254066 P1/02/76/swissmodel/85_417_4nqa.2.A
ENST00000246792 P1/03/01/swissmodel/27_196_2fn4.1.A
ENST00000376228 P1/03/21/swissmodel/26_300_5vge.1.A
ENST00000216139 P1/03/23/swissmodel/43_301_1fiw.1.A
ENST00000377045 P1/03/98/swissmodel/97_588_6nyb.1.A
ENST00000398117 P1/04/15/swissmodel/7_207_2b48.1.A
ENST00000409110 P1/05/23/swissmodel/14_395_1cf1.1.A
ENST00000291442 P1/05/88/swissmodel/52_393_4nqa.2.A
ENST00000327111 P1/05/89/swissmodel/82_410_4nqa.2.A
ENST00000374517 P1/05/99/swissmodel/1_105_1aiu.1.A
ENST00000238682 P1/06/00/swissmodel/24_412_5vqf.2.A
ENST00000258424 P1/06/06/swissmodel/37_129_5z62.1.F
ENST00000396209 P1/06/20/swissmodel/10_148_2h8a.1.A
ENST00000371270 P1/06/32/swissmodel/41_490_2nni.1.A
ENST00000313164 P1/06/43/swissmodel/14_840_3t5o.1.A
ENST00000589228 P1/06/44/swissmodel/93_378_6no7.1.D
ENST00000233156 P1/06/46/swissmodel/52_267_4bd9.1.B
ENST00000295453 P1/06/96/swissmodel/20_500_1zef.1.A
ENST00000226524 P1/07/20/swissmodel/40_104_4hsv.1.A
ENST00000368797 P1/07/46/swissmodel/1_260_1jr2.2.A
ENST00000228837 P1/07/67/swissmodel/57_208_1bla.1.A
ENST00000378720 P1/07/68/swissmodel/1_282_3fcx.1.B
ENST00000388968 P1/08/09/swissmodel/27_551_5da8.1.H
ENST00000330688 P1/08/26/swissmodel/85_417_4nqa.2.A
ENST00000396671 P1/08/28/swissmodel/93_460_4nqa.1.B
ENST00000228841 P1/09/16/swissmodel/16_160_4ik4.1.A
ENST00000331469 P1/09/66/swissmodel/21_157_4kuz.1.A
ENST00000324460 P1/10/21/swissmodel/27_633_6asy.1.A
ENST00000269582 P1/10/86/swissmodel/22_282_1hnn.1.A
ENST00000256997 P1/11/17/swissmodel/31_373_1nd6.1.A
ENST00000534624 P1/11/42/swissmodel/4_609_5e84.1.A
ENST00000356113 P1/11/50/swissmodel/42_493_6ob0.1.A
ENST00000426263 P1/11/66/swissmodel/9_455_4pyp.1.A
ENST00000314251 P1/11/68/swissmodel/1_504_4zw9.1.A
ENST00000075120 P1/11/69/swissmodel/3_470_4zwc.1.A
ENST00000302746 P1/11/77/swissmodel/31_359_6cer.1.B
ENST00000544665 P1/12/15/swissmodel/17_1099_5es4.1.A
ENST00000216962 P1/12/16/swissmodel/6_839_1fa9.1.B
ENST00000164139 P1/12/17/swissmodel/11_836_2pyd.1.A
ENST00000306960 P1/12/29/swissmodel/20_439_5cxv.1.A
ENST00000005257 P1/12/33/swissmodel/13_178_2a78.1.A
ENST00000272519 P1/12/34/swissmodel/8_183_2kwi.1.A
ENST00000286479 P1/12/45/swissmodel/2_290_2pfr.1.A
ENST00000373509 P1/13/09/swissmodel/33_305_4rpv.1.A
ENST00000420607 P1/13/10/swissmodel/36_420_3mdd.1.A
ENST00000361337 P1/13/87/swissmodel/199_765_1sc7.1.D
ENST00000393562 P1/14/13/swissmodel/28_514_6e07.1.A
ENST00000550325 P1/14/73/swissmodel/21_424_4nqa.2.B
ENST00000405666 P1/14/74/swissmodel/76_421_4nqa.2.A
ENST00000334134 P1/14/87/swissmodel/34_196_1g82.1.A
ENST00000232461 P1/14/88/swissmodel/1_350_3v00.1.A
ENST00000393960 P1/14/98/swissmodel/36_1177_2qf7.1.A
ENST00000301141 P1/15/09/swissmodel/42_494_1z11.1.A
ENST00000396402 P1/15/11/swissmodel/45_496_4kq8.1.A
ENST00000200676 P1/15/97/swissmodel/22_493_4f2a.1.A
ENST00000225371 P1/16/78/swissmodel/131_713_5mfa.1.A
ENST00000278282 P1/16/84/swissmodel/22_91_1utg.1.A
ENST00000260682 P1/17/12/swissmodel/28_489_5x24.1.A
ENST00000296412 P1/17/66/swissmodel/2_374_3qj5.1.A
ENST00000291041 P1/18/01/swissmodel/42_354_5dyk.1.A
ENST00000257904 P1/18/02/swissmodel/5_295_5fwl.1.D
ENST00000304502 P1/18/44/swissmodel/2_174_2jdf.1.A
ENST00000398491 P1/19/08/swissmodel/3_317_2h07.1.B
ENST00000234111 P1/19/26/swissmodel/7_427_1d7k.1.A
ENST00000318607 P1/19/40/swissmodel/8_409_6r5k.1.E
ENST00000379160 P1/20/04/swissmodel/1_255_6gws.1.B
ENST00000229379 P1/20/74/swissmodel/25_108_5wau.1.G
ENST00000504156 P1/20/81/swissmodel/2_503_6o76.1.B
ENST00000274024 P1/21/04/swissmodel/2_132_2mo5.1.A
ENST00000281456 P1/22/35/swissmodel/3_294_1okc.1.A
ENST00000381401 P1/22/36/swissmodel/3_294_1okc.1.A
ENST00000326739 P1/22/68/swissmodel/11_514_4z87.1.A
ENST00000268125 P1/22/71/swissmodel/23_306_3hy5.1.A
ENST00000291009 P1/22/73/swissmodel/29_146_3es6.2.A
ENST00000348956 P1/22/77/swissmodel/2_381_1qh4.1.B
ENST00000369168 P1/23/14/swissmodel/21_282_4w4o.1.C
ENST00000368115 P1/23/19/swissmodel/26_199_1j86.1.A
ENST00000264908 P1/24/29/swissmodel/2_323_1axn.1.A
ENST00000300283 P1/25/32/swissmodel/39_417_1qk1.1.C
ENST00000413453 P1/25/32/swissmodel/39_417_1qk1.1.C
ENST00000274306 P1/25/44/swissmodel/29_262_1op8.1.A
ENST00000269980 P1/26/94/swissmodel/51_445_2bff.1.A
ENST00000304639 P1/27/24/swissmodel/28_160_4oxf.1.A
ENST00000394419 P1/28/14/swissmodel/25_892_1sjj.1.A
ENST00000354968 P1/28/29/swissmodel/39_197_5n69.1.C
ENST00000261769 P1/28/30/swissmodel/155_690_3q2v.1.A
ENST00000373578 P1/29/31/swissmodel/86_536_1y57.1.A
ENST00000244137 P1/29/55/swissmodel/6_489_6h2p.1.A
ENST00000359308 P1/29/56/swissmodel/35_609_1jeq.1.A
ENST00000392133 P1/30/10/swissmodel/6_545_1jey.1.D
ENST00000242576 P1/30/51/swissmodel/94_313_5jk7.1.C
ENST00000562336 P1/30/73/swissmodel/26_169_5z62.1.D
ENST00000394965 P1/31/96/swissmodel/197_632_6hrh.1.B
ENST00000263851 P1/32/32/swissmodel/32_172_3di3.1.A
ENST00000534797 P1/34/89/swissmodel/2_461_2q4g.1.D
ENST00000225831 P1/35/00/swissmodel/24_99_1dom.1.A
ENST00000003084 P1/35/69/swissmodel/1_1451_6msm.1.A
ENST00000371923 P1/35/84/swissmodel/42_505_6c94.1.A
ENST00000412356 P1/35/98/swissmodel/25_216_1zxq.1.A
ENST00000425354 P1/36/31/swissmodel/87_419_4nqa.2.A
ENST00000545399 P1/36/37/swissmodel/20_1013_3wgu.1.A
ENST00000309311 P1/36/39/swissmodel/2_858_1zm2.3.A
ENST00000444837 P1/36/40/swissmodel/1_62_4mt2.1.A
ENST00000263413 P1/36/71/swissmodel/22_934_3t5o.1.A
ENST00000592828 P1/36/86/swissmodel/22_325_1war.1.A
ENST00000530705 P1/36/93/swissmodel/1_172_2hr9.1.A
ENST00000409155 P1/37/16/swissmodel/1_330_5hms.1.F
ENST00000215781 P1/37/25/swissmodel/29_212_1evs.1.A
ENST00000334047 P1/37/26/swissmodel/35_245_1boy.1.A
ENST00000376630 P1/37/47/swissmodel/23_297_5w1v.1.A
ENST00000438763 P1/37/65/swissmodel/30_217_4i0p.1.D
ENST00000398576 P1/37/96/swissmodel/120_626_1pxy.2.A
ENST00000557943 P1/38/04/swissmodel/20_331_1efv.1.A
ENST00000323798 P1/38/07/swissmodel/21_630_5suk.1.C
ENST00000265563 P1/38/61/swissmodel/9_396_3j4q.1.B
ENST00000323997 P1/39/29/swissmodel/1_434_2xsx.1.A
ENST00000345060 P1/39/45/swissmodel/33_363_6e67.2.A
ENST00000340473 P1/39/84/swissmodel/2_238_6o9l.1.T
ENST00000394053 P1/39/95/swissmodel/36_333_6jib.1.A
ENST00000585807 P1/40/61/swissmodel/2_285_1equ.1.A
ENST00000358184 P1/40/91/swissmodel/21_393_2psg.1.A
ENST00000236147 P1/41/51/swissmodel/39_317_4c16.1.A
ENST00000215754 P1/41/74/swissmodel/2_115_3dji.2.A
ENST00000298223 P1/42/07/swissmodel/24_228_4kmy.1.A
ENST00000222390 P1/42/10/swissmodel/38_722_4dur.2.A
ENST00000441259 P1/42/22/swissmodel/23_552_3nsj.1.A
ENST00000356657 P1/43/24/swissmodel/74_419_4dem.1.A
ENST00000377199 P1/43/73/swissmodel/134_495_4cg4.2.A
ENST00000551568 P1/43/84/swissmodel/19_419_1uwy.1.A
ENST00000362072 P1/44/16/swissmodel/36_442_6cm4.1.A
ENST00000372070 P1/45/50/swissmodel/2_325_1hqt.1.A
ENST00000375111 P1/45/55/swissmodel/21_144_1ayp.1.A
ENST00000368195 P1/46/16/swissmodel/26_914_6pxv.1.A
ENST00000319622 P1/46/18/swissmodel/13_531_1aqf.1.B
ENST00000394666 P1/46/21/swissmodel/2_99_1aps.1.A
ENST00000299767 P1/46/25/swissmodel/49_748_5uls.1.A
ENST00000256442 P1/46/35/swissmodel/167_431_6gu2.1.B
ENST00000553066 P1/46/49/swissmodel/42_206_3u0k.1.A
ENST00000317370 P1/46/72/swissmodel/21_471_5eqg.1.A
ENST00000263321 P1/46/79/swissmodel/19_454_5m8q.2.A
ENST00000265986 P1/47/35/swissmodel/43_1011_2jg4.1.A
ENST00000307395 P1/47/70/swissmodel/20_135_3rez.1.A
ENST00000372330 P1/47/80/swissmodel/28_704_1gxd.2.A
ENST00000428797 P1/48/67/swissmodel/37_445_6hug.1.A
ENST00000264161 P1/48/68/swissmodel/22_501_1asy.1.D
ENST00000518237 P1/49/02/swissmodel/12_403_5ek2.1.A
ENST00000228476 P1/49/20/swissmodel/1_340_3znp.1.A
ENST00000393931 P1/49/23/swissmodel/126_673_3ifq.1.A
ENST00000518406 P1/49/27/swissmodel/7_111_5xte.1.Q
ENST00000249075 P1/50/18/swissmodel/23_202_2q7n.1.B
ENST00000011292 P1/50/85/swissmodel/17_418_5om9.1.A
ENST00000491148 P1/50/86/swissmodel/16_417_1kwm.2.A
ENST00000296046 P1/50/88/swissmodel/21_415_3glj.1.A
ENST00000256104 P1/50/90/swissmodel/2_132_3fr5.1.A
ENST00000311223 P1/51/04/swissmodel/3_372_2uu7.1.A
ENST00000285930 P1/51/21/swissmodel/2_316_1iei.1.A
ENST00000300060 P1/51/44/swissmodel/63_967_5lhd.1.A
ENST00000249071 P1/51/53/swissmodel/1_181_1ds6.1.A
ENST00000370418 P1/51/69/swissmodel/23_418_2nsm.1.A
ENST00000434724 P1/51/70/swissmodel/72_497_4d61.1.9
ENST00000297283 P1/52/59/swissmodel/2_244_6h26.1.A
ENST00000379731 P1/52/91/swissmodel/122_398_6fwt.1.A
ENST00000351273 P1/53/09/swissmodel/33_375_1nd6.1.A
ENST00000234396 P1/53/13/swissmodel/42_497_5voz.1.D
ENST00000393679 P1/53/28/swissmodel/30_235_5izq.1.A
ENST00000377595 P1/53/74/swissmodel/4_230_6isu.1.A
ENST00000337385 P1/53/82/swissmodel/1_129_2k21.1.A
ENST00000296522 P1/54/28/swissmodel/3_256_2gdz.1.A
ENST00000602142 P1/54/98/swissmodel/2_564_3ky9.1.A
ENST00000417535 P1/55/09/swissmodel/35_315_4rs1.1.A
ENST00000336097 P1/55/31/swissmodel/1_152_3l7u.1.A
ENST00000292427 P1/55/38/swissmodel/34_502_6m7x.1.A
ENST00000320623 P1/55/59/swissmodel/1_273_5fuq.1.A
ENST00000368167 P1/58/12/swissmodel/34_303_3s6c.1.A
ENST00000368171 P1/58/13/swissmodel/22_299_1zt4.2.A
ENST00000330377 P1/58/14/swissmodel/71_213_5mp6.2.B
ENST00000264914 P1/58/48/swissmodel/46_533_1fsu.1.A
ENST00000343262 P1/58/80/swissmodel/53_278_4v6x.28.A
ENST00000409900 P1/58/82/swissmodel/15_459_3cxl.1.A
ENST00000169298 P1/59/07/swissmodel/89_406_4js1.1.A
ENST00000509578 P1/59/54/swissmodel/17_63_5z62.1.L
ENST00000262768 P1/60/35/swissmodel/27_218_1gxd.2.B
ENST00000570836 P1/60/50/swissmodel/2_662_2p0m.2.A
ENST00000338130 P1/60/83/swissmodel/3_231_5lbt.1.A
ENST00000530167 P1/61/04/swissmodel/2_124_1eqz.1.C
ENST00000375006 P1/61/18/swissmodel/40_471_1k6m.1.A
ENST00000290349 P1/61/52/swissmodel/5_277_2pfg.1.A
ENST00000242592 P1/62/19/swissmodel/34_412_2vig.1.A
ENST00000369221 P1/62/33/swissmodel/17_465_1n8s.1.A
ENST00000307363 P1/62/78/swissmodel/29_647_3thc.1.A
ENST00000394829 P1/62/98/swissmodel/22_495_4or9.1.A
ENST00000485317 P1/63/89/swissmodel/31_421_6ebk.1.B
ENST00000263735 P1/64/22/swissmodel/24_265_4mzv.1.A
ENST00000461988 P1/64/35/swissmodel/6_677_6j79.1.A
ENST00000393092 P1/64/44/swissmodel/17_385_1itu.1.A
ENST00000255266 P1/64/99/swissmodel/10_821_6mzb.1.B
ENST00000262545 P1/65/19/swissmodel/123_595_4omc.1.A
ENST00000229264 P1/65/20/swissmodel/1_340_1tbg.1.A
ENST00000339139 P1/65/62/swissmodel/26_242_1xta.1.B
ENST00000539276 P1/66/15/swissmodel/1_992_5mpm.1.A
ENST00000435819 P1/66/71/swissmodel/35_434_5lgd.1.A
ENST00000402744 P1/68/70/swissmodel/46_459_3mn8.1.A
ENST00000407106 P1/69/30/swissmodel/1_416_2hzy.1.A
ENST00000426559 P1/69/49/swissmodel/6_141_1sa1.1.E
ENST00000288177 P1/70/23/swissmodel/114_408_5wjq.1.C
ENST00000298299 P1/70/26/swissmodel/22_215_5wjq.1.C
ENST00000302609 P1/70/30/swissmodel/115_393_5wjq.1.C
ENST00000303915 P1/70/36/swissmodel/169_446_5wjq.1.C
ENST00000395797 P1/70/41/swissmodel/48_269_5v3j.2.C
ENST00000396398 P1/70/50/swissmodel/18_411_4do6.1.B
ENST00000309758 P1/70/66/swissmodel/8_613_2kho.1.A
ENST00000238738 P1/70/81/swissmodel/1_185_2atx.1.A
ENST00000370508 P1/71/74/swissmodel/2_413_1ajs.1.A
ENST00000262865 P1/72/13/swissmodel/32_487_1bp1.1.A
ENST00000413366 P1/72/52/swissmodel/101_666_3pfq.1.A
ENST00000265074 P1/73/42/swissmodel/47_446_1yk0.1.B
ENST00000326958 P1/73/42/swissmodel/47_446_1yk0.1.B
ENST00000342245 P1/74/05/swissmodel/84_613_5jg8.1.A
ENST00000380448 P1/75/16/swissmodel/1_323_2fvl.1.A
ENST00000361017 P1/75/38/swissmodel/19_263_2cga.1.A
