transcript,gene,bp,all,syn,mis,non,splice_site,frameshift,,,
NM_005599,NHLH2,408,-4.9703,-5.4469,-5.1546,-7.0040,-7.9546,-6.5877,,,
NM_005598,NHLH1,402,-4.9851,-5.5181,-5.1531,-6.6055,-7.6569,-6.5941,,,
NM_003326,TNFSF4,552,-5.1952,-5.7328,-5.3797,-6.5966,-7.0526,-6.4564,,,
NM_020703,AMIGO1,1482,-4.6433,-5.1666,-4.8146,-6.2540,-7.6977,-6.0275,,,
NM_003368,USP1,2358,-4.6043,-5.1708,-4.7767,-5.9721,-6.5163,-5.8258,,,
NM_178438,LCE5A,357,-5.3477,-5.9856,-5.5088,-6.5085,-7.5614,-6.6456,,,
NM_023015,INTS3,3129,-4.3157,-4.8718,-4.5041,-5.6948,-5.8128,-5.7029,,,
NM_015434,INTS7,2889,-4.4611,-5.0417,-4.6319,-5.8815,-6.0786,-5.7376,,,
NM_016190,CRNN,1488,-4.7037,-5.2294,-4.8901,-6.0293,-7.3517,-6.0257,,,
NM_000147,FUCA1,1401,-4.6635,-5.2002,-4.8455,-6.0876,-6.5397,-6.0519,,,
NM_023077,SELRC1,696,-5.0213,-5.5462,-5.2040,-6.4940,-7.0414,-6.3557,,,
NM_001004432,LINGO4,1782,-4.6086,-5.1567,-4.7710,-6.1711,-7.7923,-5.9474,,,
NM_181746,CERS2,1143,-4.7226,-5.3415,-4.8881,-5.9892,-6.3924,-6.1403,,,
NM_022366,TFB2M,1191,-4.7176,-5.2718,-4.8980,-6.0825,-6.4952,-6.1224,,,
NM_004455,EXTL1,2031,-4.5044,-5.0292,-4.6814,-6.1329,-6.4274,-5.8906,,,
NM_001439,EXTL2,993,-4.9293,-5.5205,-5.0987,-6.2002,-6.8686,-6.2014,,,
NM_001441,FAAH,1740,-4.5966,-5.1014,-4.7923,-6.1661,-6.2500,-5.9578,,,
NM_006699,MAN1A2,1926,-4.6125,-5.2321,-4.7754,-5.9160,-6.2722,-5.9137,,,
NM_030786,SYNC,1449,-5.2271,-5.8649,-5.3927,-6.4401,-6.8852,-6.0372,,,
NM_181715,CRTC2,2082,-4.4930,-5.0374,-4.6742,-5.9202,-6.2491,-5.8798,,,
NM_018284,GBP3,1788,-4.6589,-5.2222,-4.8432,-5.9755,-6.2866,-5.9459,,,
NM_004120,GBP2,1776,-4.6408,-5.1979,-4.8220,-6.0349,-6.2810,-5.9489,,,
NM_002053,GBP1,1779,-4.6186,-5.1755,-4.8036,-5.9438,-6.2841,-5.9481,,,
NM_207398,GBP7,1917,-4.6457,-5.2007,-4.8304,-6.0008,-6.2840,-5.9157,,,
NM_198460,GBP6,1902,-4.6146,-5.1942,-4.7846,-6.0272,-6.2826,-5.9191,,,
NM_052941,GBP4,1923,-4.6117,-5.1716,-4.7864,-6.1060,-6.2471,-5.9143,,,
NM_022786,ARV1,816,-4.9354,-5.4607,-5.1250,-6.3479,-6.7521,-6.2866,,,
NM_005356,LCK,1530,-4.5733,-5.1008,-4.7601,-6.0802,-6.2518,-6.0136,,,
NM_005562,LAMC2,3582,-4.2912,-4.8666,-4.4648,-5.6463,-6.0088,-5.6442,,,
NM_001767,CD2,1056,-4.8704,-5.4322,-5.0373,-6.3839,-6.7512,-6.1746,,,
NM_016022,APH1A,744,-4.9038,-5.4115,-5.0947,-6.4984,-6.6512,-6.3267,,,
NM_002293,LAMC1,4830,-4.1300,-4.6699,-4.3102,-5.6320,-5.8416,-5.5144,,,
NM_019557,FAM54B,879,-4.8827,-5.4267,-5.0594,-6.4054,-6.6548,-6.2543,,,
NM_000748,CHRNB2,1509,-4.5517,-5.0618,-4.7297,-6.2605,-6.7052,-6.0196,,,
NM_001785,CDA,441,-5.1720,-5.6919,-5.3595,-6.7838,-6.8536,-6.5539,,,
NM_025179,PLXNA2,5685,-3.9914,-4.5114,-4.1735,-5.5589,-5.8712,-5.4436,,,
NM_001037341,PDE4B,2211,-4.5195,-5.0734,-4.6969,-6.0491,-6.1078,-5.8537,,,
NM_014412,CACYBP,687,-5.0964,-5.6785,-5.2732,-6.4599,-6.6612,-6.3614,,,
NM_001145657,RAP1GAP,2046,-4.4109,-4.8921,-4.6123,-6.1346,-6.0789,-5.8874,,,
NM_000254,MTR,3798,-4.2771,-4.8309,-4.4572,-5.7577,-5.8499,-5.6188,,,
NM_001005783,HAO2,1056,-4.8326,-5.4181,-5.0124,-6.0522,-6.5754,-6.1746,,,
NM_001373,DNAH14,13548,-5.1229,-5.7014,-5.3046,-6.4132,-6.6965,-5.0664,,,
NM_013353,TMOD4,1038,-4.8108,-5.4375,-4.9759,-6.1282,-6.3257,-6.1821,,,
NM_001029882,AHDC1,4812,-4.0170,-4.5177,-4.1963,-5.6699,NA,-5.5160,,,
NM_001035,RYR2,14904,-3.6923,-4.2422,-3.8603,-5.1041,-7.9535,-5.0250,,,
NM_001956,EDN2,537,-5.0524,-5.6599,-5.2113,-6.4557,-6.8233,-6.4683,,,
NM_017655,GIPC2,948,-4.8234,-5.3133,-5.0284,-6.2508,-6.6979,-6.2215,,,
NM_006618,KDM5B,4635,-4.1764,-4.7642,-4.3553,-5.3852,-5.9381,-5.5323,,,
NM_015569,DNM3,2592,-4.4210,-4.9716,-4.5898,-5.8154,NA,-5.7847,,,
NM_001105517,FAM58BP,759,-4.8669,-5.3593,-5.0518,-6.4877,NA,-6.3181,,,
NM_012482,ZNF281,2688,-4.5558,-5.0971,-4.7284,-5.9645,-7.6376,-5.7689,,,
NM_001004492,OR2B11,954,-4.8090,-5.3072,-4.9937,-6.4026,-7.6311,-6.2188,,,
NM_030649,ACAP3,2505,-4.4680,-4.9707,-4.6600,-6.1249,-6.1468,-5.7995,,,
NM_001145312,ETV3,1539,-5.2242,-5.8276,-5.3806,-6.6917,-6.9449,-6.0111,,,
NM_183242,BTBD8,1137,-4.8483,-5.4223,-5.0154,-6.4229,-6.4551,-6.1426,,,
NM_021165,FAM5B,2352,-4.4466,-5.0186,-4.6078,-5.9124,-6.5726,-5.8269,,,
NM_199051,FAM5C,2301,-4.4727,-5.0610,-4.6321,-5.8623,-6.5724,-5.8364,,,
NM_033631,LUZP1,3231,-4.3484,-4.9029,-4.5202,-5.6830,-7.3508,-5.6890,,,
NM_001134673,NFIA,1530,-4.6707,-5.2238,-4.8601,-5.9267,-6.4300,-6.0136,,,
NM_002928,RGS16,609,-5.0551,-5.5694,-5.2466,-6.5532,-6.8266,-6.4137,,,
NM_002927,RGS13,480,-5.2546,-5.8771,-5.4148,-6.6173,-6.8960,-6.5171,,,
NM_198681,PLEKHG5,3252,-4.2482,-4.7649,-4.4334,-5.8903,-5.9533,-5.6862,,,
NM_130782,RGS18,708,-5.1132,-5.7676,-5.2673,-6.4028,-6.7486,-6.3483,,,
NM_001033081,MYCL1,1095,-4.7416,-5.2511,-4.9273,-6.1765,-7.7172,-6.1589,,,
NM_030907,RSG1,777,-4.8866,-5.4160,-5.0552,-6.7873,-6.8204,-6.3079,,,
NM_001114309,ELF3,1116,-4.6886,-5.2167,-4.8809,-6.0349,-6.5008,-6.1506,,,
NM_001130045,TTLL10,2022,-4.7148,-5.2082,-4.9017,-6.4867,-6.6436,-5.8925,,,
NM_001007022,ODF2L,1911,-4.6957,-5.2718,-4.8746,-6.0694,-6.2194,-5.9171,,,
NM_001004469,OR10J5,930,-4.9660,-5.5304,-5.1233,-6.5113,-7.7949,-6.2298,,,
NM_001136494,C1orf198,870,-4.7904,-5.2689,-4.9901,-6.3100,-7.0787,-6.2588,,,
NM_012351,OR10J1,963,-4.9361,-5.5121,-5.0877,-6.5342,-7.5924,-6.2147,,,
NM_001004467,OR10J3,990,-4.9413,-5.5085,-5.0927,-6.6212,-7.7905,-6.2027,,,
NM_001013625,C1orf192,534,-5.1725,-5.8075,-5.3314,-6.5134,-6.7409,-6.4708,,,
NM_001122961,C1orf194,474,-5.1777,-5.8143,-5.3305,-6.6189,-6.7561,-6.5225,,,
NM_000655,SELL,1158,-4.9505,-5.5294,-5.1161,-6.2341,NA,-6.1346,,,
NM_000450,SELE,1833,-4.6383,-5.1995,-4.8160,-6.0499,-6.3009,-5.9352,,,
NM_003005,SELP,2493,-4.4631,-4.9997,-4.6507,-5.8579,-6.1727,-5.8016,,,
NM_001085365,MZT2A,477,-5.0873,-5.5168,-5.3118,-6.7447,-7.2157,-6.5198,,,
NM_025029,MZT2B,477,-5.1295,-5.6032,-5.3275,-6.8435,-7.2087,-6.5198,,,
NM_001426,EN1,1179,-4.6687,-5.0982,-4.8820,-6.5258,-7.5914,-6.1268,,,
NM_003124,SPR,786,-5.1242,-5.6093,-5.3236,-6.6487,-7.1937,-6.3029,,,
NM_018471,ZC3H15,1281,-4.8494,-5.4518,-5.0130,-6.2921,-6.4354,-6.0908,,,
NM_003111,SP3,2346,-4.5675,-5.1158,-4.7439,-5.9249,-6.7698,-5.8280,,,
NM_001003845,SP5,1197,-4.6263,-5.0337,-4.8543,-6.4332,-7.7069,-6.1202,,,
NM_138995,MYO3B,4026,-4.2607,-4.8494,-4.4344,-5.6409,-5.7839,-5.5934,,,
NM_000885,ITGA4,3099,-4.3605,-4.9001,-4.5478,-5.8310,-5.9228,-5.7071,,,
NM_000092,COL4A4,5073,-4.1591,-4.7046,-4.3375,-5.7882,-5.7069,-5.4930,,,
NM_000091,COL4A3,5013,-4.1826,-4.7399,-4.3654,-5.6598,-5.6665,-5.4982,,,
NM_002210,ITGAV,3147,-4.3557,-4.9281,-4.5389,-5.7239,-5.8330,-5.7004,,,
NM_024293,FAM134A,1632,-4.7023,-5.2072,-4.8940,-6.2868,-6.4772,-5.9856,,,
NM_203437,AFTPH,2811,-4.4998,-5.0676,-4.6661,-5.9282,-6.5099,-5.7495,,,
NM_001199140,AMMECR1L,933,-4.8124,-5.3775,-5.0004,-6.0121,-6.6443,-6.2284,,,
NM_018079,SRBD1,2988,-4.4251,-5.0204,-4.5943,-5.7655,-6.0753,-5.7229,,,
NM_178326,ATG4B,1143,-4.7128,-5.1606,-4.9202,-6.3692,NA,-6.1403,,,
NM_001199241,KYNU,1398,-4.7505,-5.3389,-4.9290,-6.1358,-6.1843,-6.0528,,,
NM_016932,SIX2,876,-4.6543,-5.1201,-4.8514,-6.3612,-7.3459,-6.2558,,,
NM_005413,SIX3,999,-4.5874,-5.0408,-4.7850,-6.5303,-7.6117,-6.1987,,,
NM_006794,GPR75,1623,-4.6717,-5.2188,-4.8377,-6.1560,-7.9562,-5.9880,,,
NM_001135659,NRXN1,4644,-4.1152,-4.6239,-4.2994,-5.5992,-6.7069,-5.5314,,,
NM_000821,GGCX,2277,-4.4878,-5.0919,-4.6539,-5.7884,-6.2208,-5.8409,,,
NM_017750,RETSAT,1833,-4.5484,-5.0836,-4.7358,-5.9673,-6.2434,-5.9352,,,
NM_000233,LHCGR,2100,-4.6260,-5.1981,-4.7952,-6.0590,-6.3883,-5.8761,,,
NM_000597,IGFBP2,978,-4.8967,-5.4274,-5.0714,-6.5094,-6.8769,-6.2080,,,
NM_000599,IGFBP5,819,-4.7610,-5.2747,-4.9377,-6.4867,-6.8668,-6.2850,,,
NM_000104,CYP1B1,1632,-4.4755,-4.9425,-4.6698,-6.2301,-7.3479,-5.9856,,,
NM_018433,KDM3A,3966,-4.2789,-4.8412,-4.4616,-5.5882,-5.9767,-5.6000,,,
NM_001034116,EIF2B4,1572,-4.6151,-5.2275,-4.7789,-5.9300,-6.2979,-6.0019,,,
NM_015025,MYT1L,3555,-4.2442,-4.7302,-4.4348,-5.7906,NA,-5.6475,,,
NM_000210,ITGA6,3222,-4.3211,-4.8605,-4.5100,-5.7345,-5.9268,-5.6902,,,
NM_023016,SOWAHC,1578,-4.7681,-5.2131,-4.9812,-6.3315,-7.9554,-6.0002,,,
NM_001113382,FER1L5,6282,-4.4557,-4.9787,-4.6341,-5.8925,NA,-5.4002,,,
NM_004763,ITGB1BP1,603,-5.0554,-5.5985,-5.2591,-6.2738,-6.6492,-6.4180,,,
NM_021088,ZNF2,1281,-4.6775,-5.2534,-4.8386,-6.1089,-6.8656,-6.0908,,,
NM_001079,ZAP70,1860,-4.3985,-4.8812,-4.5967,-6.0032,-6.3175,-5.9288,,,
NM_001743,CALM2,450,-5.3274,-5.9718,-5.4783,-6.9586,-6.6891,-6.5451,,,
NM_152275,TTC30A,1998,-4.5427,-5.0715,-4.7182,-5.9961,-7.8237,-5.8977,,,
NM_152517,TTC30B,1998,-4.5652,-5.1050,-4.7351,-6.0383,-7.8380,-5.8977,,,
NM_014369,PTPN18,1383,-4.6317,-5.1490,-4.8246,-6.1648,-6.2347,-6.0575,,,
NM_001099334,C2orf80,582,-5.1132,-5.7428,-5.2894,-6.3552,-6.5211,-6.4334,,,
NM_001040710,C2orf84,621,-5.0828,-5.6117,-5.2799,-6.4396,-6.7420,-6.4052,,,
NM_001080824,C2orf89,1371,-4.6218,-5.1910,-4.7810,-6.0578,NA,-6.0613,,,
NM_001042519,C2orf88,288,-5.4991,-6.1167,-5.6472,-6.9544,-7.6198,-6.7389,,,
NM_001031684,SRSF7,717,-4.8594,-5.5203,-5.0379,-5.8798,-6.5154,-6.3428,,,
NM_213589,RAPH1,3753,-4.3029,-4.8601,-4.4727,-5.7544,-6.2728,-5.6239,,,
NM_007127,VIL1,2484,-4.3966,-4.9253,-4.5846,-5.8513,-6.0989,-5.8032,,,
NM_001130158,MYO1B,3411,-4.3338,-4.9243,-4.5121,-5.6154,-5.8989,-5.6654,,,
NM_016079,CHMP3,669,-5.0743,-5.6718,-5.2482,-6.3901,-6.6499,-6.3729,,,
NM_014181,LGALSL,519,-5.0926,-5.6401,-5.2771,-6.4805,-6.8137,-6.4831,,,
NM_001032377,SULT6B1,798,-4.9710,-5.5117,-5.1602,-6.3872,-6.5746,-6.2963,,,
NM_001011717,NMS,462,-5.1937,-5.8332,-5.3847,-6.4106,-6.3964,-6.5337,,,
NM_004836,EIF2AK3,3351,-4.3878,-4.9690,-4.5605,-5.7337,-6.0804,-5.6731,,,
NM_002759,EIF2AK2,1656,-4.6818,-5.2456,-4.8695,-6.0068,-6.2119,-5.9793,,,
NM_032822,FAM136A,417,-5.2156,-5.8307,-5.3611,-6.8325,-7.0477,-6.5782,,,
NM_003887,ASAP2,3021,-4.2704,-4.7652,-4.4742,-5.8251,-5.8496,-5.7182,,,
NM_004688,NMI,924,-4.9359,-5.5045,-5.1130,-6.3402,-6.5710,-6.2326,,,
NM_173074,PIGF,621,-5.2443,-5.8269,-5.4136,-6.7432,-6.8394,-6.4052,,,
NM_005795,CALCRL,1386,-4.7838,-5.3503,-4.9650,-6.1852,-6.3201,-6.0565,,,
NM_030768,ILKAP,1179,-4.7102,-5.2353,-4.8940,-6.3731,-6.3312,-6.1268,,,
NM_001632,ALPP,1608,-4.4214,-4.8841,-4.6310,-6.0688,-6.2398,-5.9920,,,
NM_002610,PDK1,1311,-4.7436,-5.3137,-4.9217,-6.1223,-6.3591,-6.0807,,,
NM_001631,ALPI,1587,-4.5198,-4.9989,-4.7248,-6.1130,-6.2412,-5.9977,,,
NM_018441,PECR,912,-4.8754,-5.4186,-5.0644,-6.2517,-6.5085,-6.2383,,,
NM_001127257,SLC39A10,2496,-4.5191,-5.1031,-4.6750,-6.0609,-6.4509,-5.8011,,,
NM_001007231,ARHGAP25,1941,-4.5402,-5.0903,-4.7180,-5.9506,-6.3728,-5.9103,,,
NM_005279,GPR1,1068,-4.9084,-5.4822,-5.0713,-6.2755,-7.7580,-6.1697,,,
NM_080657,RSAD2,1086,-4.8285,-5.4167,-4.9882,-6.3063,-6.6555,-6.1625,,,
NM_001172435,RAB3GAP1,2967,-4.4187,-5.0161,-4.5944,-5.7249,-5.9433,-5.7260,,,
NM_001747,CAPG,1047,-4.7807,-5.3242,-4.9633,-6.2486,-6.4454,-6.1784,,,
NM_016058,TPRKB,528,-5.2514,-5.8055,-5.4294,-6.7706,-6.8941,-6.4757,,,
NM_022436,ABCG5,1956,-4.5144,-5.0465,-4.6955,-6.0232,-6.3188,-5.9069,,,
NM_022437,ABCG8,2022,-4.4746,-4.9765,-4.6677,-6.0255,-6.2893,-5.8925,,,
NM_012293,PXDN,4440,-4.0537,-4.5296,-4.2461,-5.6865,NA,-5.5509,,,
NM_030797,FAM49A,972,-4.8672,-5.4308,-5.0652,-6.2153,-6.1996,-6.2106,,,
NM_006887,ZFP36L2,1485,-4.5078,-4.9222,-4.7283,-6.4394,-7.7151,-6.0266,,,
NM_002246,KCNK3,1185,-4.5247,-4.9688,-4.7303,-6.3436,-7.3455,-6.1246,,,
NM_030923,TMEM163,870,-4.9014,-5.3706,-5.1072,-6.7501,-6.5531,-6.2588,,,
NM_001142310,TMEM169,894,-4.8785,-5.4087,-5.0586,-6.2748,-7.3520,-6.2470,,,
NM_002158,FOXN2,1296,-4.8046,-5.3847,-4.9778,-6.0818,-6.7560,-6.0857,,,
NM_032357,CCDC115,543,-4.9493,-5.4701,-5.1457,-6.3037,-6.7389,-6.4635,,,
NM_015700,NFU1,693,-5.1068,-5.7024,-5.2742,-6.6290,-6.5722,-6.3576,,,
NM_004591,CCL20,291,-5.3788,-5.9886,-5.5360,-7.0312,-6.8693,-6.7344,,,
NM_004881,TP53I3,999,-4.8094,-5.3107,-5.0041,-6.2866,-6.7443,-6.1987,,,
NM_173651,FSIP2,20991,-4.3013,-4.8786,-4.4644,-5.6733,-6.5657,-4.8763,,,
NM_032827,ATOH8,966,-4.6482,-5.0983,-4.8543,-6.3873,-7.0496,-6.2133,,,
NM_024532,SPAG16,1896,-4.5758,-5.1237,-4.7666,-5.9474,-6.1101,-5.9205,,,
NM_001039845,MDH1B,1557,-4.6739,-5.2492,-4.8446,-6.1286,-6.3037,-6.0060,,,
NM_014900,COBLL1,3501,-4.3840,-4.9428,-4.5558,-5.8178,-6.2621,-5.6541,,,
NM_139158,CDK15,1155,-4.8103,-5.3834,-4.9898,-6.2249,-6.3103,-6.1357,,,
NM_001692,ATP6V1B1,1542,-4.5067,-5.0146,-4.7012,-6.0731,-6.1519,-6.0102,,,
NM_001080458,EVX2,1431,-4.5457,-4.9800,-4.7549,-6.5188,-7.0566,-6.0427,,,
NM_182501,MTERFD2,1146,-4.8088,-5.3487,-4.9854,-6.2445,-6.9471,-6.1391,,,
NM_001254738,RND3,735,-4.9208,-5.4320,-5.1128,-6.4084,-6.7440,-6.3320,,,
NM_005381,NCL,2133,-4.5320,-5.0615,-4.7291,-5.8796,-6.1587,-5.8693,,,
NM_178123,SESTD1,2091,-4.5762,-5.1584,-4.7581,-5.8499,-6.1517,-5.8780,,,
NM_145236,B3GNT7,1206,-4.5664,-5.0526,-4.7519,-6.2573,NA,-6.1170,,,
NM_006577,B3GNT2,1194,-4.7668,-5.2890,-4.9474,-6.1856,-7.8145,-6.1213,,,
NM_022823,FNDC4,705,-4.9013,-5.4749,-5.0663,-6.4237,-6.6522,-6.3501,,,
NM_000682,ADRA2B,1344,-4.5533,-5.0657,-4.7293,-6.1491,NA,-6.0699,,,
NM_001080539,CCDC150,3306,-4.4193,-5.0242,-4.5802,-5.6365,NA,-5.6790,,,
NM_212482,FN1,7434,-3.9497,-4.4929,-4.1366,-5.3307,-5.6129,-5.3271,,,
NM_001031716,OBFC2A,615,-5.0398,-5.6069,-5.2134,-6.5408,-6.6591,-6.4094,,,
NM_006770,MARCO,1563,-4.6290,-5.1564,-4.8260,-6.0675,-6.1441,-6.0044,,,
NM_017951,SMPD4,2601,-4.3425,-4.8426,-4.5396,-5.8622,-6.0813,-5.7832,,,
NM_012205,HAAO,861,-4.9120,-5.4986,-5.1014,-6.1713,-6.3369,-6.2633,,,
NM_001142807,ACOXL,1743,-4.6360,-5.1849,-4.8178,-6.1484,-6.1793,-5.9570,,,
NM_016953,PDE11A,2802,-4.3894,-4.9500,-4.5684,-5.7944,-6.0244,-5.7508,,,
NM_017735,TTC27,2532,-4.4864,-5.0762,-4.6594,-5.8203,-6.0865,-5.7948,,,
NM_022134,GAL3ST2,1197,-4.7798,-5.2226,-4.9950,-6.6158,-6.5958,-6.1202,,,
NM_002539,ODC1,1386,-4.6625,-5.1816,-4.8437,-6.3781,-6.4011,-6.0565,,,
NM_003853,IL18RAP,1800,-4.6358,-5.1935,-4.8188,-5.9497,-6.3886,-5.9430,,,
NM_030803,ATG16L1,1824,-4.5853,-5.1650,-4.7706,-5.9247,-6.0121,-5.9373,,,
NM_002381,MATN3,1461,-4.7366,-5.2721,-4.9087,-6.1914,NA,-6.0337,,,
NM_033394,TANC1,5586,-4.0674,-4.5707,-4.2601,-5.5627,-5.9740,-5.4512,,,
NM_006063,KBTBD10,1821,-4.6384,-5.2134,-4.7968,-6.1676,-6.6742,-5.9380,,,
NM_001252668,GULP1,876,-5.0007,-5.6076,-5.1690,-6.4843,-6.4013,-6.2558,,,
NM_001190274,FBXO11,2784,-4.5067,-5.1376,-4.6666,-5.8717,-6.0264,-5.7536,,,
NM_018226,RNPEPL1,2178,-4.5657,-5.0586,-4.7569,-6.2137,-6.5057,-5.8603,,,
NM_174931,CCDC75,780,-5.2838,-5.9044,-5.4629,-6.3016,NA,-6.3062,,,
NM_005235,ERBB4,3927,-4.2636,-4.8606,-4.4305,-5.6442,-5.8792,-5.6043,,,
NM_054033,FKBP1B,243,-5.6235,-6.1733,-5.8183,-7.2249,-6.9654,-6.8127,,,
NM_005876,SPEG,9804,-3.8140,-4.3342,-3.9959,-5.3520,-5.7606,-5.2069,,,
NM_014044,UNC50,780,-4.9755,-5.5412,-5.1645,-6.2702,-6.5223,-6.3062,,,
NM_024065,PDCL3,720,-4.9758,-5.5404,-5.1441,-6.5657,-6.6495,-6.3410,,,
NM_001009812,LBX2,585,-4.7667,-5.2641,-4.9551,-6.2818,-7.3974,-6.4312,,,
NM_017952,PTCD3,2070,-4.5615,-5.1538,-4.7405,-5.9183,-5.9927,-5.8823,,,
NM_001135187,AGFG1,1755,-4.6464,-5.1824,-4.8316,-6.1513,-6.2732,-5.9540,,,
NM_014617,CRYGA,525,-4.9883,-5.5699,-5.1636,-6.2091,-7.0535,-6.4782,,,
NM_005210,CRYGB,528,-5.0630,-5.6285,-5.2370,-6.4033,-7.0444,-6.4757,,,
NM_020989,CRYGC,525,-5.0077,-5.5995,-5.1651,-6.4275,-7.0650,-6.4782,,,
NM_006891,CRYGD,525,-4.9742,-5.5229,-5.1513,-6.4573,-6.7316,-6.4782,,,
NM_020909,EPB41L5,2202,-4.5302,-5.1271,-4.7133,-5.7847,-5.9906,-5.8555,,,
NM_173076,ABCA12,7788,-4.0032,-4.5578,-4.1873,-5.3903,-5.5965,-5.3069,,,
NM_001080475,PLEKHM3,2286,-4.4766,-5.0227,-4.6605,-5.7537,-6.6161,-5.8392,,,
NM_000030,AGXT,1179,-4.7388,-5.2160,-4.9422,-6.4081,-6.4843,-6.1268,,,
NM_130773,CNTNAP5,3921,-4.2373,-4.7593,-4.4179,-5.6430,NA,-5.6049,,,
NM_003128,SPTBN1,7095,-3.9148,-4.4435,-4.0963,-5.4113,-5.7863,-5.3474,,,
NM_001177718,KLF11,1488,-4.6499,-5.2049,-4.8127,-6.1868,-7.0381,-6.0257,,,
NM_005006,NDUFS1,2184,-4.5684,-5.1910,-4.7289,-5.9451,-6.1203,-5.8591,,,
NM_032143,ZRANB3,3240,-4.4219,-4.9985,-4.5872,-5.7129,NA,-5.6878,,,
NM_032515,BOK,639,-4.9238,-5.4083,-5.1118,-6.8270,-6.9652,-6.3928,,,
NM_001134224,INPP4A,2934,-4.3237,-4.8363,-4.5028,-5.8414,NA,-5.7309,,,
NM_001135629,PPP1R21,2343,-4.5325,-5.1074,-4.7233,-5.7662,-6.0555,-5.8285,,,
NM_005667,RNF103,2058,-4.5964,-5.1786,-4.7645,-5.8978,-6.6617,-5.8849,,,
NM_005721,ACTR3,1257,-4.7955,-5.4149,-4.9607,-6.1304,-6.3322,-6.0990,,,
NM_001005386,ACTR2,1200,-4.8124,-5.4336,-4.9889,-5.9540,-6.4838,-6.1191,,,
NM_012476,VAX2,873,-4.9046,-5.4314,-5.0717,-6.7015,-7.2048,-6.2573,,,
NM_001485,GBX2,1047,-4.6108,-5.0395,-4.8286,-6.3344,-7.3290,-6.1784,,,
NM_001006636,GTDC1,1377,-4.7829,-5.3270,-4.9681,-6.1961,-6.4523,-6.0594,,,
NM_012092,ICOS,600,-5.1522,-5.7133,-5.3312,-6.6087,-6.7487,-6.4202,,,
NM_003183,ADAM17,2475,-4.4487,-4.9908,-4.6323,-5.9014,-6.1015,-5.8047,,,
NM_175629,DNMT3A,2739,-4.2977,-4.8294,-4.4776,-5.8558,-6.0616,-5.7607,,,
NM_014911,AAK1,2886,-4.4736,-5.0149,-4.6450,-5.8946,NA,-5.7380,,,
NM_003096,SNRPG,231,-5.5081,-6.1608,-5.6984,-6.5171,-7.0594,-6.8347,,,
NM_001205288,LIMS3L,354,-5.0871,-5.5704,-5.3048,-6.3706,-7.0502,-6.6493,,,
NM_017431,PRKAG3,1470,-4.6387,-5.1714,-4.8186,-6.2750,-6.2962,-6.0310,,,
NM_001033575,DUSP28,531,-5.0552,-5.5294,-5.2437,-6.9589,-7.7139,-6.4732,,,
NM_020134,DPYSL5,1695,-4.4770,-4.9774,-4.6662,-6.1300,-6.3105,-5.9691,,,
NM_001145928,SAP130,3252,-4.3347,-4.8880,-4.5107,-5.7964,-6.0659,-5.6862,,,
NM_000384,APOB,13692,-3.7772,-4.3194,-3.9506,-5.2433,-5.8749,-5.0618,,,
NM_001008387,REG3G,528,-5.2089,-5.7892,-5.3837,-6.6443,-6.7510,-6.4757,,,
NM_138938,REG3A,528,-5.1348,-5.6763,-5.3198,-6.6277,-6.7463,-6.4757,,,
NM_017849,TMEM127,717,-4.9158,-5.3713,-5.1217,-6.6453,-7.0404,-6.3428,,,
NM_006036,PREPL,2184,-4.5421,-5.1312,-4.7050,-6.0054,-6.2387,-5.8591,,,
NM_174899,FBXO36,567,-5.0710,-5.5944,-5.2653,-6.4343,-6.8750,-6.4447,,,
NM_015463,CNRIP1,495,-5.2363,-5.7829,-5.4047,-6.8825,-7.1739,-6.5037,,,
NM_138799,MBOAT2,1563,-4.7393,-5.3043,-4.9278,-6.0346,-6.2937,-6.0044,,,
NM_004657,SDPR,1278,-4.6302,-5.1207,-4.8203,-6.1738,-7.3500,-6.0918,,,
NM_198461,LONRF2,2265,-4.5355,-5.0577,-4.7185,-6.0973,-6.3336,-5.8432,,,
NM_138326,ACMSD,1011,-4.8253,-5.3568,-5.0200,-6.2408,-6.3946,-6.1936,,,
NM_000784,CYP27A1,1596,-4.5713,-5.1126,-4.7535,-6.0670,-6.2206,-5.9953,,,
NM_001130981,DYSF,6357,-3.9691,-4.5066,-4.1498,-5.5624,-5.5767,-5.3951,,,
NM_001378,DYNC1I2,1917,-4.6279,-5.2206,-4.7904,-5.8814,NA,-5.9157,,,
NM_001139517,PRKRA,909,-4.9786,-5.5166,-5.1618,-6.5360,-6.5773,-6.2397,,,
NM_172003,CBWD2,1188,-4.8305,-5.3695,-5.0297,-6.2812,-6.2069,-6.1235,,,
NM_198256,E2F6,846,-4.9203,-5.4712,-5.1055,-6.2908,-6.5877,-6.2709,,,
NM_020923,ZDBF2,7065,-4.0858,-4.6740,-4.2373,-5.5279,NA,-5.3492,,,
NM_080592,C2orf28,855,-5.0677,-5.6621,-5.2440,-6.3866,-6.6183,-6.2663,,,
NM_025216,WNT10A,1254,-4.5778,-5.1032,-4.7553,-6.0785,-6.8758,-6.1000,,,
NM_014440,IL36A,477,-5.1837,-5.7406,-5.3634,-6.6001,-6.8568,-6.5198,,,
NM_014438,IL36B,495,-5.2164,-5.9149,-5.3700,-6.5743,-6.5164,-6.5037,,,
NM_019618,IL36G,510,-5.1759,-5.7362,-5.3606,-6.4928,-6.8686,-6.4907,,,
